Trainer 58,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SKITTY,DITTO,SMEARGLE,NONE,NONE,NONE
Level,8,8,8,,,
Ability,CUTE_CHARM,LIMBER,OWN_TEMPO,,,
Held Item,NONE,NONE,NONE,,,
Move 1,GROWL,TRANSFORM,SKETCH,,,
Move 2,FAKE_OUT,TRANSFORM,SKETCH,,,
Move 3,TACKLE,TRANSFORM,SKETCH,,,
Move 4,TAIL_WHIP,TRANSFORM,SKETCH,,,
Optional Move 1,FORESIGHT,TOXIC,,,,
Optional Move 2,SING,HIDDEN_POWER,,,,
Optional Move 3,HELPING_HAND,PROTECT,,,,
Optional Move 4,PSYCH_UP,FRUSTRATION,,,,
Optional Move 5,UPROAR,RETURN,,,,
Optional Move 6,FAKE_TEARS,DOUBLE_TEAM,,,,
Optional Move 7,WISH,FACADE,,,,
Optional Move 8,BATON_PASS,SECRET_POWER,,,,
Optional Move 9,SUBSTITUTE,REST,,,,
Optional Move 10,TICKLE,ENDURE,,,,
Optional Move 11,LAST_RESORT,SLEEP_TALK,,,,
Optional Move 12,ZEN_HEADBUTT,NATURAL_GIFT,,,,
Optional Move 13,SUCKER_PUNCH,SWAGGER,,,,
Optional Move 14,MUD_BOMB,SUBSTITUTE,,,,
Optional Move 15,WATER_PULSE,,,,,
Optional Move 16,CALM_MIND,,,,,
Optional Move 17,TOXIC,,,,,
Optional Move 18,HIDDEN_POWER,,,,,
Optional Move 19,SUNNY_DAY,,,,,
Optional Move 20,ICE_BEAM,,,,,
Optional Move 21,BLIZZARD,,,,,
Optional Move 22,PROTECT,,,,,
Optional Move 23,RAIN_DANCE,,,,,
Optional Move 24,SAFEGUARD,,,,,
Optional Move 25,FRUSTRATION,,,,,
Optional Move 26,SOLAR_BEAM,,,,,
Optional Move 27,IRON_TAIL,,,,,
Optional Move 28,THUNDERBOLT,,,,,
Optional Move 29,THUNDER,,,,,
Optional Move 30,RETURN,,,,,
Optional Move 31,DIG,,,,,
Optional Move 32,SHADOW_BALL,,,,,
Optional Move 33,DOUBLE_TEAM,,,,,
Optional Move 34,SHOCK_WAVE,,,,,
Optional Move 35,FACADE,,,,,
Optional Move 36,SECRET_POWER,,,,,
Optional Move 37,REST,,,,,
Optional Move 38,CHARGE_BEAM,,,,,
Optional Move 39,ENDURE,,,,,
Optional Move 40,PAYBACK,,,,,
Optional Move 41,FLASH,,,,,
Optional Move 42,THUNDER_WAVE,,,,,
Optional Move 43,SLEEP_TALK,,,,,
Optional Move 44,NATURAL_GIFT,,,,,
Optional Move 45,DREAM_EATER,,,,,
Optional Move 46,GRASS_KNOT,,,,,
Optional Move 47,SWAGGER,,,,,
