Trainer 582,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,RATICATE,HYDRAPPLE,MAGCARGO,TOGEDEMARU,QWILFISH,GLIGAR
Level,54,54,54,54,54,54
Ability,GLUTTONY,SUPERSWEET_SYRUP,MAGMA_ARMOR,IRON_BARBS,POISON_POINT,HYPER_CUTTER
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,HYPER_FANG,ENERGY_BALL,FLAMETHROWER,ZING_ZAP,HYDRO_PUMP,SKY_UPPERCUT
Move 2,FOCUS_ENERGY,DRAGON_PULSE,EARTH_POWER,CHARGE,AQUA_TAIL,X_SCISSOR
Move 3,CRUNCH,RECYCLE,LAVA_PLUME,ROLLOUT,BRINE,SLASH
Move 4,SUCKER_PUNCH,FICKLE_BEAM,ROCK_SLIDE,DISCHARGE,POISON_JAB,ACROBATICS
Optional Move 1,SCARY_FACE,DOUBLE_HIT,SHELL_SMASH,NUZZLE,POISON_STING,POISON_STING
Optional Move 2,SWORDS_DANCE,INFESTATION,YAWN,TACKLE,TACKLE,SAND_ATTACK
Optional Move 3,TACKLE,YAWN,SMOG,THUNDER_SHOCK,FELL_STINGER,HARDEN
Optional Move 4,TAIL_WHIP,ASTONISH,EMBER,DEFENSE_CURL,DESTINY_BOND,KNOCK_OFF
Optional Move 5,QUICK_ATTACK,SWEET_SCENT,ROCK_THROW,SPARK,WATER_GUN,QUICK_ATTACK
Optional Move 6,BITE,WITHDRAW,HARDEN,MAGNET_RISE,SPIKES,FURY_CUTTER
Optional Move 7,PURSUIT,DRAGON_TAIL,INCINERATE,FELL_STINGER,HARDEN,FEINT_ATTACK
Optional Move 8,ASSURANCE,GROWTH,CLEAR_SMOG,PIN_MISSILE,MINIMIZE,U_TURN
Optional Move 9,SUPER_FANG,DRAGON_BREATH,ANCIENT_POWER,ELECTRIC_TERRAIN,BUBBLE,SCREECH
Optional Move 10,DOUBLE_EDGE,PROTECT,FLAME_BURST,WILD_CHARGE,ROLLOUT,SWORDS_DANCE
Optional Move 11,ENDEAVOR,BULLET_SEED,AMNESIA,SPIKY_SHIELD,REVENGE,METAL_CLAW
Optional Move 12,ROAR,SYRUP_BOMB,BODY_SLAM,TOXIC,TOXIC_SPIKES,WING_ATTACK
Optional Move 13,TOXIC,RECOVER,RECOVER,HIDDEN_POWER,PIN_MISSILE,RAZOR_WIND
Optional Move 14,HIDDEN_POWER,SUBSTITUTE,TOXIC,HYPER_BEAM,STOCKPILE,COUNTER
Optional Move 15,SUNNY_DAY,TOXIC,HIDDEN_POWER,PROTECT,SPIT_UP,SAND_TOMB
Optional Move 16,TAUNT,HIDDEN_POWER,SUNNY_DAY,FRUSTRATION,TAKE_DOWN,AGILITY
Optional Move 17,ICE_BEAM,SUNNY_DAY,HYPER_BEAM,IRON_TAIL,TOXIC,BATON_PASS
Optional Move 18,BLIZZARD,HYPER_BEAM,LIGHT_SCREEN,THUNDER,FLAIL,DOUBLE_EDGE
Optional Move 19,HYPER_BEAM,RAIN_DANCE,PROTECT,RETURN,HAZE,FEINT
Optional Move 20,PROTECT,GIGA_DRAIN,FRUSTRATION,DOUBLE_TEAM,BUBBLE_BEAM,NIGHT_SLASH
Optional Move 21,RAIN_DANCE,FRUSTRATION,SOLAR_BEAM,REFLECT,SUPERSONIC,CROSS_POISON
Optional Move 22,FRUSTRATION,SOLAR_BEAM,EARTHQUAKE,SHOCK_WAVE,ASTONISH,POWER_TRICK
Optional Move 23,IRON_TAIL,EARTHQUAKE,RETURN,FACADE,SIGNAL_BEAM,TOXIC
Optional Move 24,THUNDERBOLT,RETURN,DOUBLE_TEAM,SECRET_POWER,AQUA_JET,HIDDEN_POWER
Optional Move 25,THUNDER,DOUBLE_TEAM,REFLECT,REST,WATER_PULSE,SUNNY_DAY
Optional Move 26,RETURN,REFLECT,SANDSTORM,ATTRACT,HAIL,TAUNT
Optional Move 27,DIG,FACADE,FIRE_BLAST,THIEF,HIDDEN_POWER,PROTECT
Optional Move 28,SHADOW_BALL,SECRET_POWER,ROCK_TOMB,FLING,TAUNT,RAIN_DANCE
Optional Move 29,DOUBLE_TEAM,REST,FACADE,CHARGE_BEAM,ICE_BEAM,FRUSTRATION
Optional Move 30,SHOCK_WAVE,ATTRACT,SECRET_POWER,ENDURE,BLIZZARD,IRON_TAIL
Optional Move 31,FACADE,ENDURE,REST,PAYBACK,PROTECT,EARTHQUAKE
Optional Move 32,SECRET_POWER,GIGA_IMPACT,ATTRACT,GIGA_IMPACT,RAIN_DANCE,RETURN
Optional Move 33,REST,GYRO_BALL,OVERHEAT,THUNDER_WAVE,FRUSTRATION,DIG
Optional Move 34,ATTRACT,SLEEP_TALK,ENDURE,GYRO_BALL,RETURN,BRICK_BREAK
Optional Move 35,THIEF,,WILL_O_WISP,SLEEP_TALK,SHADOW_BALL,DOUBLE_TEAM
Optional Move 36,CHARGE_BEAM,,EXPLOSION,POISON_JAB,DOUBLE_TEAM,SLUDGE_BOMB
Optional Move 37,ENDURE,,GIGA_IMPACT,GRASS_KNOT,SHOCK_WAVE,SANDSTORM
Optional Move 38,GIGA_IMPACT,,ROCK_POLISH,SWAGGER,SLUDGE_BOMB,ROCK_TOMB
Optional Move 39,THUNDER_WAVE,,STONE_EDGE,U_TURN,FACADE,AERIAL_ACE
Optional Move 40,CAPTIVATE,,GYRO_BALL,SUBSTITUTE,SECRET_POWER,TORMENT
Optional Move 41,SLEEP_TALK,,STEALTH_ROCK,,REST,FACADE
Optional Move 42,NATURAL_GIFT,,CAPTIVATE,,ATTRACT,SECRET_POWER
Optional Move 43,GRASS_KNOT,,SLEEP_TALK,,ENDURE,REST
Optional Move 44,SWAGGER,,NATURAL_GIFT,,EXPLOSION,ATTRACT
Optional Move 45,PLUCK,,SWAGGER,,PAYBACK,THIEF
Optional Move 46,U_TURN,,SUBSTITUTE,,GIGA_IMPACT,STEEL_WING
Optional Move 47,SUBSTITUTE,,,,THUNDER_WAVE,ROOST
Optional Move 48,,,,,GYRO_BALL,FALSE_SWIPE
Optional Move 49,,,,,SWORDS_DANCE,FLING
Optional Move 50,,,,,CAPTIVATE,ENDURE
Optional Move 51,,,,,SLEEP_TALK,PAYBACK
Optional Move 52,,,,,NATURAL_GIFT,ROCK_POLISH
Optional Move 53,,,,,SWAGGER,STONE_EDGE
Optional Move 54,,,,,SUBSTITUTE,STEALTH_ROCK
Optional Move 55,,,,,,CAPTIVATE
Optional Move 56,,,,,,DARK_PULSE
Optional Move 57,,,,,,ROCK_SLIDE
Optional Move 58,,,,,,SLEEP_TALK
Optional Move 59,,,,,,NATURAL_GIFT
Optional Move 60,,,,,,POISON_JAB
Optional Move 61,,,,,,SWAGGER
Optional Move 62,,,,,,SUBSTITUTE
