Trainer 583,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,GASTRODON,SPIRITOMB,LAIRON,VIGOROTH,MORPEKO,MINIOR
Level,54,54,54,54,54,54
Ability,STICKY_HOLD,PRESSURE,STURDY,VITAL_SPIRIT,HUNGER_SWITCH,SHIELDS_DOWN
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,MUDDY_WATER,SHADOW_BALL,IRON_HEAD,UPROAR,CRUNCH,POWER_GEM
Move 2,BODY_SLAM,DREAM_EATER,IRON_DEFENSE,FOCUS_PUNCH,AGILITY,COSMIC_POWER
Move 3,MUD_SPORT,DARK_PULSE,IRON_TAIL,FOCUS_ENERGY,BULLET_SEED,ANCIENT_POWER
Move 4,EARTH_POWER,NASTY_PLOT,ROCK_SLIDE,SLASH,SPARK,SWIFT
Optional Move 1,WATER_GUN,NIGHT_SHADE,TACKLE,REVERSAL,THUNDER_SHOCK,TACKLE
Optional Move 2,MUD_SLAP,CONFUSE_RAY,HARDEN,SCRATCH,TAIL_WHIP,DEFENSE_CURL
Optional Move 3,HARDEN,CURSE,METAL_CLAW,ENCORE,LEER,ROLLOUT
Optional Move 4,RECOVER,PURSUIT,ROCK_TOMB,FURY_SWIPES,POWER_TRIP,CONFUSE_RAY
Optional Move 5,WATER_PULSE,SPITE,MUD_SLAP,ENDURE,QUICK_ATTACK,SELF_DESTRUCT
Optional Move 6,MUD_BOMB,SHADOW_SNEAK,HEADBUTT,CHIP_AWAY,FLATTER,STEALTH_ROCK
Optional Move 7,HIDDEN_POWER,FEINT_ATTACK,ROAR,COUNTER,BITE,TAKE_DOWN
Optional Move 8,ANCIENT_POWER,PAYBACK,PROTECT,ROAR,TORMENT,AUTOTOMIZE
Optional Move 9,RAIN_DANCE,HEX,METAL_SOUND,TOXIC,TOXIC,DOUBLE_EDGE
Optional Move 10,MEMENTO,OMINOUS_WIND,TAKE_DOWN,BULK_UP,HIDDEN_POWER,SHELL_SMASH
Optional Move 11,TOXIC,SUCKER_PUNCH,AUTOTOMIZE,HIDDEN_POWER,TAUNT,EXPLOSION
Optional Move 12,HAIL,HYPNOSIS,WATER_PULSE,SUNNY_DAY,PROTECT,CALM_MIND
Optional Move 13,ICE_BEAM,MEMENTO,TOXIC,TAUNT,FRUSTRATION,TOXIC
Optional Move 14,BLIZZARD,DESTINY_BOND,HIDDEN_POWER,ICE_BEAM,THUNDERBOLT,HIDDEN_POWER
Optional Move 15,HYPER_BEAM,PAIN_SPLIT,SUNNY_DAY,BLIZZARD,THUNDER,HYPER_BEAM
Optional Move 16,PROTECT,SMOKESCREEN,RAIN_DANCE,PROTECT,RETURN,LIGHT_SCREEN
Optional Move 17,FRUSTRATION,IMPRISON,FRUSTRATION,RAIN_DANCE,BRICK_BREAK,PROTECT
Optional Move 18,EARTHQUAKE,GRUDGE,EARTHQUAKE,FRUSTRATION,DOUBLE_TEAM,SAFEGUARD
Optional Move 19,RETURN,CALM_MIND,RETURN,SOLAR_BEAM,FACADE,FRUSTRATION
Optional Move 20,DIG,TOXIC,DIG,THUNDERBOLT,SECRET_POWER,SOLAR_BEAM
Optional Move 21,DOUBLE_TEAM,HIDDEN_POWER,DOUBLE_TEAM,THUNDER,REST,EARTHQUAKE
Optional Move 22,SLUDGE_BOMB,SUNNY_DAY,SHOCK_WAVE,EARTHQUAKE,ATTRACT,RETURN
Optional Move 23,SANDSTORM,TAUNT,SANDSTORM,RETURN,THIEF,PSYCHIC
Optional Move 24,ROCK_TOMB,HYPER_BEAM,AERIAL_ACE,DIG,FLING,DOUBLE_TEAM
Optional Move 25,FACADE,PROTECT,FACADE,SHADOW_BALL,CHARGE_BEAM,REFLECT
Optional Move 26,SECRET_POWER,RAIN_DANCE,SECRET_POWER,BRICK_BREAK,ENDURE,SANDSTORM
Optional Move 27,REST,FRUSTRATION,REST,DOUBLE_TEAM,PAYBACK,ROCK_TOMB
Optional Move 28,ATTRACT,RETURN,ATTRACT,SHOCK_WAVE,THUNDER_WAVE,FACADE
Optional Move 29,BRINE,PSYCHIC,ENDURE,FLAMETHROWER,DARK_PULSE,SECRET_POWER
Optional Move 30,ENDURE,DOUBLE_TEAM,SHADOW_CLAW,FIRE_BLAST,SLEEP_TALK,REST
Optional Move 31,GIGA_IMPACT,SHOCK_WAVE,ROCK_POLISH,ROCK_TOMB,SWAGGER,ATTRACT
Optional Move 32,FLASH,ROCK_TOMB,STONE_EDGE,AERIAL_ACE,SUBSTITUTE,CHARGE_BEAM
Optional Move 33,STONE_EDGE,TORMENT,STEALTH_ROCK,FACADE,,ENDURE
Optional Move 34,STEALTH_ROCK,FACADE,CAPTIVATE,SECRET_POWER,,GIGA_IMPACT
Optional Move 35,CAPTIVATE,SECRET_POWER,SLEEP_TALK,REST,,ROCK_POLISH
Optional Move 36,ROCK_SLIDE,REST,NATURAL_GIFT,ATTRACT,,STONE_EDGE
Optional Move 37,SLEEP_TALK,ATTRACT,SWAGGER,THIEF,,GYRO_BALL
Optional Move 38,NATURAL_GIFT,THIEF,SUBSTITUTE,FOCUS_BLAST,,ROCK_SLIDE
Optional Move 39,SWAGGER,SKILL_SWAP,,FALSE_SWIPE,,SLEEP_TALK
Optional Move 40,SUBSTITUTE,SNATCH,,FLING,,SWAGGER
Optional Move 41,,ENDURE,,DRAIN_PUNCH,,U_TURN
Optional Move 42,,WILL_O_WISP,,SHADOW_CLAW,,SUBSTITUTE
Optional Move 43,,SILVER_WIND,,THUNDER_WAVE,,
Optional Move 44,,EMBARGO,,CAPTIVATE,,
Optional Move 45,,GIGA_IMPACT,,ROCK_SLIDE,,
Optional Move 46,,FLASH,,X_SCISSOR,,
Optional Move 47,,CAPTIVATE,,SLEEP_TALK,,
Optional Move 48,,SLEEP_TALK,,NATURAL_GIFT,,
Optional Move 49,,NATURAL_GIFT,,POISON_JAB,,
Optional Move 50,,SWAGGER,,SWAGGER,,
Optional Move 51,,SUBSTITUTE,,SUBSTITUTE,,
Optional Move 52,,TRICK_ROOM,,,,
