Trainer 585,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,GARBODOR,BARBARACLE,PANGORO,FEAROW,DOUBLADE,MASQUERAIN
Level,54,54,54,54,54,54
Ability,STENCH,TOUGH_CLAWS,IRON_FIST,KEEN_EYE,NO_GUARD,INTIMIDATE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,GUNK_SHOT,STONE_EDGE,SKY_UPPERCUT,DRILL_PECK,IRON_HEAD,BUG_BUZZ
Move 2,BODY_SLAM,CROSS_CHOP,BODY_SLAM,DRILL_RUN,SACRED_SWORD,AIR_SLASH
Move 3,STOCKPILE,ROCK_POLISH,BULLET_PUNCH,FOCUS_ENERGY,NIGHT_SLASH,QUIVER_DANCE
Move 4,BELCH,RAZOR_SHELL,CRUNCH,FURY_ATTACK,SHADOW_SNEAK,WATER_SPORT
Optional Move 1,POUND,SKULL_BASH,NIGHT_SLASH,PLUCK,TACKLE,WHIRLWIND
Optional Move 2,TAKE_DOWN,MUD_SLAP,TACKLE,PECK,FURY_CUTTER,OMINOUS_WIND
Optional Move 3,METAL_CLAW,SCRATCH,LEER,GROWL,AUTOTOMIZE,BUBBLE
Optional Move 4,POISON_GAS,WITHDRAW,ARM_THRUST,LEER,SWORDS_DANCE,QUICK_ATTACK
Optional Move 5,RECYCLE,WATER_GUN,TAUNT,PURSUIT,METAL_SOUND,SWEET_SCENT
Optional Move 6,ACID_SPRAY,SHELL_SMASH,HAMMER_ARM,AERIAL_ACE,PURSUIT,GUST
Optional Move 7,TOXIC_SPIKES,SAND_ATTACK,LOW_SWEEP,MIRROR_MOVE,AERIAL_ACE,SCARY_FACE
Optional Move 8,DOUBLE_SLAP,FURY_SWIPES,ENTRAINMENT,ASSURANCE,SLASH,AIR_CUTTER
Optional Move 9,SLUDGE,CLAMP,WORK_UP,AGILITY,RETALIATE,STUN_SPORE
Optional Move 10,SWALLOW,SLASH,KARATE_CHOP,ROOST,IRON_DEFENSE,SILVER_WIND
Optional Move 11,CLEAR_SMOG,FURY_CUTTER,COMET_PUNCH,TOXIC,POWER_TRICK,WATER_PULSE
Optional Move 12,AMNESIA,ANCIENT_POWER,CIRCLE_THROW,HIDDEN_POWER,TOXIC,TOXIC
Optional Move 13,SLUDGE_BOMB,HONE_CLAWS,SLASH,SUNNY_DAY,HIDDEN_POWER,HIDDEN_POWER
Optional Move 14,TOXIC,NIGHT_SLASH,VITAL_THROW,HYPER_BEAM,PROTECT,SUNNY_DAY
Optional Move 15,PAIN_SPLIT,DRAGON_CLAW,PARTING_SHOT,PROTECT,RAIN_DANCE,ICE_BEAM
Optional Move 16,EXPLOSION,WATER_PULSE,FOCUS_PUNCH,RAIN_DANCE,FRUSTRATION,BLIZZARD
Optional Move 17,HIDDEN_POWER,TOXIC,DRAGON_CLAW,FRUSTRATION,RETURN,HYPER_BEAM
Optional Move 18,SUNNY_DAY,BULK_UP,ROAR,RETURN,BRICK_BREAK,PROTECT
Optional Move 19,HYPER_BEAM,HIDDEN_POWER,TOXIC,DOUBLE_TEAM,DOUBLE_TEAM,RAIN_DANCE
Optional Move 20,PROTECT,TAUNT,BULK_UP,FACADE,REFLECT,GIGA_DRAIN
Optional Move 21,RAIN_DANCE,BLIZZARD,HIDDEN_POWER,SECRET_POWER,SHOCK_WAVE,FRUSTRATION
Optional Move 22,GIGA_DRAIN,HYPER_BEAM,SUNNY_DAY,REST,FACADE,SOLAR_BEAM
Optional Move 23,FRUSTRATION,PROTECT,HYPER_BEAM,ATTRACT,SECRET_POWER,RETURN
Optional Move 24,SOLAR_BEAM,RAIN_DANCE,PROTECT,THIEF,REST,SHADOW_BALL
Optional Move 25,THUNDERBOLT,SAFEGUARD,RAIN_DANCE,STEEL_WING,ATTRACT,DOUBLE_TEAM
Optional Move 26,RETURN,FRUSTRATION,FRUSTRATION,FALSE_SWIPE,FALSE_SWIPE,AERIAL_ACE
Optional Move 27,DOUBLE_TEAM,EARTHQUAKE,EARTHQUAKE,ENDURE,ENDURE,FACADE
Optional Move 28,FACADE,RETURN,RETURN,GIGA_IMPACT,SHADOW_CLAW,SECRET_POWER
Optional Move 29,SECRET_POWER,DIG,DIG,CAPTIVATE,GYRO_BALL,REST
Optional Move 30,REST,BRICK_BREAK,BRICK_BREAK,SLEEP_TALK,ROCK_SLIDE,ATTRACT
Optional Move 31,ATTRACT,DOUBLE_TEAM,DOUBLE_TEAM,NATURAL_GIFT,SLEEP_TALK,THIEF
Optional Move 32,THIEF,SLUDGE_BOMB,SLUDGE_BOMB,SWAGGER,SWAGGER,ROOST
Optional Move 33,FOCUS_BLAST,SANDSTORM,ROCK_TOMB,U_TURN,SUBSTITUTE,ENERGY_BALL
Optional Move 34,FLING,ROCK_TOMB,AERIAL_ACE,SUBSTITUTE,FLASH_CANNON,ENDURE
Optional Move 35,ENDURE,AERIAL_ACE,TORMENT,,,GIGA_IMPACT
Optional Move 36,DRAIN_PUNCH,TORMENT,FACADE,,,FLASH
Optional Move 37,GIGA_IMPACT,FACADE,SECRET_POWER,,,PSYCH_UP
Optional Move 38,ROCK_POLISH,SECRET_POWER,REST,,,CAPTIVATE
Optional Move 39,DARK_PULSE,REST,ATTRACT,,,SLEEP_TALK
Optional Move 40,SLEEP_TALK,ATTRACT,THIEF,,,NATURAL_GIFT
Optional Move 41,SWAGGER,THIEF,SNATCH,,,SWAGGER
Optional Move 42,SUBSTITUTE,FOCUS_BLAST,FOCUS_BLAST,,,U_TURN
Optional Move 43,,FALSE_SWIPE,FALSE_SWIPE,,,SUBSTITUTE
Optional Move 44,,FLING,FLING,,,
Optional Move 45,,ENDURE,ENDURE,,,
Optional Move 46,,EMBARGO,DRAIN_PUNCH,,,
Optional Move 47,,SHADOW_CLAW,EMBARGO,,,
Optional Move 48,,PAYBACK,SHADOW_CLAW,,,
Optional Move 49,,GIGA_IMPACT,PAYBACK,,,
Optional Move 50,,SWORDS_DANCE,GIGA_IMPACT,,,
Optional Move 51,,STEALTH_ROCK,STONE_EDGE,,,
Optional Move 52,,ROCK_SLIDE,SWORDS_DANCE,,,
Optional Move 53,,X_SCISSOR,DARK_PULSE,,,
Optional Move 54,,SLEEP_TALK,ROCK_SLIDE,,,
Optional Move 55,,POISON_JAB,X_SCISSOR,,,
Optional Move 56,,GRASS_KNOT,SLEEP_TALK,,,
Optional Move 57,,SWAGGER,POISON_JAB,,,
Optional Move 58,,SUBSTITUTE,GRASS_KNOT,,,
Optional Move 59,,,SWAGGER,,,
Optional Move 60,,,SUBSTITUTE,,,
