Trainer 587,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,BRAVIARY,MEOWSTIC,STOUTLAND,KLEFKI,KOMMO_O,MANECTRIC
Level,54,54,54,54,54,54
Ability,KEEN_EYE,KEEN_EYE,INTIMIDATE,PRANKSTER,BULLETPROOF,INTIMIDATE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,CRUSH_CLAW,PSYCHIC,PLAY_ROUGH,FLASH_CANNON,CLANGING_SCALES,DISCHARGE
Move 2,SUPERPOWER,COVET,WORK_UP,LAST_RESORT,SKY_UPPERCUT,CHARGE
Move 3,SLASH,SUCKER_PUNCH,CRUNCH,FOUL_PLAY,DRAGON_DANCE,THUNDER
Move 4,SKY_ATTACK,PSYSHOCK,RETALIATE,SPIKES,DRAGON_CLAW,SHOCK_WAVE
Optional Move 1,HONE_CLAWS,MEAN_LOOK,ICE_FANG,FAIRY_LOCK,BELLY_DRUM,FIRE_FANG
Optional Move 2,LEER,SCRATCH,FIRE_FANG,ASTONISH,AUTOTOMIZE,TACKLE
Optional Move 3,PECK,LEER,THUNDER_FANG,TACKLE,TACKLE,THUNDER_WAVE
Optional Move 4,WING_ATTACK,FAKE_OUT,TACKLE,FAIRY_WIND,LEER,LEER
Optional Move 5,TAILWIND,DISARMING_VOICE,LEER,METAL_SOUND,PROTECT,HOWL
Optional Move 6,SCARY_FACE,QUICK_GUARD,BITE,CRAFTY_SHIELD,DRAGON_TAIL,ELECTRIC_TERRAIN
Optional Move 7,AERIAL_ACE,HELPING_HAND,ODOR_SLEUTH,TORMENT,BIDE,QUICK_ATTACK
Optional Move 8,WHIRLWIND,CONFUSION,BABY_DOLL_EYES,DRAINING_KISS,SCARY_FACE,SPARK
Optional Move 9,TOXIC,PSYBEAM,TAKE_DOWN,RECYCLE,HEADBUTT,ODOR_SLEUTH
Optional Move 10,BULK_UP,CHARM,HELPING_HAND,IMPRISON,WORK_UP,BITE
Optional Move 11,HIDDEN_POWER,LIGHT_SCREEN,ROAR,MIRROR_SHOT,SCREECH,THUNDER_FANG
Optional Move 12,SUNNY_DAY,MIRACLE_EYE,REVERSAL,PLAY_ROUGH,IRON_DEFENSE,ROAR
Optional Move 13,HYPER_BEAM,REFLECT,TOXIC,MAGIC_ROOM,NOBLE_ROAR,WILD_CHARGE
Optional Move 14,PROTECT,ROLE_PLAY,HIDDEN_POWER,HEAL_BLOCK,FOCUS_PUNCH,TOXIC
Optional Move 15,RAIN_DANCE,IMPRISON,SUNNY_DAY,CALM_MIND,ROAR,HIDDEN_POWER
Optional Move 16,FRUSTRATION,MISTY_TERRAIN,HYPER_BEAM,TOXIC,TOXIC,HYPER_BEAM
Optional Move 17,RETURN,CALM_MIND,PROTECT,HIDDEN_POWER,BULK_UP,LIGHT_SCREEN
Optional Move 18,DOUBLE_TEAM,TOXIC,RAIN_DANCE,SUNNY_DAY,HIDDEN_POWER,PROTECT
Optional Move 19,ROCK_TOMB,HIDDEN_POWER,FRUSTRATION,HYPER_BEAM,SUNNY_DAY,RAIN_DANCE
Optional Move 20,FACADE,SUNNY_DAY,THUNDERBOLT,LIGHT_SCREEN,TAUNT,FRUSTRATION
Optional Move 21,SECRET_POWER,HYPER_BEAM,THUNDER,PROTECT,HYPER_BEAM,IRON_TAIL
Optional Move 22,REST,PROTECT,RETURN,RAIN_DANCE,RAIN_DANCE,THUNDERBOLT
Optional Move 23,ATTRACT,RAIN_DANCE,DIG,SAFEGUARD,SAFEGUARD,RETURN
Optional Move 24,STEEL_WING,SAFEGUARD,SHADOW_BALL,FRUSTRATION,FRUSTRATION,DOUBLE_TEAM
Optional Move 25,ROOST,FRUSTRATION,DOUBLE_TEAM,RETURN,IRON_TAIL,FLAMETHROWER
Optional Move 26,ENDURE,IRON_TAIL,SHOCK_WAVE,DOUBLE_TEAM,EARTHQUAKE,FIRE_BLAST
Optional Move 27,SHADOW_CLAW,THUNDERBOLT,ROCK_TOMB,REFLECT,RETURN,FACADE
Optional Move 28,GIGA_IMPACT,RETURN,AERIAL_ACE,SANDSTORM,BRICK_BREAK,SECRET_POWER
Optional Move 29,ROCK_SLIDE,DIG,FACADE,FACADE,DOUBLE_TEAM,REST
Optional Move 30,SLEEP_TALK,SHADOW_BALL,SECRET_POWER,SECRET_POWER,SHOCK_WAVE,ATTRACT
Optional Move 31,SWAGGER,DOUBLE_TEAM,REST,REST,FLAMETHROWER,THIEF
Optional Move 32,PLUCK,SHOCK_WAVE,ATTRACT,ATTRACT,SANDSTORM,OVERHEAT
Optional Move 33,U_TURN,TORMENT,ENDURE,THIEF,ROCK_TOMB,CHARGE_BEAM
Optional Move 34,SUBSTITUTE,FACADE,PAYBACK,ENDURE,AERIAL_ACE,ENDURE
Optional Move 35,,SECRET_POWER,THUNDER_WAVE,GIGA_IMPACT,FACADE,GIGA_IMPACT
Optional Move 36,,REST,SLEEP_TALK,THUNDER_WAVE,SECRET_POWER,FLASH
Optional Move 37,,ATTRACT,SWAGGER,PSYCH_UP,REST,CAPTIVATE
Optional Move 38,,SKILL_SWAP,SUBSTITUTE,SLEEP_TALK,ATTRACT,SLEEP_TALK
Optional Move 39,,SNATCH,,SWAGGER,FOCUS_BLAST,NATURAL_GIFT
Optional Move 40,,ENERGY_BALL,,SUBSTITUTE,FALSE_SWIPE,SWAGGER
Optional Move 41,,CHARGE_BEAM,,TRICK_ROOM,FLING,SUBSTITUTE
Optional Move 42,,ENDURE,,,ENDURE,
Optional Move 43,,PAYBACK,,,DRAGON_PULSE,
Optional Move 44,,RECYCLE,,,DRAIN_PUNCH,
Optional Move 45,,GIGA_IMPACT,,,SHADOW_CLAW,
Optional Move 46,,FLASH,,,PAYBACK,
Optional Move 47,,THUNDER_WAVE,,,GIGA_IMPACT,
Optional Move 48,,PSYCH_UP,,,ROCK_POLISH,
Optional Move 49,,DARK_PULSE,,,SWORDS_DANCE,
Optional Move 50,,SLEEP_TALK,,,STEALTH_ROCK,
Optional Move 51,,DREAM_EATER,,,ROCK_SLIDE,
Optional Move 52,,SWAGGER,,,X_SCISSOR,
Optional Move 53,,SUBSTITUTE,,,SLEEP_TALK,
Optional Move 54,,TRICK_ROOM,,,POISON_JAB,
Optional Move 55,,,,,SWAGGER,
Optional Move 56,,,,,SUBSTITUTE,
Optional Move 57,,,,,FLASH_CANNON,
