Trainer 588,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,RIBOMBEE,HARIYAMA,GRANBULL,GRUMPIG,MAUSHOLD,PIDGEOT
Level,54,54,54,54,54,54
Ability,HONEY_GATHER,THICK_FAT,INTIMIDATE,THICK_FAT,FRIEND_GUARD,NO_GUARD
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,POLLEN_PUFF,KNOCK_OFF,OUTRAGE,PSYCHIC,HYPER_VOICE,AGILITY
Move 2,DAZZLING_GLEAM,VITAL_THROW,CHARM,BELCH,PLAY_ROUGH,HURRICANE
Move 3,STRUGGLE_BUG,WAKE_UP_SLAP,FIRE_FANG,MAGIC_COAT,FOLLOW_ME,WING_ATTACK
Move 4,ABSORB,FOCUS_ENERGY,PLAY_ROUGH,POWER_GEM,POUND,QUICK_ATTACK
Optional Move 1,COVET,BRINE,ICE_FANG,TEETER_DANCE,BABY_DOLL_EYES,TACKLE
Optional Move 2,FAIRY_WIND,TACKLE,THUNDER_FANG,SPLASH,TIDY_UP,SAND_ATTACK
Optional Move 3,STUN_SPORE,SAND_ATTACK,TACKLE,PSYWAVE,ECHOED_VOICE,GUST
Optional Move 4,SWEET_SCENT,ARM_THRUST,SCARY_FACE,ODOR_SLEUTH,HELPING_HAND,WHIRLWIND
Optional Move 5,SILVER_WIND,FAKE_OUT,TAIL_WHIP,PSYBEAM,SUPER_FANG,TWISTER
Optional Move 6,DRAINING_KISS,FORCE_PALM,BITE,PSYCH_UP,DOUBLE_HIT,FEATHER_DANCE
Optional Move 7,AROMATHERAPY,WHIRLWIND,LICK,CONFUSE_RAY,BULLET_SEED,ROOST
Optional Move 8,SWITCHEROO,BELLY_DRUM,HEADBUTT,ZEN_HEADBUTT,ENCORE,TAILWIND
Optional Move 9,BUG_BUZZ,SMELLING_SALTS,ROAR,REST,CHARM,TOXIC
Optional Move 10,CALM_MIND,SEISMIC_TOSS,RAGE,SNORE,BEAT_UP,HIDDEN_POWER
Optional Move 11,TOXIC,ENDURE,PAYBACK,PSYSHOCK,COPYCAT,SUNNY_DAY
Optional Move 12,HIDDEN_POWER,CLOSE_COMBAT,FOCUS_PUNCH,PAYBACK,POPULATION_BOMB,HYPER_BEAM
Optional Move 13,SUNNY_DAY,REVERSAL,WATER_PULSE,FOCUS_PUNCH,WATER_PULSE,PROTECT
Optional Move 14,HYPER_BEAM,HEAVY_SLAM,TOXIC,CALM_MIND,TOXIC,RAIN_DANCE
Optional Move 15,LIGHT_SCREEN,FOCUS_PUNCH,BULK_UP,TOXIC,HIDDEN_POWER,FRUSTRATION
Optional Move 16,PROTECT,TOXIC,HIDDEN_POWER,HIDDEN_POWER,SUNNY_DAY,RETURN
