Trainer 59,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,STARLY,BUNEARY,MEOWTH,EEVEE,NONE,NONE
Level,11,11,11,11,,
Ability,KEEN_EYE,RUN_AWAY,PICKUP,RUN_AWAY,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,GROWL,DEFENSE_CURL,GROWL,COVET,,
Move 2,WING_ATTACK,POUND,BITE,TACKLE,,
Move 3,TACKLE,FORESIGHT,FAKE_OUT,QUICK_ATTACK,,
Move 4,QUICK_ATTACK,SPLASH,SCRATCH,GROWL,,
Optional Move 1,FEATHER_DANCE,FRUSTRATION,SPITE,HELPING_HAND,,
Optional Move 2,FURY_ATTACK,ENDURE,CHARM,TAIL_WHIP,,
Optional Move 3,PURSUIT,BABY_DOLL_EYES,HYPNOSIS,SAND_ATTACK,,
Optional Move 4,ASTONISH,FAKE_TEARS,AMNESIA,FLAIL,,
Optional Move 5,SAND_ATTACK,FAKE_OUT,PSYCH_UP,ENDURE,,
Optional Move 6,FORESIGHT,ENCORE,ASSIST,CURSE,,
Optional Move 7,DOUBLE_EDGE,SWEET_KISS,ODOR_SLEUTH,TICKLE,,
Optional Move 8,TOXIC,DOUBLE_HIT,FLAIL,WISH,,
Optional Move 9,HIDDEN_POWER,ATTRACT,LAST_RESORT,YAWN,,
Optional Move 10,SUNNY_DAY,LOW_KICK,PUNISHMENT,FAKE_TEARS,,
Optional Move 11,PROTECT,SKY_UPPERCUT,TAIL_WHIP,DETECT,,
Optional Move 12,RAIN_DANCE,SWITCHEROO,WATER_PULSE,CALM_MIND,,
Optional Move 13,FRUSTRATION,THUNDER_PUNCH,TOXIC,ROAR,,
Optional Move 14,RETURN,ICE_PUNCH,HIDDEN_POWER,TOXIC,,
Optional Move 15,FACADE,FIRE_PUNCH,SUNNY_DAY,HIDDEN_POWER,,
Optional Move 16,SECRET_POWER,FLAIL,PROTECT,SUNNY_DAY,,
Optional Move 17,REST,FOCUS_PUNCH,RAIN_DANCE,PROTECT,,
Optional Move 18,ATTRACT,WATER_PULSE,FRUSTRATION,RAIN_DANCE,,
Optional Move 19,THIEF,TOXIC,IRON_TAIL,FRUSTRATION,,
Optional Move 20,STEEL_WING,HIDDEN_POWER,THUNDERBOLT,IRON_TAIL,,
Optional Move 21,ROOST,SUNNY_DAY,THUNDER,RETURN,,
Optional Move 22,ENDURE,ICE_BEAM,RETURN,DIG,,
Optional Move 23,CAPTIVATE,PROTECT,DIG,SHADOW_BALL,,
Optional Move 24,SLEEP_TALK,RAIN_DANCE,SHADOW_BALL,DOUBLE_TEAM,,
Optional Move 25,NATURAL_GIFT,SOLAR_BEAM,DOUBLE_TEAM,FACADE,,
Optional Move 26,SWAGGER,IRON_TAIL,SHOCK_WAVE,SECRET_POWER,,
Optional Move 27,PLUCK,THUNDERBOLT,AERIAL_ACE,REST,,
Optional Move 28,U_TURN,RETURN,TORMENT,ATTRACT,,
Optional Move 29,SUBSTITUTE,DIG,FACADE,CAPTIVATE,,
Optional Move 30,,SHADOW_BALL,SECRET_POWER,SLEEP_TALK,,
Optional Move 31,,DOUBLE_TEAM,REST,NATURAL_GIFT,,
Optional Move 32,,SHOCK_WAVE,ATTRACT,SWAGGER,,
Optional Move 33,,FACADE,THIEF,SUBSTITUTE,,
Optional Move 34,,SECRET_POWER,SNATCH,,,
Optional Move 35,,REST,FALSE_SWIPE,,,
Optional Move 36,,FLING,ENDURE,,,
Optional Move 37,,CHARGE_BEAM,SHADOW_CLAW,,,
Optional Move 38,,DRAIN_PUNCH,PAYBACK,,,
Optional Move 39,,PAYBACK,FLASH,,,
Optional Move 40,,THUNDER_WAVE,THUNDER_WAVE,,,
Optional Move 41,,CAPTIVATE,DARK_PULSE,,,
Optional Move 42,,SLEEP_TALK,SLEEP_TALK,,,
Optional Move 43,,NATURAL_GIFT,NATURAL_GIFT,,,
Optional Move 44,,GRASS_KNOT,DREAM_EATER,,,
Optional Move 45,,SWAGGER,SWAGGER,,,
Optional Move 46,,SUBSTITUTE,U_TURN,,,
Optional Move 47,,,SUBSTITUTE,,,
