Trainer 591,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,HARIYAMA,TATSUGIRI,VESPIQUEN,PALOSSAND,WHIMSICOTT,LOPUNNY
Level,54,54,54,54,54,54
Ability,THICK_FAT,COMMANDER,PRESSURE,WATER_COMPACTION,PRANKSTER,SCRAPPY
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,KNOCK_OFF,MUDDY_WATER,ATTACK_ORDER,EARTH_POWER,ENERGY_BALL,JUMP_KICK
Move 2,VITAL_THROW,DRAGON_PULSE,POWER_GEM,SHADOW_BALL,MOONBLAST,AGILITY
Move 3,WAKE_UP_SLAP,NASTY_PLOT,AIR_SLASH,IRON_DEFENSE,HURRICANE,BOUNCE
Move 4,FOCUS_ENERGY,WATER_PULSE,SWAGGER,GIGA_DRAIN,SUNNY_DAY,HEADBUTT
Optional Move 1,BRINE,SPLASH,SLASH,ABSORB,GUST,RETURN
Optional Move 2,TACKLE,WATER_GUN,STRUGGLE_BUG,HARDEN,TAILWIND,MIRROR_COAT
Optional Move 3,SAND_ATTACK,HARDEN,BUG_BITE,ASTONISH,MEMENTO,MAGIC_COAT
Optional Move 4,ARM_THRUST,HELPING_HAND,SWEET_SCENT,SAND_TOMB,MEGA_DRAIN,SPLASH
Optional Move 5,FAKE_OUT,SOAK,GUST,SAND_ATTACK,RAZOR_LEAF,POUND
Optional Move 6,FORCE_PALM,TAUNT,POISON_STING,MEGA_DRAIN,GROWTH,DEFENSE_CURL
Optional Move 7,WHIRLWIND,MEMENTO,CONFUSE_RAY,BULLDOZE,POISON_POWDER,BABY_DOLL_EYES
Optional Move 8,BELLY_DRUM,MIRROR_COAT,FELL_STINGER,HYPNOSIS,GIGA_DRAIN,HEALING_WISH
Optional Move 9,SMELLING_SALTS,TOXIC,DESTINY_BOND,TOXIC,CHARM,ROTOTILLER
Optional Move 10,SEISMIC_TOSS,HIDDEN_POWER,FURY_CUTTER,HIDDEN_POWER,LEECH_SEED,FORESIGHT
Optional Move 11,ENDURE,HYPER_BEAM,AROMATIC_MIST,SUNNY_DAY,COTTON_SPORE,ENDURE
Optional Move 12,CLOSE_COMBAT,PROTECT,PURSUIT,HYPER_BEAM,ENDEAVOR,QUICK_ATTACK
Optional Move 13,REVERSAL,RAIN_DANCE,FURY_SWIPES,PROTECT,COTTON_GUARD,DOUBLE_KICK
Optional Move 14,HEAVY_SLAM,FRUSTRATION,AROMATHERAPY,RAIN_DANCE,SOLAR_BEAM,AFTER_YOU
Optional Move 15,FOCUS_PUNCH,RETURN,DEFEND_ORDER,FRUSTRATION,ABSORB,BATON_PASS
Optional Move 16,TOXIC,DOUBLE_TEAM,HEAL_ORDER,EARTHQUAKE,HELPING_HAND,CHARM
Optional Move 17,BULK_UP,FACADE,TOXIC,RETURN,FAIRY_WIND,DIZZY_PUNCH
Optional Move 18,HIDDEN_POWER,SECRET_POWER,CAPTIVATE,PSYCHIC,STUN_SPORE,FLATTER
Optional Move 19,SUNNY_DAY,REST,HIDDEN_POWER,DOUBLE_TEAM,TOXIC,ENTRAINMENT
Optional Move 20,TAUNT,ATTRACT,SUNNY_DAY,SLUDGE_BOMB,HIDDEN_POWER,FOCUS_PUNCH
Optional Move 21,HYPER_BEAM,ENDURE,TAUNT,ROCK_TOMB,TAUNT,WATER_PULSE
Optional Move 22,PROTECT,GIGA_IMPACT,HYPER_BEAM,FACADE,HYPER_BEAM,TOXIC
Optional Move 23,RAIN_DANCE,SLEEP_TALK,PROTECT,SECRET_POWER,LIGHT_SCREEN,HIDDEN_POWER
Optional Move 24,FRUSTRATION,SUBSTITUTE,RAIN_DANCE,REST,PROTECT,SUNNY_DAY
Optional Move 25,EARTHQUAKE,,FRUSTRATION,ATTRACT,SAFEGUARD,ICE_BEAM
Optional Move 26,RETURN,,RETURN,SKILL_SWAP,FRUSTRATION,BLIZZARD
Optional Move 27,DIG,,DOUBLE_TEAM,ENERGY_BALL,RETURN,HYPER_BEAM
Optional Move 28,BRICK_BREAK,,SLUDGE_BOMB,BRINE,PSYCHIC,PROTECT
Optional Move 29,DOUBLE_TEAM,,AERIAL_ACE,FLING,SHADOW_BALL,RAIN_DANCE
Optional Move 30,ROCK_TOMB,,FACADE,ENDURE,DOUBLE_TEAM,FRUSTRATION
Optional Move 31,FACADE,,SECRET_POWER,EMBARGO,FACADE,SOLAR_BEAM
Optional Move 32,SECRET_POWER,,REST,RECYCLE,SECRET_POWER,IRON_TAIL
Optional Move 33,REST,,ATTRACT,GIGA_IMPACT,REST,THUNDERBOLT
Optional Move 34,ATTRACT,,THIEF,ROCK_POLISH,ATTRACT,THUNDER
Optional Move 35,THIEF,,ROOST,STONE_EDGE,THIEF,DIG
