Trainer 597,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MAGCARGO,FLAREON,HEATMOR,ARCANINE,CHARIZARD,NONE
Level,52,52,52,52,52,
Ability,MAGMA_ARMOR,FLASH_FIRE,GLUTTONY,INTIMIDATE,BLAZE,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,LAVA_PLUME,LAVA_PLUME,FLAMETHROWER,FLAMETHROWER,HEAT_WAVE,
Move 2,EARTH_POWER,LAST_RESORT,FIRE_LASH,PLAY_ROUGH,DRAGON_CLAW,
Move 3,BODY_SLAM,FIRE_FANG,FLAME_BURST,AGILITY,FLAMETHROWER,
Move 4,ROCK_SLIDE,SAND_ATTACK,HONE_CLAWS,REVERSAL,AIR_SLASH,
Optional Move 1,SHELL_SMASH,EMBER,LICK,EXTREME_SPEED,WING_ATTACK,
Optional Move 2,YAWN,COVET,TACKLE,BITE,SCRATCH,
Optional Move 3,SMOG,SWIFT,INCINERATE,CRUNCH,GROWL,
Optional Move 4,EMBER,COPYCAT,ODOR_SLEUTH,EMBER,EMBER,
Optional Move 5,ROCK_THROW,BATON_PASS,FURY_SWIPES,FIRE_FANG,SMOKESCREEN,
Optional Move 6,HARDEN,TAKE_DOWN,BIND,FLAME_WHEEL,FLARE_BLITZ,
Optional Move 7,INCINERATE,CHARM,BUG_BITE,FLARE_BLITZ,SHADOW_CLAW,
Optional Move 8,CLEAR_SMOG,DOUBLE_EDGE,SNATCH,HELPING_HAND,DRAGON_BREATH,
Optional Move 9,ANCIENT_POWER,HELPING_HAND,SLASH,HOWL,DRAGON_RAGE,
Optional Move 10,FLAME_BURST,TACKLE,FIRE_SPIN,LEER,FIRE_FANG,
Optional Move 11,AMNESIA,GROWL,STOCKPILE,RETALIATE,SCARY_FACE,
Optional Move 12,RECOVER,TAIL_WHIP,SWALLOW,ROAR,SLASH,
Optional Move 13,TOXIC,QUICK_ATTACK,SPIT_UP,TAKE_DOWN,FLAME_BURST,
Optional Move 14,HIDDEN_POWER,BABY_DOLL_EYES,AMNESIA,TOXIC,FIRE_SPIN,
Optional Move 15,SUNNY_DAY,BITE,BODY_SLAM,HIDDEN_POWER,FOCUS_PUNCH,
Optional Move 16,HYPER_BEAM,SMOG,CURSE,SUNNY_DAY,ROAR,
Optional Move 17,LIGHT_SCREEN,FIRE_SPIN,FEINT_ATTACK,HYPER_BEAM,TOXIC,
Optional Move 18,PROTECT,SCARY_FACE,HEAT_WAVE,PROTECT,HIDDEN_POWER,
Optional Move 19,FRUSTRATION,FLARE_BLITZ,NIGHT_SLASH,SAFEGUARD,SUNNY_DAY,
Optional Move 20,SOLAR_BEAM,CALM_MIND,PURSUIT,FRUSTRATION,HYPER_BEAM,
Optional Move 21,EARTHQUAKE,ROAR,SLEEP_TALK,SOLAR_BEAM,PROTECT,
Optional Move 22,RETURN,TOXIC,SUCKER_PUNCH,IRON_TAIL,FRUSTRATION,
Optional Move 23,DOUBLE_TEAM,HIDDEN_POWER,TICKLE,RETURN,SOLAR_BEAM,
Optional Move 24,REFLECT,SUNNY_DAY,WRAP,DIG,IRON_TAIL,
Optional Move 25,SANDSTORM,HYPER_BEAM,FOCUS_PUNCH,DOUBLE_TEAM,EARTHQUAKE,
Optional Move 26,FIRE_BLAST,PROTECT,TOXIC,FIRE_BLAST,RETURN,
Optional Move 27,ROCK_TOMB,RAIN_DANCE,HIDDEN_POWER,AERIAL_ACE,DIG,
Optional Move 28,FACADE,FRUSTRATION,SUNNY_DAY,FACADE,BRICK_BREAK,
Optional Move 29,SECRET_POWER,IRON_TAIL,TAUNT,SECRET_POWER,DOUBLE_TEAM,
Optional Move 30,REST,RETURN,PROTECT,REST,SANDSTORM,
Optional Move 31,ATTRACT,DIG,RAIN_DANCE,ATTRACT,FIRE_BLAST,
Optional Move 32,OVERHEAT,SHADOW_BALL,GIGA_DRAIN,THIEF,ROCK_TOMB,
Optional Move 33,ENDURE,DOUBLE_TEAM,FRUSTRATION,OVERHEAT,AERIAL_ACE,
Optional Move 34,WILL_O_WISP,FLAMETHROWER,SOLAR_BEAM,ENDURE,FACADE,
Optional Move 35,EXPLOSION,FIRE_BLAST,RETURN,DRAGON_PULSE,SECRET_POWER,
Optional Move 36,GIGA_IMPACT,FACADE,DIG,WILL_O_WISP,REST,
Optional Move 37,ROCK_POLISH,SECRET_POWER,DOUBLE_TEAM,GIGA_IMPACT,ATTRACT,
Optional Move 38,STONE_EDGE,REST,FIRE_BLAST,CAPTIVATE,STEEL_WING,
