Trainer 6,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SNOM,ZUBAT,NONE,NONE,NONE,NONE
Level,5,5,,,,
Ability,SHIELD_DUST,INNER_FOCUS,,,,
Held Item,NONE,NONE,,,,
Move 1,POWDER_SNOW,ASTONISH,,,,
Move 2,STRUGGLE_BUG,SUPERSONIC,,,,
Move 3,POWDER_SNOW,ABSORB,,,,
Move 4,POWDER_SNOW,ASTONISH,,,,
Optional Move 1,TOXIC,QUICK_ATTACK,,,,
Optional Move 2,HIDDEN_POWER,PURSUIT,,,,
Optional Move 3,PROTECT,FEINT_ATTACK,,,,
Optional Move 4,FRUSTRATION,GUST,,,,
Optional Move 5,RETURN,WHIRLWIND,,,,
Optional Move 6,DOUBLE_TEAM,CURSE,,,,
Optional Move 7,FACADE,NASTY_PLOT,,,,
Optional Move 8,SECRET_POWER,HYPNOSIS,,,,
Optional Move 9,REST,ZEN_HEADBUTT,,,,
Optional Move 10,ATTRACT,BRAVE_BIRD,,,,
Optional Move 11,SLEEP_TALK,TOXIC,,,,
Optional Move 12,SUBSTITUTE,HIDDEN_POWER,,,,
Optional Move 13,,SUNNY_DAY,,,,
Optional Move 14,,TAUNT,,,,
Optional Move 15,,PROTECT,,,,
Optional Move 16,,RAIN_DANCE,,,,
Optional Move 17,,GIGA_DRAIN,,,,
Optional Move 18,,FRUSTRATION,,,,
Optional Move 19,,RETURN,,,,
Optional Move 20,,SHADOW_BALL,,,,
Optional Move 21,,DOUBLE_TEAM,,,,
Optional Move 22,,SLUDGE_BOMB,,,,
Optional Move 23,,AERIAL_ACE,,,,
Optional Move 24,,TORMENT,,,,
Optional Move 25,,FACADE,,,,
Optional Move 26,,SECRET_POWER,,,,
Optional Move 27,,REST,,,,
Optional Move 28,,ATTRACT,,,,
Optional Move 29,,THIEF,,,,
Optional Move 30,,STEEL_WING,,,,
Optional Move 31,,SNATCH,,,,
Optional Move 32,,ROOST,,,,
Optional Move 33,,ENDURE,,,,
Optional Move 34,,PAYBACK,,,,
Optional Move 35,,CAPTIVATE,,,,
Optional Move 36,,SLEEP_TALK,,,,
Optional Move 37,,NATURAL_GIFT,,,,
Optional Move 38,,SWAGGER,,,,
Optional Move 39,,PLUCK,,,,
Optional Move 40,,U_TURN,,,,
Optional Move 41,,SUBSTITUTE,,,,
