Trainer 600,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,NINETALES,TALONFLAME,CHARIZARD,TSAREENA,CHANDELURE,NONE
Level,52,52,52,52,52,
Ability,FLASH_FIRE,FLAME_BODY,BLAZE,LEAF_GUARD,FLASH_FIRE,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,FIRE_BLAST,AGILITY,HEAT_WAVE,POWER_WHIP,SHADOW_BALL,
Move 2,EXTRASENSORY,AERIAL_ACE,DRAGON_CLAW,TROP_KICK,CONFUSE_RAY,
Move 3,INFERNO,ACROBATICS,FLAMETHROWER,STOMP,HEX,
Move 4,NASTY_PLOT,FLAME_CHARGE,AIR_SLASH,SWAGGER,INFERNO,
Optional Move 1,INCINERATE,FLARE_BLITZ,WING_ATTACK,FLAIL,WILL_O_WISP,
Optional Move 2,SPITE,FEINT,SCRATCH,PLAY_NICE,FIRE_SPIN,
Optional Move 3,CONFUSE_RAY,PECK,GROWL,SPLASH,NIGHT_SHADE,
Optional Move 4,WILL_O_WISP,GROWL,EMBER,RAPID_SPIN,CURSE,
Optional Move 5,FLAMETHROWER,QUICK_ATTACK,SMOKESCREEN,RAZOR_LEAF,IMPRISON,
Optional Move 6,IMPRISON,EMBER,FLARE_BLITZ,PUNISHMENT,PAIN_SPLIT,
Optional Move 7,FIRE_SPIN,BRAVE_BIRD,SHADOW_CLAW,DOUBLE_SLAP,OVERHEAT,
Optional Move 8,SAFEGUARD,TACKLE,DRAGON_BREATH,SWEET_SCENT,MEMENTO,
Optional Move 9,GRUDGE,FLAIL,DRAGON_RAGE,MAGICAL_LEAF,ASTONISH,
Optional Move 10,EMBER,RAZOR_WIND,FIRE_FANG,TEETER_DANCE,SMOG,
Optional Move 11,TAIL_WHIP,NATURAL_GIFT,SCARY_FACE,AROMATIC_MIST,EMBER,
Optional Move 12,DISABLE,ROOST,SLASH,CAPTIVATE,MINIMIZE,
Optional Move 13,QUICK_ATTACK,ME_FIRST,FLAME_BURST,AROMATHERAPY,FLAME_BURST,
Optional Move 14,CALM_MIND,TAILWIND,FIRE_SPIN,LEAF_STORM,CALM_MIND,
Optional Move 15,ROAR,TOXIC,FOCUS_PUNCH,TOXIC,TOXIC,
Optional Move 16,TOXIC,BULK_UP,ROAR,BULLET_SEED,HIDDEN_POWER,
Optional Move 17,HIDDEN_POWER,HIDDEN_POWER,TOXIC,HIDDEN_POWER,SUNNY_DAY,
Optional Move 18,SUNNY_DAY,SUNNY_DAY,HIDDEN_POWER,SUNNY_DAY,TAUNT,
Optional Move 19,BLIZZARD,TAUNT,SUNNY_DAY,TAUNT,HYPER_BEAM,
Optional Move 20,HYPER_BEAM,HYPER_BEAM,HYPER_BEAM,HYPER_BEAM,PROTECT,
Optional Move 21,PROTECT,PROTECT,PROTECT,LIGHT_SCREEN,RAIN_DANCE,
Optional Move 22,FRUSTRATION,RAIN_DANCE,FRUSTRATION,PROTECT,SAFEGUARD,
Optional Move 23,SOLAR_BEAM,FRUSTRATION,SOLAR_BEAM,GIGA_DRAIN,FRUSTRATION,
Optional Move 24,IRON_TAIL,RETURN,IRON_TAIL,SAFEGUARD,SOLAR_BEAM,
Optional Move 25,RETURN,DOUBLE_TEAM,EARTHQUAKE,FRUSTRATION,RETURN,
Optional Move 26,DIG,FLAMETHROWER,RETURN,SOLAR_BEAM,PSYCHIC,
Optional Move 27,SHADOW_BALL,FIRE_BLAST,DIG,RETURN,DOUBLE_TEAM,
Optional Move 28,DOUBLE_TEAM,FACADE,BRICK_BREAK,DOUBLE_TEAM,SHOCK_WAVE,
Optional Move 29,FACADE,SECRET_POWER,DOUBLE_TEAM,REFLECT,FLAMETHROWER,
Optional Move 30,SECRET_POWER,REST,SANDSTORM,FACADE,FIRE_BLAST,
Optional Move 31,REST,ATTRACT,FIRE_BLAST,SECRET_POWER,FACADE,
Optional Move 32,ATTRACT,THIEF,ROCK_TOMB,REST,SECRET_POWER,
Optional Move 33,OVERHEAT,SNATCH,AERIAL_ACE,ATTRACT,REST,
Optional Move 34,ENERGY_BALL,ENDURE,FACADE,ENERGY_BALL,ATTRACT,
Optional Move 35,ENDURE,WILL_O_WISP,SECRET_POWER,FLING,THIEF,
Optional Move 36,PAYBACK,GIGA_IMPACT,REST,ENDURE,ENERGY_BALL,
Optional Move 37,GIGA_IMPACT,SWORDS_DANCE,ATTRACT,GIGA_IMPACT,ENDURE,
Optional Move 38,PSYCH_UP,SLEEP_TALK,STEEL_WING,SLEEP_TALK,EMBARGO,
Optional Move 39,CAPTIVATE,SWAGGER,OVERHEAT,GRASS_KNOT,PAYBACK,
Optional Move 40,DARK_PULSE,U_TURN,ROOST,U_TURN,GIGA_IMPACT,
Optional Move 41,SLEEP_TALK,SUBSTITUTE,FOCUS_BLAST,SUBSTITUTE,FLASH,
Optional Move 42,NATURAL_GIFT,,FALSE_SWIPE,,PSYCH_UP,
Optional Move 43,DREAM_EATER,,FLING,,CAPTIVATE,
Optional Move 44,SWAGGER,,ENDURE,,DARK_PULSE,
Optional Move 45,SUBSTITUTE,,DRAGON_PULSE,,SLEEP_TALK,
Optional Move 46,,,WILL_O_WISP,,DREAM_EATER,
Optional Move 47,,,GIGA_IMPACT,,SWAGGER,
Optional Move 48,,,SWORDS_DANCE,,SUBSTITUTE,
Optional Move 49,,,CAPTIVATE,,TRICK_ROOM,
Optional Move 50,,,ROCK_SLIDE,,,
Optional Move 51,,,SLEEP_TALK,,,
Optional Move 52,,,NATURAL_GIFT,,,
Optional Move 53,,,SWAGGER,,,
Optional Move 54,,,SUBSTITUTE,,,
