Trainer 601,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MAGCARGO,COALOSSAL,CAMERUPT,TURTONATOR,ROTOM_HEAT,NONE
Level,52,52,52,52,52,
Ability,MAGMA_ARMOR,STEAM_ENGINE,MAGMA_ARMOR,SHELL_ARMOR,LEVITATE,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,LAVA_PLUME,INCINERATE,ERUPTION,SHELL_TRAP,DISCHARGE,
Move 2,EARTH_POWER,ANCIENT_POWER,ROCK_SLIDE,DRAGON_PULSE,UPROAR,
Move 3,BODY_SLAM,SMACK_DOWN,FOCUS_ENERGY,FLAMETHROWER,SHOCK_WAVE,
Move 4,ROCK_SLIDE,ROCK_POLISH,EARTHQUAKE,IRON_DEFENSE,CHARGE,
Optional Move 1,SHELL_SMASH,TAR_SHOT,FISSURE,SMOG,ASTONISH,
Optional Move 2,YAWN,FLAME_CHARGE,GROWL,TACKLE,DOUBLE_TEAM,
Optional Move 3,SMOG,TACKLE,TACKLE,EMBER,TRICK,
Optional Move 4,EMBER,SMOKESCREEN,EMBER,PROTECT,THUNDER_WAVE,
Optional Move 5,ROCK_THROW,RAPID_SPIN,MAGNITUDE,ENDURE,THUNDER_SHOCK,
Optional Move 6,HARDEN,STEALTH_ROCK,FLAME_BURST,FLAIL,CONFUSE_RAY,
Optional Move 7,INCINERATE,HEAT_CRASH,AMNESIA,INCINERATE,OMINOUS_WIND,
Optional Move 8,CLEAR_SMOG,TOXIC,LAVA_PLUME,BODY_SLAM,ELECTRO_BALL,
Optional Move 9,ANCIENT_POWER,HIDDEN_POWER,EARTH_POWER,SHELL_SMASH,SUBSTITUTE,
Optional Move 10,FLAME_BURST,SUNNY_DAY,CURSE,OVERHEAT,HEX,
Optional Move 11,AMNESIA,HYPER_BEAM,TAKE_DOWN,EXPLOSION,TOXIC,
Optional Move 12,RECOVER,PROTECT,YAWN,ROAR,HIDDEN_POWER,
Optional Move 13,TOXIC,FRUSTRATION,ROAR,TOXIC,SUNNY_DAY,
Optional Move 14,HIDDEN_POWER,SOLAR_BEAM,TOXIC,BULK_UP,LIGHT_SCREEN,
Optional Move 15,SUNNY_DAY,EARTHQUAKE,HIDDEN_POWER,HIDDEN_POWER,PROTECT,
Optional Move 16,HYPER_BEAM,RETURN,SUNNY_DAY,SUNNY_DAY,RAIN_DANCE,
Optional Move 17,LIGHT_SCREEN,DIG,HYPER_BEAM,TAUNT,FRUSTRATION,
Optional Move 18,PROTECT,DOUBLE_TEAM,PROTECT,HYPER_BEAM,THUNDERBOLT,
Optional Move 19,FRUSTRATION,REFLECT,RAIN_DANCE,FRUSTRATION,THUNDER,
Optional Move 20,SOLAR_BEAM,FLAMETHROWER,FRUSTRATION,SOLAR_BEAM,RETURN,
Optional Move 21,EARTHQUAKE,SANDSTORM,SOLAR_BEAM,IRON_TAIL,SHADOW_BALL,
Optional Move 22,RETURN,FIRE_BLAST,RETURN,EARTHQUAKE,REFLECT,
Optional Move 23,DOUBLE_TEAM,ROCK_TOMB,DIG,RETURN,FACADE,
Optional Move 24,REFLECT,FACADE,DOUBLE_TEAM,DOUBLE_TEAM,SECRET_POWER,
Optional Move 25,SANDSTORM,SECRET_POWER,FLAMETHROWER,SHOCK_WAVE,REST,
Optional Move 26,FIRE_BLAST,REST,SANDSTORM,FIRE_BLAST,THIEF,
Optional Move 27,ROCK_TOMB,ATTRACT,FIRE_BLAST,ROCK_TOMB,SNATCH,
Optional Move 28,FACADE,OVERHEAT,ROCK_TOMB,FACADE,CHARGE_BEAM,
Optional Move 29,SECRET_POWER,ENDURE,FACADE,SECRET_POWER,ENDURE,
Optional Move 30,REST,WILL_O_WISP,SECRET_POWER,REST,WILL_O_WISP,
Optional Move 31,ATTRACT,GIGA_IMPACT,REST,ATTRACT,FLASH,
Optional Move 32,OVERHEAT,STONE_EDGE,ATTRACT,FOCUS_BLAST,DARK_PULSE,
Optional Move 33,ENDURE,GYRO_BALL,OVERHEAT,FLING,SLEEP_TALK,
Optional Move 34,WILL_O_WISP,ROCK_SLIDE,ENDURE,CHARGE_BEAM,NATURAL_GIFT,
Optional Move 35,EXPLOSION,SLEEP_TALK,WILL_O_WISP,WILL_O_WISP,DREAM_EATER,
Optional Move 36,GIGA_IMPACT,SUBSTITUTE,EXPLOSION,PAYBACK,SWAGGER,
Optional Move 37,ROCK_POLISH,,GIGA_IMPACT,GIGA_IMPACT,,
Optional Move 38,STONE_EDGE,,ROCK_POLISH,STONE_EDGE,,
Optional Move 39,GYRO_BALL,,STONE_EDGE,SLEEP_TALK,,
Optional Move 40,STEALTH_ROCK,,STEALTH_ROCK,SWAGGER,,
Optional Move 41,CAPTIVATE,,CAPTIVATE,SUBSTITUTE,,
Optional Move 42,SLEEP_TALK,,SLEEP_TALK,FLASH_CANNON,,
Optional Move 43,NATURAL_GIFT,,NATURAL_GIFT,,,
Optional Move 44,SWAGGER,,SWAGGER,,,
Optional Move 45,SUBSTITUTE,,SUBSTITUTE,,,
Optional Move 46,,,FLASH_CANNON,,,
