Trainer 603,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,HOUNDOOM,DRAMPA,TYRANTRUM,HYDREIGON,FLYGON,NONE
Level,52,52,52,52,52,
Ability,EARLY_BIRD,BERSERK,STRONG_JAW,LEVITATE,LEVITATE,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,FLAMETHROWER,HYPER_VOICE,DRAGON_CLAW,OUTRAGE,EARTHQUAKE,
Move 2,NASTY_PLOT,DRAGON_PULSE,THRASH,HYPER_VOICE,DRAGON_CLAW,
Move 3,INFERNO,PLAY_NICE,STEALTH_ROCK,DRAGON_RUSH,DRAGON_DANCE,
Move 4,FOUL_PLAY,EXTRASENSORY,HEAD_SMASH,CRUNCH,SUPERPOWER,
Optional Move 1,THUNDER_FANG,ECHOED_VOICE,ROCK_SLIDE,TACKLE,DRAGON_BREATH,
Optional Move 2,LEER,TWISTER,TACKLE,DOUBLE_HIT,FEINT,
Optional Move 3,EMBER,PROTECT,TAIL_WHIP,TRI_ATTACK,LASER_FOCUS,
Optional Move 4,HOWL,GLARE,ROAR,FOCUS_ENERGY,BULLDOZE,
Optional Move 5,SMOG,DRAGON_RAGE,ANCIENT_POWER,DRAGON_BREATH,DIG,
Optional Move 6,ROAR,NATURAL_GIFT,STOMP,BITE,CRUNCH,
Optional Move 7,BITE,SAFEGUARD,BIDE,DRAGON_RAGE,FISSURE,
Optional Move 8,ODOR_SLEUTH,DRAGON_BREATH,CHARM,ROAR,SAND_ATTACK,
Optional Move 9,BEAT_UP,LIGHT_SCREEN,BITE,ASSURANCE,ASTONISH,
Optional Move 10,FIRE_FANG,FLY,DRAGON_TAIL,HEADBUTT,SUPERSONIC,
Optional Move 11,FEINT_ATTACK,WATER_PULSE,CRUNCH,SLAM,BITE,
Optional Move 12,EMBARGO,CALM_MIND,EARTHQUAKE,WORK_UP,SONIC_BOOM,
Optional Move 13,TOXIC,ROAR,TOXIC,DRAGON_PULSE,FEINT_ATTACK,
Optional Move 14,HIDDEN_POWER,TOXIC,HIDDEN_POWER,SCARY_FACE,BIDE,
Optional Move 15,SUNNY_DAY,HIDDEN_POWER,SUNNY_DAY,BODY_SLAM,MUD_SLAP,
Optional Move 16,TAUNT,SUNNY_DAY,HYPER_BEAM,TOXIC,SAND_TOMB,
Optional Move 17,HYPER_BEAM,ICE_BEAM,PROTECT,HIDDEN_POWER,ROCK_SLIDE,
Optional Move 18,PROTECT,BLIZZARD,FRUSTRATION,SUNNY_DAY,SCREECH,
Optional Move 19,RAIN_DANCE,HYPER_BEAM,IRON_TAIL,TAUNT,DRAGON_TAIL,
Optional Move 20,FRUSTRATION,FRUSTRATION,RETURN,PROTECT,BUG_BUZZ,
Optional Move 21,SOLAR_BEAM,SOLAR_BEAM,DIG,RAIN_DANCE,EARTH_POWER,
Optional Move 22,IRON_TAIL,THUNDERBOLT,BRICK_BREAK,FRUSTRATION,SANDSTORM,
Optional Move 23,RETURN,THUNDER,DOUBLE_TEAM,IRON_TAIL,HYPER_BEAM,
Optional Move 24,SHADOW_BALL,EARTHQUAKE,SANDSTORM,RETURN,UPROAR,
Optional Move 25,DOUBLE_TEAM,RETURN,ROCK_TOMB,DOUBLE_TEAM,TOXIC,
Optional Move 26,SLUDGE_BOMB,SHADOW_BALL,AERIAL_ACE,REFLECT,HIDDEN_POWER,
Optional Move 27,FIRE_BLAST,DOUBLE_TEAM,FACADE,SHOCK_WAVE,SUNNY_DAY,
Optional Move 28,TORMENT,SHOCK_WAVE,SECRET_POWER,FLAMETHROWER,PROTECT,
Optional Move 29,FACADE,FLAMETHROWER,REST,FIRE_BLAST,GIGA_DRAIN,
Optional Move 30,SECRET_POWER,FIRE_BLAST,ATTRACT,ROCK_TOMB,FRUSTRATION,
Optional Move 31,REST,FACADE,ENDURE,TORMENT,SOLAR_BEAM,
Optional Move 32,ATTRACT,SECRET_POWER,DRAGON_PULSE,FACADE,IRON_TAIL,
Optional Move 33,THIEF,REST,STONE_EDGE,SECRET_POWER,RETURN,
Optional Move 34,SNATCH,ATTRACT,DARK_PULSE,REST,DOUBLE_TEAM,
Optional Move 35,OVERHEAT,STEEL_WING,SLEEP_TALK,ATTRACT,FLAMETHROWER,
Optional Move 36,ENDURE,ROOST,SWAGGER,THIEF,FIRE_BLAST,
Optional Move 37,WILL_O_WISP,FOCUS_BLAST,SUBSTITUTE,STEEL_WING,ROCK_TOMB,
Optional Move 38,PAYBACK,ENERGY_BALL,,FOCUS_BLAST,AERIAL_ACE,
Optional Move 39,GIGA_IMPACT,FLING,,ENDURE,FACADE,
Optional Move 40,CAPTIVATE,ENDURE,,PAYBACK,SECRET_POWER,
Optional Move 41,DARK_PULSE,SHADOW_CLAW,,GIGA_IMPACT,REST,
Optional Move 42,SLEEP_TALK,GIGA_IMPACT,,STONE_EDGE,ATTRACT,
Optional Move 43,NATURAL_GIFT,THUNDER_WAVE,,THUNDER_WAVE,STEEL_WING,
Optional Move 44,DREAM_EATER,PSYCH_UP,,STEALTH_ROCK,ROOST,
Optional Move 45,SWAGGER,ROCK_SLIDE,,PSYCH_UP,ENDURE,
Optional Move 46,SUBSTITUTE,SLEEP_TALK,,DARK_PULSE,DRAGON_PULSE,
Optional Move 47,,GRASS_KNOT,,ROCK_SLIDE,SILVER_WIND,
Optional Move 48,,SUBSTITUTE,,SLEEP_TALK,GIGA_IMPACT,
Optional Move 49,,,,SWAGGER,STONE_EDGE,
Optional Move 50,,,,U_TURN,STEALTH_ROCK,
Optional Move 51,,,,SUBSTITUTE,CAPTIVATE,
Optional Move 52,,,,FLASH_CANNON,SLEEP_TALK,
Optional Move 53,,,,,NATURAL_GIFT,
Optional Move 54,,,,,SWAGGER,
Optional Move 55,,,,,U_TURN,
Optional Move 56,,,,,SUBSTITUTE,
