Trainer 627,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,PELIPPER,SEADRA,GYARADOS,WHISCASH,MILOTIC,NONE
Level,55,55,55,55,55,
Ability,KEEN_EYE,POISON_POINT,INTIMIDATE,OBLIVIOUS,MARVEL_SCALE,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,HYDRO_PUMP,HYDRO_PUMP,HYDRO_PUMP,EARTHQUAKE,HYDRO_PUMP,
Move 2,AGILITY,DRAGON_PULSE,THRASH,BELCH,SURF,
Move 3,BRINE,FOCUS_ENERGY,AQUA_TAIL,THRASH,AQUA_TAIL,
Move 4,HURRICANE,BUBBLE_BEAM,HURRICANE,AQUA_TAIL,COIL,
Optional Move 1,PROTECT,WATER_GUN,BITE,ZEN_HEADBUTT,WATER_PULSE,
Optional Move 2,SOAK,LEER,FLAIL,TICKLE,FLAIL,
Optional Move 3,QUICK_ATTACK,SMOKESCREEN,SPLASH,MUD_SLAP,SPLASH,
Optional Move 4,AIR_SLASH,TWISTER,TACKLE,WATER_GUN,TACKLE,
Optional Move 5,GROWL,BUBBLE,LEER,REST,WRAP,
Optional Move 6,WATER_GUN,DRAGON_BREATH,TWISTER,SNORE,WATER_GUN,
Optional Move 7,TAILWIND,BRINE,WHIRLPOOL,MUD_SPORT,WATER_SPORT,
Optional Move 8,SUPERSONIC,AGILITY,BRINE,WATER_SPORT,REFRESH,
Optional Move 9,WATER_SPORT,LASER_FOCUS,ICE_FANG,MUD_BOMB,DISARMING_VOICE,
Optional Move 10,WING_ATTACK,DRAGON_DANCE,WATERFALL,WATER_PULSE,TWISTER,
Optional Move 11,WATER_PULSE,WATER_PULSE,SCARY_FACE,AMNESIA,AQUA_RING,
Optional Move 12,PAYBACK,TOXIC,CRUNCH,MAGNITUDE,LIFE_DEW,
Optional Move 13,MIST,HAIL,DRAGON_RAGE,MUDDY_WATER,CAPTIVATE,
Optional Move 14,STOCKPILE,HIDDEN_POWER,RAIN_DANCE,FUTURE_SIGHT,ATTRACT,
Optional Move 15,SWALLOW,ICE_BEAM,DRAGON_DANCE,FISSURE,DRAGON_TAIL,
Optional Move 16,SPIT_UP,BLIZZARD,HYPER_BEAM,TOXIC,RECOVER,
Optional Move 17,FLING,HYPER_BEAM,WATER_PULSE,HAIL,SAFEGUARD,
Optional Move 18,ROOST,PROTECT,ROAR,HIDDEN_POWER,RAIN_DANCE,
Optional Move 19,TOXIC,FRUSTRATION,TOXIC,SUNNY_DAY,TOXIC,
Optional Move 20,HAIL,RETURN,HAIL,ICE_BEAM,HAIL,
Optional Move 21,HIDDEN_POWER,DOUBLE_TEAM,HIDDEN_POWER,BLIZZARD,HIDDEN_POWER,
Optional Move 22,ICE_BEAM,FACADE,TAUNT,HYPER_BEAM,ICE_BEAM,
Optional Move 23,BLIZZARD,SECRET_POWER,ICE_BEAM,PROTECT,BLIZZARD,
Optional Move 24,HYPER_BEAM,REST,BLIZZARD,RAIN_DANCE,HYPER_BEAM,
Optional Move 25,RAIN_DANCE,ATTRACT,PROTECT,FRUSTRATION,LIGHT_SCREEN,
Optional Move 26,FRUSTRATION,ENDURE,FRUSTRATION,RETURN,PROTECT,
Optional Move 27,RETURN,GIGA_IMPACT,IRON_TAIL,DOUBLE_TEAM,FRUSTRATION,
Optional Move 28,DOUBLE_TEAM,CAPTIVATE,THUNDERBOLT,SANDSTORM,IRON_TAIL,
Optional Move 29,SHOCK_WAVE,SLEEP_TALK,THUNDER,ROCK_TOMB,RETURN,
Optional Move 30,AERIAL_ACE,NATURAL_GIFT,EARTHQUAKE,AERIAL_ACE,DOUBLE_TEAM,
Optional Move 31,FACADE,SWAGGER,RETURN,FACADE,FACADE,
Optional Move 32,SECRET_POWER,SUBSTITUTE,DOUBLE_TEAM,SECRET_POWER,SECRET_POWER,
Optional Move 33,REST,FLASH_CANNON,FLAMETHROWER,ATTRACT,REST,
Optional Move 34,ATTRACT,,SANDSTORM,ENDURE,BRINE,
Optional Move 35,THIEF,,FIRE_BLAST,GIGA_IMPACT,ENDURE,
Optional Move 36,STEEL_WING,,TORMENT,STONE_EDGE,DRAGON_PULSE,
Optional Move 37,ENDURE,,FACADE,STEALTH_ROCK,GIGA_IMPACT,
Optional Move 38,GIGA_IMPACT,,SECRET_POWER,CAPTIVATE,AVALANCHE,
Optional Move 39,CAPTIVATE,,REST,ROCK_SLIDE,PSYCH_UP,
Optional Move 40,SLEEP_TALK,,ATTRACT,SLEEP_TALK,SLEEP_TALK,
Optional Move 41,NATURAL_GIFT,,ENDURE,NATURAL_GIFT,NATURAL_GIFT,
Optional Move 42,SWAGGER,,DRAGON_PULSE,SWAGGER,SWAGGER,
Optional Move 43,PLUCK,,PAYBACK,SUBSTITUTE,SUBSTITUTE,
Optional Move 44,U_TURN,,GIGA_IMPACT,,,
Optional Move 45,SUBSTITUTE,,STONE_EDGE,,,
Optional Move 46,,,AVALANCHE,,,
Optional Move 47,,,THUNDER_WAVE,,,
Optional Move 48,,,CAPTIVATE,,,
Optional Move 49,,,DARK_PULSE,,,
Optional Move 50,,,SLEEP_TALK,,,
Optional Move 51,,,NATURAL_GIFT,,,
Optional Move 52,,,SWAGGER,,,
Optional Move 53,,,SUBSTITUTE,,,
