Trainer 637,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,LANTURN,ALOMOMOLA,MANTINE,WAILORD,WHISCASH,NONE
Level,55,55,55,55,55,
Ability,VOLT_ABSORB,HEALER,SWIFT_SWIM,WATER_VEIL,OBLIVIOUS,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,HYDRO_PUMP,HYDRO_PUMP,HYDRO_PUMP,WATER_SPOUT,EARTHQUAKE,
Move 2,SIGNAL_BEAM,WATER_SPORT,SIGNAL_BEAM,BODY_SLAM,BELCH,
Move 3,CHARGE,WAKE_UP_SLAP,BUBBLE_BEAM,AMNESIA,THRASH,
Move 4,DISCHARGE,BRINE,BOUNCE,BOUNCE,AQUA_TAIL,
Optional Move 1,SPIT_UP,PLAY_NICE,PSYBEAM,SOAK,ZEN_HEADBUTT,
Optional Move 2,SWALLOW,WIDE_GUARD,BULLET_SEED,NOBLE_ROAR,TICKLE,
Optional Move 3,STOCKPILE,HEALING_WISH,ROOST,SPLASH,MUD_SLAP,
Optional Move 4,EERIE_IMPULSE,HELPING_HAND,TACKLE,GROWL,WATER_GUN,
Optional Move 5,WATER_GUN,POUND,WATER_GUN,ASTONISH,REST,
Optional Move 6,SUPERSONIC,AQUA_RING,SUPERSONIC,WATER_GUN,SNORE,
Optional Move 7,ELECTRO_BALL,AQUA_JET,WING_ATTACK,HEAVY_SLAM,MUD_SPORT,
Optional Move 8,THUNDER_WAVE,DOUBLE_SLAP,BUBBLE,ROLLOUT,WATER_SPORT,
Optional Move 9,SPOTLIGHT,HEAL_PULSE,CONFUSE_RAY,MIST,MUD_BOMB,
Optional Move 10,BUBBLE,PROTECT,WATER_PULSE,WATER_PULSE,WATER_PULSE,
Optional Move 11,BUBBLE_BEAM,WATER_PULSE,WIDE_GUARD,WHIRLPOOL,AMNESIA,
Optional Move 12,CONFUSE_RAY,SOAK,HEADBUTT,BRINE,MAGNITUDE,
Optional Move 13,SPARK,WISH,AGILITY,REST,MUDDY_WATER,
Optional Move 14,FLAIL,SAFEGUARD,AIR_SLASH,DIVE,FUTURE_SIGHT,
Optional Move 15,AQUA_RING,WHIRLPOOL,TAKE_DOWN,HYDRO_PUMP,FISSURE,
Optional Move 16,TAKE_DOWN,ENDURE,AQUA_RING,ROAR,TOXIC,
Optional Move 17,ION_DELUGE,MIRROR_COAT,TWISTER,TOXIC,HAIL,
Optional Move 18,WATER_PULSE,MIST,HAZE,HAIL,HIDDEN_POWER,
Optional Move 19,TOXIC,PAIN_SPLIT,SLAM,HIDDEN_POWER,SUNNY_DAY,
Optional Move 20,HAIL,REFRESH,MUD_SPORT,ICE_BEAM,ICE_BEAM,
Optional Move 21,HIDDEN_POWER,TICKLE,ROCK_SLIDE,BLIZZARD,BLIZZARD,
Optional Move 22,ICE_BEAM,CALM_MIND,MIRROR_COAT,HYPER_BEAM,HYPER_BEAM,
Optional Move 23,BLIZZARD,TOXIC,WATER_SPORT,PROTECT,PROTECT,
Optional Move 24,HYPER_BEAM,HAIL,SPLASH,RAIN_DANCE,RAIN_DANCE,
Optional Move 25,PROTECT,HIDDEN_POWER,TOXIC,FRUSTRATION,FRUSTRATION,
Optional Move 26,RAIN_DANCE,ICE_BEAM,HAIL,EARTHQUAKE,RETURN,
Optional Move 27,FRUSTRATION,BLIZZARD,HIDDEN_POWER,RETURN,DOUBLE_TEAM,
Optional Move 28,THUNDERBOLT,HYPER_BEAM,ICE_BEAM,DOUBLE_TEAM,SANDSTORM,
Optional Move 29,THUNDER,LIGHT_SCREEN,BLIZZARD,ROCK_TOMB,ROCK_TOMB,
Optional Move 30,RETURN,RAIN_DANCE,HYPER_BEAM,FACADE,AERIAL_ACE,
Optional Move 31,DOUBLE_TEAM,FRUSTRATION,PROTECT,SECRET_POWER,FACADE,
Optional Move 32,SHOCK_WAVE,RETURN,RAIN_DANCE,ATTRACT,SECRET_POWER,
Optional Move 33,FACADE,PSYCHIC,FRUSTRATION,ENDURE,ATTRACT,
Optional Move 34,SECRET_POWER,SHADOW_BALL,EARTHQUAKE,GIGA_IMPACT,ENDURE,
Optional Move 35,REST,DOUBLE_TEAM,RETURN,AVALANCHE,GIGA_IMPACT,
Optional Move 36,ATTRACT,FACADE,DOUBLE_TEAM,CAPTIVATE,STONE_EDGE,
Optional Move 37,BRINE,SECRET_POWER,ROCK_TOMB,SLEEP_TALK,STEALTH_ROCK,
Optional Move 38,CHARGE_BEAM,REST,AERIAL_ACE,NATURAL_GIFT,CAPTIVATE,
Optional Move 39,ENDURE,ATTRACT,FACADE,SWAGGER,ROCK_SLIDE,
Optional Move 40,GIGA_IMPACT,SKILL_SWAP,SECRET_POWER,SUBSTITUTE,SLEEP_TALK,
Optional Move 41,FLASH,GIGA_IMPACT,REST,,NATURAL_GIFT,
Optional Move 42,CAPTIVATE,SLEEP_TALK,ATTRACT,,SWAGGER,
Optional Move 43,SLEEP_TALK,SWAGGER,BRINE,,SUBSTITUTE,
Optional Move 44,NATURAL_GIFT,SUBSTITUTE,ENDURE,,,
Optional Move 45,SWAGGER,,GIGA_IMPACT,,,
Optional Move 46,SUBSTITUTE,,CAPTIVATE,,,
Optional Move 47,,,SLEEP_TALK,,,
Optional Move 48,,,NATURAL_GIFT,,,
Optional Move 49,,,SWAGGER,,,
Optional Move 50,,,SUBSTITUTE,,,
