Trainer 641,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,CHINCHOU,LUMINEON,LANTURN,NONE,NONE,NONE
Level,55,55,55,,,
Ability,VOLT_ABSORB,SWIFT_SWIM,VOLT_ABSORB,,,
Held Item,NONE,NONE,NONE,,,
Move 1,HYDRO_PUMP,SOAK,HYDRO_PUMP,,,
Move 2,SIGNAL_BEAM,BOUNCE,SIGNAL_BEAM,,,
Move 3,CHARGE,U_TURN,CHARGE,,,
Move 4,DISCHARGE,WATER_PULSE,DISCHARGE,,,
Optional Move 1,WATER_GUN,GUST,SPIT_UP,,,
Optional Move 2,SUPERSONIC,POUND,SWALLOW,,,
Optional Move 3,BUBBLE,WATER_GUN,STOCKPILE,,,
Optional Move 4,ELECTRO_BALL,ATTRACT,EERIE_IMPULSE,,,
Optional Move 5,THUNDER_WAVE,RAIN_DANCE,WATER_GUN,,,
Optional Move 6,BUBBLE_BEAM,CAPTIVATE,SUPERSONIC,,,
Optional Move 7,CONFUSE_RAY,SAFEGUARD,ELECTRO_BALL,,,
Optional Move 8,SPARK,AQUA_RING,THUNDER_WAVE,,,
Optional Move 9,FLAIL,WHIRLPOOL,SPOTLIGHT,,,
Optional Move 10,AQUA_RING,TOXIC,BUBBLE,,,
Optional Move 11,TAKE_DOWN,HAIL,BUBBLE_BEAM,,,
Optional Move 12,ION_DELUGE,HIDDEN_POWER,CONFUSE_RAY,,,
Optional Move 13,SCREECH,ICE_BEAM,SPARK,,,
Optional Move 14,AMNESIA,BLIZZARD,FLAIL,,,
Optional Move 15,PSYBEAM,HYPER_BEAM,AQUA_RING,,,
Optional Move 16,WHIRLPOOL,PROTECT,TAKE_DOWN,,,
Optional Move 17,AGILITY,FRUSTRATION,ION_DELUGE,,,
Optional Move 18,MIST,RETURN,WATER_PULSE,,,
Optional Move 19,WATER_PULSE,DOUBLE_TEAM,TOXIC,,,
Optional Move 20,TOXIC,FACADE,HAIL,,,
Optional Move 21,HAIL,SECRET_POWER,HIDDEN_POWER,,,
Optional Move 22,HIDDEN_POWER,REST,ICE_BEAM,,,
Optional Move 23,ICE_BEAM,THIEF,BLIZZARD,,,
Optional Move 24,BLIZZARD,BRINE,HYPER_BEAM,,,
Optional Move 25,PROTECT,ENDURE,PROTECT,,,
Optional Move 26,RAIN_DANCE,PAYBACK,RAIN_DANCE,,,
Optional Move 27,FRUSTRATION,GIGA_IMPACT,FRUSTRATION,,,
Optional Move 28,THUNDERBOLT,FLASH,THUNDERBOLT,,,
Optional Move 29,THUNDER,PSYCH_UP,THUNDER,,,
Optional Move 30,RETURN,SLEEP_TALK,RETURN,,,
Optional Move 31,DOUBLE_TEAM,NATURAL_GIFT,DOUBLE_TEAM,,,
Optional Move 32,SHOCK_WAVE,SWAGGER,SHOCK_WAVE,,,
Optional Move 33,FACADE,SUBSTITUTE,FACADE,,,
Optional Move 34,SECRET_POWER,,SECRET_POWER,,,
Optional Move 35,REST,,REST,,,
Optional Move 36,ATTRACT,,ATTRACT,,,
Optional Move 37,BRINE,,BRINE,,,
Optional Move 38,CHARGE_BEAM,,CHARGE_BEAM,,,
Optional Move 39,ENDURE,,ENDURE,,,
Optional Move 40,FLASH,,GIGA_IMPACT,,,
Optional Move 41,CAPTIVATE,,FLASH,,,
Optional Move 42,SLEEP_TALK,,CAPTIVATE,,,
Optional Move 43,NATURAL_GIFT,,SLEEP_TALK,,,
Optional Move 44,SWAGGER,,NATURAL_GIFT,,,
Optional Move 45,SUBSTITUTE,,SWAGGER,,,
Optional Move 46,,,SUBSTITUTE,,,
