Trainer 642,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,GOLDUCK,TOEDSCRUEL,WHISCASH,ALOMOMOLA,NONE,NONE
Level,55,55,55,55,,
Ability,DAMP,MYCELIUM_MIGHT,OBLIVIOUS,HEALER,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,HYDRO_PUMP,EARTH_POWER,EARTHQUAKE,HYDRO_PUMP,,
Move 2,ZEN_HEADBUTT,SPORE,BELCH,WATER_SPORT,,
Move 3,AMNESIA,MUD_SHOT,THRASH,WAKE_UP_SLAP,,
Move 4,AQUA_TAIL,GIGA_DRAIN,AQUA_TAIL,BRINE,,
Optional Move 1,AQUA_JET,MUD_SLAP,ZEN_HEADBUTT,PLAY_NICE,,
Optional Move 2,SCRATCH,REFLECT_TYPE,TICKLE,WIDE_GUARD,,
Optional Move 3,TAIL_WHIP,WRAP,MUD_SLAP,HEALING_WISH,,
Optional Move 4,WATER_GUN,ABSORB,WATER_GUN,HELPING_HAND,,
Optional Move 5,CONFUSION,POISON_POWDER,REST,POUND,,
Optional Move 6,ME_FIRST,STUN_SPORE,SNORE,AQUA_RING,,
Optional Move 7,WATER_SPORT,SUPERSONIC,MUD_SPORT,AQUA_JET,,
Optional Move 8,FURY_SWIPES,TACKLE,WATER_SPORT,DOUBLE_SLAP,,
Optional Move 9,WATER_PULSE,MEGA_DRAIN,MUD_BOMB,HEAL_PULSE,,
Optional Move 10,DISABLE,SCREECH,WATER_PULSE,PROTECT,,
Optional Move 11,SCREECH,HEX,AMNESIA,WATER_PULSE,,
Optional Move 12,SOAK,SEED_BOMB,MAGNITUDE,SOAK,,
Optional Move 13,PSYCH_UP,GROWTH,MUDDY_WATER,WISH,,
Optional Move 14,WONDER_ROOM,TOXIC,FUTURE_SIGHT,SAFEGUARD,,
Optional Move 15,FOCUS_PUNCH,BULLET_SEED,FISSURE,WHIRLPOOL,,
Optional Move 16,CALM_MIND,HIDDEN_POWER,TOXIC,ENDURE,,
Optional Move 17,TOXIC,HYPER_BEAM,HAIL,MIRROR_COAT,,
Optional Move 18,HAIL,LIGHT_SCREEN,HIDDEN_POWER,MIST,,
Optional Move 19,HIDDEN_POWER,PROTECT,SUNNY_DAY,PAIN_SPLIT,,
Optional Move 20,TAUNT,RAIN_DANCE,ICE_BEAM,REFRESH,,
Optional Move 21,ICE_BEAM,FRUSTRATION,BLIZZARD,TICKLE,,
Optional Move 22,BLIZZARD,SOLAR_BEAM,HYPER_BEAM,CALM_MIND,,
Optional Move 23,HYPER_BEAM,RETURN,PROTECT,TOXIC,,
Optional Move 24,LIGHT_SCREEN,DOUBLE_TEAM,RAIN_DANCE,HAIL,,
Optional Move 25,PROTECT,REFLECT,FRUSTRATION,HIDDEN_POWER,,
Optional Move 26,RAIN_DANCE,SLUDGE_BOMB,RETURN,ICE_BEAM,,
Optional Move 27,FRUSTRATION,SECRET_POWER,DOUBLE_TEAM,BLIZZARD,,
Optional Move 28,IRON_TAIL,REST,SANDSTORM,HYPER_BEAM,,
Optional Move 29,RETURN,ATTRACT,ROCK_TOMB,LIGHT_SCREEN,,
Optional Move 30,DIG,ENERGY_BALL,AERIAL_ACE,RAIN_DANCE,,
Optional Move 31,PSYCHIC,ENDURE,FACADE,FRUSTRATION,,
Optional Move 32,BRICK_BREAK,GIGA_IMPACT,SECRET_POWER,RETURN,,
Optional Move 33,DOUBLE_TEAM,SLEEP_TALK,ATTRACT,PSYCHIC,,
Optional Move 34,FACADE,GRASS_KNOT,ENDURE,SHADOW_BALL,,
Optional Move 35,SECRET_POWER,SUBSTITUTE,GIGA_IMPACT,DOUBLE_TEAM,,
Optional Move 36,REST,FLASH_CANNON,STONE_EDGE,FACADE,,
Optional Move 37,ATTRACT,TRICK_ROOM,STEALTH_ROCK,SECRET_POWER,,
Optional Move 38,THIEF,,CAPTIVATE,REST,,
Optional Move 39,SKILL_SWAP,,ROCK_SLIDE,ATTRACT,,
Optional Move 40,FOCUS_BLAST,,SLEEP_TALK,SKILL_SWAP,,
Optional Move 41,BRINE,,NATURAL_GIFT,GIGA_IMPACT,,
Optional Move 42,FLING,,SWAGGER,SLEEP_TALK,,
Optional Move 43,ENDURE,,SUBSTITUTE,SWAGGER,,
Optional Move 44,SHADOW_CLAW,,,SUBSTITUTE,,
Optional Move 45,GIGA_IMPACT,,,,,
Optional Move 46,FLASH,,,,,
Optional Move 47,CAPTIVATE,,,,,
Optional Move 48,SLEEP_TALK,,,,,
Optional Move 49,NATURAL_GIFT,,,,,
Optional Move 50,GRASS_KNOT,,,,,
Optional Move 51,SWAGGER,,,,,
Optional Move 52,SUBSTITUTE,,,,,
