Trainer 648,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,GASTRODON,CLODSIRE,SWAMPERT,WHISCASH,SEISMITOAD,NONE
Level,55,55,55,55,55,
Ability,STICKY_HOLD,POISON_POINT,TORRENT,OBLIVIOUS,SWIFT_SWIM,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,MUDDY_WATER,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,MUDDY_WATER,
Move 2,BODY_SLAM,MEGAHORN,SURF,BELCH,UPROAR,
Move 3,MUD_SPORT,AMNESIA,MUDDY_WATER,THRASH,ACID,
Move 4,EARTH_POWER,SLUDGE_WAVE,AMNESIA,AQUA_TAIL,MUD_SHOT,
Optional Move 1,WATER_GUN,POISON_STING,MUD_SHOT,ZEN_HEADBUTT,DRAIN_PUNCH,
Optional Move 2,MUD_SLAP,TAIL_WHIP,HAMMER_ARM,TICKLE,GASTRO_ACID,
Optional Move 3,HARDEN,TOXIC_SPIKES,TACKLE,MUD_SLAP,ECHOED_VOICE,
Optional Move 4,RECOVER,MUD_SHOT,GROWL,WATER_GUN,GROWL,
Optional Move 5,WATER_PULSE,POISON_TAIL,WATER_GUN,REST,SUPERSONIC,
Optional Move 6,MUD_BOMB,SLAM,ROCK_SMASH,SNORE,BUBBLE,
Optional Move 7,HIDDEN_POWER,YAWN,MUD_SLAP,MUD_SPORT,ROUND,
Optional Move 8,ANCIENT_POWER,POISON_JAB,ROCK_THROW,WATER_SPORT,BUBBLE_BEAM,
Optional Move 9,RAIN_DANCE,TOXIC,FORESIGHT,MUD_BOMB,AQUA_RING,
Optional Move 10,MEMENTO,WATER_PULSE,SUPERSONIC,WATER_PULSE,FLAIL,
Optional Move 11,TOXIC,HIDDEN_POWER,BIDE,AMNESIA,RAIN_DANCE,
Optional Move 12,HAIL,HYPER_BEAM,WATER_PULSE,MAGNITUDE,HYPER_VOICE,
Optional Move 13,ICE_BEAM,PROTECT,PROTECT,MUDDY_WATER,FOCUS_PUNCH,
Optional Move 14,BLIZZARD,RAIN_DANCE,MUD_BOMB,FUTURE_SIGHT,WATER_PULSE,
Optional Move 15,HYPER_BEAM,FRUSTRATION,ROCK_SLIDE,FISSURE,TOXIC,
Optional Move 16,PROTECT,RETURN,TAKE_DOWN,TOXIC,HAIL,
Optional Move 17,FRUSTRATION,DIG,SCREECH,HAIL,HIDDEN_POWER,
Optional Move 18,EARTHQUAKE,DOUBLE_TEAM,FOCUS_PUNCH,HIDDEN_POWER,HYPER_BEAM,
Optional Move 19,RETURN,SLUDGE_BOMB,ROAR,SUNNY_DAY,PROTECT,
Optional Move 20,DIG,SANDSTORM,TOXIC,ICE_BEAM,FRUSTRATION,
Optional Move 21,DOUBLE_TEAM,FACADE,HAIL,BLIZZARD,EARTHQUAKE,
Optional Move 22,SLUDGE_BOMB,SECRET_POWER,BULK_UP,HYPER_BEAM,RETURN,
Optional Move 23,SANDSTORM,REST,HIDDEN_POWER,PROTECT,DIG,
Optional Move 24,ROCK_TOMB,ATTRACT,ICE_BEAM,RAIN_DANCE,BRICK_BREAK,
Optional Move 25,FACADE,ENDURE,BLIZZARD,FRUSTRATION,DOUBLE_TEAM,
Optional Move 26,SECRET_POWER,GIGA_IMPACT,HYPER_BEAM,RETURN,SLUDGE_BOMB,
Optional Move 27,REST,STONE_EDGE,RAIN_DANCE,DOUBLE_TEAM,ROCK_TOMB,
Optional Move 28,ATTRACT,STEALTH_ROCK,FRUSTRATION,SANDSTORM,FACADE,
Optional Move 29,BRINE,ROCK_SLIDE,IRON_TAIL,ROCK_TOMB,SECRET_POWER,
Optional Move 30,ENDURE,SLEEP_TALK,RETURN,AERIAL_ACE,REST,
Optional Move 31,GIGA_IMPACT,SUBSTITUTE,DIG,FACADE,ATTRACT,
Optional Move 32,FLASH,,BRICK_BREAK,SECRET_POWER,FLING,
Optional Move 33,STONE_EDGE,,DOUBLE_TEAM,ATTRACT,ENDURE,
Optional Move 34,STEALTH_ROCK,,ROCK_TOMB,ENDURE,PAYBACK,
Optional Move 35,CAPTIVATE,,FACADE,GIGA_IMPACT,GIGA_IMPACT,
Optional Move 36,ROCK_SLIDE,,SECRET_POWER,STONE_EDGE,STEALTH_ROCK,
Optional Move 37,SLEEP_TALK,,REST,STEALTH_ROCK,ROCK_SLIDE,
Optional Move 38,NATURAL_GIFT,,ATTRACT,CAPTIVATE,SLEEP_TALK,
Optional Move 39,SWAGGER,,FOCUS_BLAST,ROCK_SLIDE,POISON_JAB,
Optional Move 40,SUBSTITUTE,,FLING,SLEEP_TALK,GRASS_KNOT,
Optional Move 41,,,ENDURE,NATURAL_GIFT,SWAGGER,
Optional Move 42,,,GIGA_IMPACT,SWAGGER,SUBSTITUTE,
Optional Move 43,,,STONE_EDGE,SUBSTITUTE,,
Optional Move 44,,,AVALANCHE,,,
Optional Move 45,,,STEALTH_ROCK,,,
Optional Move 46,,,CAPTIVATE,,,
Optional Move 47,,,SLEEP_TALK,,,
Optional Move 48,,,NATURAL_GIFT,,,
Optional Move 49,,,POISON_JAB,,,
Optional Move 50,,,SWAGGER,,,
Optional Move 51,,,SUBSTITUTE,,,
