Trainer 664,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,CHANSEY,BLISSEY,MILTANK,BOUFFALANT,AMOONGUSS,NONE
Level,52,52,52,52,52,
Ability,NATURAL_CURE,NATURAL_CURE,THICK_FAT,RECKLESS,EFFECT_SPORE,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,LAST_RESORT,LAST_RESORT,BODY_SLAM,HEAD_CHARGE,GIGA_DRAIN,
Move 2,COVET,COVET,PLAY_ROUGH,MEGAHORN,SYNTHESIS,
Move 3,EGG_BOMB,EGG_BOMB,GROWL,FOCUS_ENERGY,FEINT_ATTACK,
Move 4,HEAL_PULSE,HEAL_PULSE,ZEN_HEADBUTT,THRASH,CLEAR_SMOG,
Optional Move 1,SWEET_KISS,SWEET_KISS,TACKLE,TACKLE,ABSORB,
Optional Move 2,DISARMING_VOICE,DISARMING_VOICE,DEFENSE_CURL,LEER,ASTONISH,
Optional Move 3,CHARM,CHARM,ROLLOUT,PURSUIT,GROWTH,
Optional Move 4,MINIMIZE,MINIMIZE,STOMP,RAGE,STUN_SPORE,
Optional Move 5,POUND,POUND,BIDE,FURY_ATTACK,BIDE,
Optional Move 6,COPYCAT,COPYCAT,MILK_DRINK,REVENGE,MEGA_DRAIN,
Optional Move 7,DEFENSE_CURL,DEFENSE_CURL,HEADBUTT,SCARY_FACE,SWEET_SCENT,
Optional Move 8,DOUBLE_EDGE,DOUBLE_EDGE,HEAL_BELL,HORN_ATTACK,INGRAIN,
Optional Move 9,GROWL,GROWL,CAPTIVATE,THROAT_CHOP,TOXIC,
Optional Move 10,TAIL_WHIP,TAIL_WHIP,GYRO_BALL,REVERSAL,RAGE_POWDER,
Optional Move 11,ECHOED_VOICE,ECHOED_VOICE,CHARM,SWORDS_DANCE,SOLAR_BEAM,
Optional Move 12,REFRESH,REFRESH,WAKE_UP_SLAP,AMNESIA,BULLET_SEED,
Optional Move 13,LIFE_DEW,LIFE_DEW,PRESENT,HEADBUTT,HIDDEN_POWER,
Optional Move 14,DOUBLE_SLAP,DOUBLE_SLAP,REVERSAL,IRON_HEAD,SUNNY_DAY,
Optional Move 15,BESTOW,BESTOW,SEISMIC_TOSS,MUD_SHOT,HYPER_BEAM,
Optional Move 16,SING,SING,ENDURE,MUD_SLAP,PROTECT,
Optional Move 17,TAKE_DOWN,TAKE_DOWN,PSYCH_UP,ROCK_CLIMB,RAIN_DANCE,
Optional Move 18,FLING,FLING,CURSE,SKULL_BASH,FRUSTRATION,
Optional Move 19,SOFT_BOILED,SOFT_BOILED,HELPING_HAND,STOMP,RETURN,
Optional Move 20,HELPING_HAND,HELPING_HAND,SLEEP_TALK,TOXIC,DOUBLE_TEAM,
Optional Move 21,LIGHT_SCREEN,LIGHT_SCREEN,DIZZY_PUNCH,HIDDEN_POWER,SLUDGE_BOMB,
Optional Move 22,PRESENT,FOCUS_PUNCH,HAMMER_ARM,SUNNY_DAY,FACADE,
Optional Move 23,METRONOME,WATER_PULSE,DOUBLE_EDGE,TAUNT,SECRET_POWER,
Optional Move 24,HEAL_BELL,CALM_MIND,PUNISHMENT,PROTECT,REST,
Optional Move 25,AROMATHERAPY,TOXIC,FOCUS_PUNCH,RAIN_DANCE,ATTRACT,
Optional Move 26,SUBSTITUTE,HAIL,WATER_PULSE,FRUSTRATION,ENERGY_BALL,
Optional Move 27,COUNTER,HIDDEN_POWER,TOXIC,RETURN,ENDURE,
Optional Move 28,GRAVITY,SUNNY_DAY,HIDDEN_POWER,DOUBLE_TEAM,PAYBACK,
Optional Move 29,MUD_BOMB,ICE_BEAM,SUNNY_DAY,AERIAL_ACE,GIGA_IMPACT,
Optional Move 30,FOCUS_PUNCH,BLIZZARD,ICE_BEAM,FACADE,FLASH,
Optional Move 31,WATER_PULSE,HYPER_BEAM,BLIZZARD,SECRET_POWER,SLEEP_TALK,
Optional Move 32,CALM_MIND,PROTECT,HYPER_BEAM,REST,GRASS_KNOT,
Optional Move 33,TOXIC,RAIN_DANCE,PROTECT,ATTRACT,SWAGGER,
