Trainer 675,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,RUNERIGUS,STUNFISK,DUGTRIO,STUNFISK,DUGTRIO,NONE
Level,58,58,58,58,58,
Ability,WANDERING_SPIRIT,STATIC,SAND_VEIL,MIMICRY,SAND_VEIL,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,EARTHQUAKE,THUNDERBOLT,EARTHQUAKE,MUDDY_WATER,EARTHQUAKE,
Move 2,SHADOW_BALL,MUDDY_WATER,TRI_ATTACK,BOUNCE,EARTH_POWER,
Move 3,CURSE,DISCHARGE,EARTH_POWER,SUCKER_PUNCH,DIG,
Move 4,SHADOW_CLAW,MUD_BOMB,SANDSTORM,METAL_CLAW,IRON_HEAD,
Optional Move 1,SCARY_FACE,MUD_SLAP,SAND_TOMB,MUD_SLAP,SAND_TOMB,
Optional Move 2,ASTONISH,TACKLE,NIGHT_SLASH,TACKLE,NIGHT_SLASH,
Optional Move 3,PROTECT,WATER_GUN,SAND_ATTACK,WATER_GUN,TRI_ATTACK,
Optional Move 4,HAZE,THUNDER_SHOCK,SCRATCH,THUNDER_SHOCK,SAND_ATTACK,
Optional Move 5,NIGHT_SHADE,FISSURE,GROWL,FISSURE,SCRATCH,
Optional Move 6,DISABLE,FLAIL,ASTONISH,FLAIL,GROWL,
Optional Move 7,BRUTAL_SWING,MUD_SPORT,ROTOTILLER,MUD_SPORT,ASTONISH,
Optional Move 8,CRAFTY_SHIELD,BIDE,MUD_SLAP,BIDE,ROTOTILLER,
Optional Move 9,HEX,MUD_SHOT,MAGNITUDE,MUD_SHOT,MUD_SLAP,
Optional Move 10,MEAN_LOOK,ENDURE,BULLDOZE,ENDURE,MAGNITUDE,
Optional Move 11,SLAM,CAMOUFLAGE,SUCKER_PUNCH,CAMOUFLAGE,BULLDOZE,
Optional Move 12,POWER_SPLIT,CHARGE,MUD_BOMB,CHARGE,SUCKER_PUNCH,
Optional Move 13,GUARD_SPLIT,SUCKER_PUNCH,SLASH,MUD_BOMB,MUD_BOMB,
Optional Move 14,CALM_MIND,ELECTRIC_TERRAIN,DIG,ELECTRIC_TERRAIN,SANDSTORM,
Optional Move 15,TOXIC,REVENGE,FISSURE,REVENGE,SLASH,
Optional Move 16,HIDDEN_POWER,BOUNCE,TOXIC,DISCHARGE,FISSURE,
Optional Move 17,TAUNT,ASTONISH,HIDDEN_POWER,THUNDERBOLT,TOXIC,
Optional Move 18,HYPER_BEAM,CURSE,SUNNY_DAY,ASTONISH,HIDDEN_POWER,
Optional Move 19,RAIN_DANCE,EARTH_POWER,HYPER_BEAM,CURSE,SUNNY_DAY,
Optional Move 20,SAFEGUARD,PAIN_SPLIT,PROTECT,EARTH_POWER,HYPER_BEAM,
Optional Move 21,FRUSTRATION,SHOCK_WAVE,FRUSTRATION,PAIN_SPLIT,PROTECT,
Optional Move 22,RETURN,SLEEP_TALK,RETURN,SHOCK_WAVE,FRUSTRATION,
Optional Move 23,PSYCHIC,SPARK,DOUBLE_TEAM,SLEEP_TALK,RETURN,
Optional Move 24,DOUBLE_TEAM,SPITE,SLUDGE_BOMB,SPARK,DOUBLE_TEAM,
Optional Move 25,SANDSTORM,YAWN,ROCK_TOMB,SPITE,SLUDGE_BOMB,
Optional Move 26,ROCK_TOMB,WATER_PULSE,FACADE,YAWN,ROCK_TOMB,
Optional Move 27,FACADE,TOXIC,SECRET_POWER,WATER_PULSE,FACADE,
Optional Move 28,SECRET_POWER,HIDDEN_POWER,REST,TOXIC,SECRET_POWER,
Optional Move 29,REST,PROTECT,ATTRACT,HIDDEN_POWER,REST,
Optional Move 30,ATTRACT,RAIN_DANCE,THIEF,PROTECT,ATTRACT,
Optional Move 31,THIEF,FRUSTRATION,ENDURE,RAIN_DANCE,THIEF,
Optional Move 32,SKILL_SWAP,THUNDER,SHADOW_CLAW,FRUSTRATION,ENDURE,
Optional Move 33,ENERGY_BALL,EARTHQUAKE,GIGA_IMPACT,THUNDER,SHADOW_CLAW,
