Trainer 68,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SLUGMA,IGGLYBUFF,MEDITITE,NONE,NONE,NONE
Level,10,10,10,,,
Ability,MAGMA_ARMOR,CUTE_CHARM,PURE_POWER,,,
Held Item,NONE,NONE,NONE,,,
Move 1,YAWN,COPYCAT,MEDITATE,,,
Move 2,EMBER,POUND,CONFUSION,,,
Move 3,ROCK_THROW,DEFENSE_CURL,DETECT,,,
Move 4,SMOG,CHARM,BIDE,,,
Optional Move 1,ACID_ARMOR,SING,FIRE_PUNCH,,,
Optional Move 2,HEAT_WAVE,SWEET_KISS,THUNDER_PUNCH,,,
Optional Move 3,CURSE,PERISH_SONG,ICE_PUNCH,,,
Optional Move 4,SMOKESCREEN,PRESENT,FORESIGHT,,,
Optional Move 5,MEMENTO,FEINT_ATTACK,FAKE_OUT,,,
Optional Move 6,STOCKPILE,WISH,BATON_PASS,,,
Optional Move 7,SPIT_UP,FAKE_TEARS,DYNAMIC_PUNCH,,,
Optional Move 8,SWALLOW,LAST_RESORT,POWER_SWAP,,,
Optional Move 9,TOXIC,COVET,GUARD_SWAP,,,
Optional Move 10,HIDDEN_POWER,GRAVITY,PSYCHO_CUT,,,
Optional Move 11,SUNNY_DAY,TOXIC,BULLET_PUNCH,,,
Optional Move 12,LIGHT_SCREEN,HIDDEN_POWER,FOCUS_PUNCH,,,
Optional Move 13,PROTECT,SUNNY_DAY,TOXIC,,,
Optional Move 14,FRUSTRATION,LIGHT_SCREEN,BULK_UP,,,
Optional Move 15,EARTHQUAKE,PROTECT,SUNNY_DAY,,,
Optional Move 16,RETURN,RAIN_DANCE,TAUNT,,,
Optional Move 17,DOUBLE_TEAM,SAFEGUARD,LIGHT_SCREEN,,,
Optional Move 18,REFLECT,FRUSTRATION,PROTECT,,,
Optional Move 19,SANDSTORM,SOLAR_BEAM,RAIN_DANCE,,,
Optional Move 20,FIRE_BLAST,RETURN,FRUSTRATION,,,
Optional Move 21,ROCK_TOMB,DIG,RETURN,,,
Optional Move 22,FACADE,PSYCHIC,PSYCHIC,,,
Optional Move 23,SECRET_POWER,SHADOW_BALL,SHADOW_BALL,,,
Optional Move 24,REST,DOUBLE_TEAM,BRICK_BREAK,,,
Optional Move 25,ATTRACT,REFLECT,DOUBLE_TEAM,,,
Optional Move 26,OVERHEAT,SHOCK_WAVE,REFLECT,,,
Optional Move 27,ENDURE,FLAMETHROWER,ROCK_TOMB,,,
Optional Move 28,WILL_O_WISP,FIRE_BLAST,AERIAL_ACE,,,
Optional Move 29,STONE_EDGE,FACADE,FACADE,,,
Optional Move 30,CAPTIVATE,SECRET_POWER,SECRET_POWER,,,
Optional Move 31,SLEEP_TALK,REST,REST,,,
Optional Move 32,NATURAL_GIFT,ATTRACT,ATTRACT,,,
Optional Move 33,SWAGGER,FLING,THIEF,,,
Optional Move 34,SUBSTITUTE,ENDURE,SKILL_SWAP,,,
Optional Move 35,,RECYCLE,FOCUS_BLAST,,,
Optional Move 36,,FLASH,FLING,,,
Optional Move 37,,THUNDER_WAVE,DRAIN_PUNCH,,,
Optional Move 38,,PSYCH_UP,RECYCLE,,,
Optional Move 39,,CAPTIVATE,FLASH,,,
Optional Move 40,,SLEEP_TALK,CAPTIVATE,,,
Optional Move 41,,NATURAL_GIFT,ROCK_SLIDE,,,
Optional Move 42,,DREAM_EATER,SLEEP_TALK,,,
Optional Move 43,,GRASS_KNOT,NATURAL_GIFT,,,
Optional Move 44,,SWAGGER,POISON_JAB,,,
Optional Move 45,,SUBSTITUTE,DREAM_EATER,,,
Optional Move 46,,,GRASS_KNOT,,,
Optional Move 47,,,SWAGGER,,,
Optional Move 48,,,SUBSTITUTE,,,
Optional Move 49,,,TRICK_ROOM,,,
