Trainer 689,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MUDSDALE,GREAT_TUSK,CLAYDOL,KROOKODILE,TYRANITAR,NONE
Level,58,58,58,58,58,
Ability,OWN_TEMPO,PROTOSYNTHESIS,LEVITATE,INTIMIDATE,SAND_STREAM,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,EARTHQUAKE,EARTHQUAKE,EARTH_POWER,THRASH,STONE_EDGE,
Move 2,STRENGTH,BRICK_BREAK,ROCK_TOMB,HONE_CLAWS,THRASH,
Move 3,IRON_DEFENSE,KNOCK_OFF,EXTRASENSORY,OUTRAGE,EARTHQUAKE,
Move 4,SUPERPOWER,ROLLOUT,COSMIC_POWER,FOUL_PLAY,CRUNCH,
Optional Move 1,MUD_SLAP,DEFENSE_CURL,HYPER_BEAM,POWER_TRIP,IRON_DEFENSE,
Optional Move 2,ROCK_SMASH,HORN_ATTACK,TELEPORT,LEER,THUNDER_FANG,
Optional Move 3,DOUBLE_KICK,SUNNY_DAY,HARDEN,SAND_ATTACK,ICE_FANG,
Optional Move 4,MUD_SPORT,BULLDOZE,MUD_SLAP,RAGE,FIRE_FANG,
Optional Move 5,ROTOTILLER,TAUNT,RAPID_SPIN,BITE,TACKLE,
Optional Move 6,BULLDOZE,RAPID_SPIN,CONFUSION,SAND_TOMB,LEER,
Optional Move 7,STOMP,STOMPING_TANTRUM,HEAL_BLOCK,TORMENT,ROCK_THROW,
Optional Move 8,BIDE,GIGA_IMPACT,PSYBEAM,ASSURANCE,PAYBACK,
Optional Move 9,HIGH_HORSEPOWER,ROAR,POWER_TRICK,MUD_SLAP,BITE,
Optional Move 10,COUNTER,TOXIC,ANCIENT_POWER,EMBARGO,SANDSTORM,
Optional Move 11,HEAVY_SLAM,BULK_UP,SELF_DESTRUCT,SCARY_FACE,SCREECH,
Optional Move 12,MEGA_KICK,HIDDEN_POWER,IMPRISON,SWAGGER,CHIP_AWAY,
Optional Move 13,ROAR,HYPER_BEAM,GUARD_SPLIT,DIG,ROCK_SLIDE,
Optional Move 14,TOXIC,PROTECT,POWER_SPLIT,CRUNCH,SCARY_FACE,
Optional Move 15,HIDDEN_POWER,RAIN_DANCE,SANDSTORM,SANDSTORM,STOMPING_TANTRUM,
Optional Move 16,HYPER_BEAM,FRUSTRATION,EXPLOSION,EARTHQUAKE,DARK_PULSE,
Optional Move 17,PROTECT,RETURN,CALM_MIND,FOCUS_PUNCH,FOCUS_PUNCH,
Optional Move 18,FRUSTRATION,DIG,TOXIC,DRAGON_CLAW,DRAGON_CLAW,
Optional Move 19,RETURN,DOUBLE_TEAM,HIDDEN_POWER,ROAR,ROAR,
Optional Move 20,DOUBLE_TEAM,SANDSTORM,SUNNY_DAY,TOXIC,TOXIC,
Optional Move 21,SANDSTORM,ROCK_TOMB,ICE_BEAM,BULK_UP,HIDDEN_POWER,
Optional Move 22,ROCK_TOMB,FACADE,LIGHT_SCREEN,HIDDEN_POWER,SUNNY_DAY,
Optional Move 23,FACADE,SECRET_POWER,PROTECT,TAUNT,TAUNT,
Optional Move 24,SECRET_POWER,REST,RAIN_DANCE,HYPER_BEAM,ICE_BEAM,
Optional Move 25,REST,ENDURE,SAFEGUARD,PROTECT,BLIZZARD,
Optional Move 26,ATTRACT,STONE_EDGE,FRUSTRATION,FRUSTRATION,PROTECT,
Optional Move 27,FOCUS_BLAST,STEALTH_ROCK,SOLAR_BEAM,IRON_TAIL,RAIN_DANCE,
Optional Move 28,ENDURE,ROCK_SLIDE,EARTHQUAKE,RETURN,FRUSTRATION,
Optional Move 29,PAYBACK,SLEEP_TALK,RETURN,BRICK_BREAK,IRON_TAIL,
Optional Move 30,GIGA_IMPACT,SUBSTITUTE,DIG,DOUBLE_TEAM,THUNDERBOLT,
Optional Move 31,STONE_EDGE,FLASH_CANNON,PSYCHIC,SLUDGE_BOMB,THUNDER,
Optional Move 32,STEALTH_ROCK,,SHADOW_BALL,AERIAL_ACE,RETURN,
Optional Move 33,ROCK_SLIDE,,DOUBLE_TEAM,FACADE,DIG,
Optional Move 34,SLEEP_TALK,,REFLECT,SECRET_POWER,BRICK_BREAK,
Optional Move 35,SWAGGER,,FACADE,REST,DOUBLE_TEAM,
Optional Move 36,SUBSTITUTE,,SECRET_POWER,ATTRACT,SHOCK_WAVE,
Optional Move 37,,,REST,THIEF,FLAMETHROWER,
Optional Move 38,,,SKILL_SWAP,SNATCH,FIRE_BLAST,
Optional Move 39,,,CHARGE_BEAM,FOCUS_BLAST,ROCK_TOMB,
Optional Move 40,,,ENDURE,FLING,AERIAL_ACE,
Optional Move 41,,,RECYCLE,ENDURE,TORMENT,
