Trainer 714,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,ESPEON,REUNICLUS,SIGILYPH,GALLADE,GARDEVOIR,NONE
Level,60,60,60,60,60,
Ability,SYNCHRONIZE,OVERCOAT,WONDER_SKIN,STEADFAST,SYNCHRONIZE,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,FUTURE_SIGHT,FUTURE_SIGHT,SYNCHRONOISE,FUTURE_SIGHT,FUTURE_SIGHT,
Move 2,LAST_RESORT,REFLECT,COSMIC_POWER,LEAF_BLADE,DREAM_EATER,
Move 3,COVET,HAMMER_ARM,PSYCHIC,NIGHT_SLASH,CALM_MIND,
Move 4,BITE,PSYCHIC,AIR_SLASH,CLOSE_COMBAT,PSYCHIC,
Optional Move 1,CONFUSION,DIZZY_PUNCH,GUST,SLASH,DAZZLING_GLEAM,
Optional Move 2,COPYCAT,PROTECT,CONFUSION,GROWL,MOONBLAST,
Optional Move 3,BATON_PASS,CONFUSION,MIRACLE_EYE,DISARMING_VOICE,MISTY_TERRAIN,
Optional Move 4,TAKE_DOWN,RECOVER,HYPNOSIS,HYPNOSIS,HEALING_WISH,
Optional Move 5,CHARM,ENDEAVOR,PSYWAVE,DRAINING_KISS,CHARM,
Optional Move 6,DOUBLE_EDGE,PSYWAVE,AIR_CUTTER,IMPRISON,GROWL,
Optional Move 7,HELPING_HAND,ROLLOUT,PSYBEAM,PSYBEAM,DISARMING_VOICE,
Optional Move 8,TACKLE,SNATCH,WHIRLWIND,LIFE_DEW,DOUBLE_TEAM,
Optional Move 9,GROWL,PSYBEAM,GRAVITY,CHARM,CONFUSION,
Optional Move 10,TAIL_WHIP,HIDDEN_POWER,TAILWIND,CALM_MIND,STORED_POWER,
Optional Move 11,SAND_ATTACK,CHARM,MIRROR_MOVE,PSYCHIC,TELEPORT,
Optional Move 12,QUICK_ATTACK,LIGHT_SCREEN,LIGHT_SCREEN,DREAM_EATER,DRAINING_KISS,
Optional Move 13,BABY_DOLL_EYES,PSYSHOCK,REFLECT,LEER,MAGICAL_LEAF,
Optional Move 14,SWIFT,ALLY_SWITCH,SKY_ATTACK,FURY_CUTTER,PSYBEAM,
Optional Move 15,PSYBEAM,PAIN_SPLIT,SKILL_SWAP,DOUBLE_TEAM,WISH,
Optional Move 16,MORNING_SUN,SKILL_SWAP,ANCIENT_POWER,CONFUSION,LIFE_DEW,
Optional Move 17,PSYCH_UP,HEAL_BLOCK,PSYCHO_SHIFT,STORED_POWER,HYPNOSIS,
Optional Move 18,PSYCHIC,FOCUS_PUNCH,ROOST,TELEPORT,HEAL_PULSE,
Optional Move 19,POWER_SWAP,CALM_MIND,STEEL_WING,AERIAL_ACE,IMPRISON,
Optional Move 20,CALM_MIND,TOXIC,CALM_MIND,HELPING_HAND,CAPTIVATE,
Optional Move 21,ROAR,SUNNY_DAY,TOXIC,FEINT,TOXIC,
Optional Move 22,TOXIC,HYPER_BEAM,HIDDEN_POWER,SWORDS_DANCE,HIDDEN_POWER,
Optional Move 23,HIDDEN_POWER,RAIN_DANCE,ICE_BEAM,FALSE_SWIPE,SUNNY_DAY,
Optional Move 24,SUNNY_DAY,SAFEGUARD,HYPER_BEAM,HEAL_PULSE,TAUNT,
Optional Move 25,HYPER_BEAM,FRUSTRATION,PROTECT,QUICK_GUARD,HYPER_BEAM,
Optional Move 26,LIGHT_SCREEN,THUNDER,RAIN_DANCE,PSYCHO_CUT,LIGHT_SCREEN,
Optional Move 27,PROTECT,RETURN,SAFEGUARD,PROTECT,PROTECT,
Optional Move 28,RAIN_DANCE,SHADOW_BALL,FRUSTRATION,WIDE_GUARD,RAIN_DANCE,
Optional Move 29,FRUSTRATION,DOUBLE_TEAM,SOLAR_BEAM,FOCUS_PUNCH,SAFEGUARD,
Optional Move 30,IRON_TAIL,SHOCK_WAVE,RETURN,TOXIC,FRUSTRATION,
Optional Move 31,RETURN,ROCK_TOMB,DOUBLE_TEAM,BULK_UP,THUNDERBOLT,
Optional Move 32,DIG,FACADE,SHOCK_WAVE,HIDDEN_POWER,RETURN,
Optional Move 33,SHADOW_BALL,SECRET_POWER,AERIAL_ACE,SUNNY_DAY,SHADOW_BALL,
Optional Move 34,DOUBLE_TEAM,REST,FACADE,TAUNT,REFLECT,
Optional Move 35,REFLECT,ATTRACT,SECRET_POWER,HYPER_BEAM,SHOCK_WAVE,
Optional Move 36,FACADE,FOCUS_BLAST,REST,LIGHT_SCREEN,TORMENT,
Optional Move 37,SECRET_POWER,ENERGY_BALL,ATTRACT,RAIN_DANCE,FACADE,
Optional Move 38,REST,FLING,THIEF,SAFEGUARD,SECRET_POWER,
Optional Move 39,ATTRACT,ENDURE,ENERGY_BALL,FRUSTRATION,REST,
Optional Move 40,SKILL_SWAP,DRAIN_PUNCH,CHARGE_BEAM,THUNDERBOLT,ATTRACT,
Optional Move 41,ENDURE,EMBARGO,ENDURE,EARTHQUAKE,THIEF,
Optional Move 42,GIGA_IMPACT,EXPLOSION,GIGA_IMPACT,RETURN,SKILL_SWAP,
Optional Move 43,FLASH,GIGA_IMPACT,THUNDER_WAVE,SHADOW_BALL,SNATCH,
Optional Move 44,THUNDER_WAVE,FLASH,PSYCH_UP,BRICK_BREAK,FOCUS_BLAST,
Optional Move 45,CAPTIVATE,THUNDER_WAVE,DARK_PULSE,REFLECT,ENERGY_BALL,
Optional Move 46,SLEEP_TALK,GYRO_BALL,SLEEP_TALK,SHOCK_WAVE,FLING,
Optional Move 47,NATURAL_GIFT,PSYCH_UP,DREAM_EATER,ROCK_TOMB,CHARGE_BEAM,
Optional Move 48,DREAM_EATER,ROCK_SLIDE,SWAGGER,TORMENT,ENDURE,
Optional Move 49,GRASS_KNOT,SLEEP_TALK,PLUCK,FACADE,WILL_O_WISP,
Optional Move 50,SWAGGER,DREAM_EATER,SUBSTITUTE,SECRET_POWER,RECYCLE,
Optional Move 51,SUBSTITUTE,SWAGGER,FLASH_CANNON,REST,GIGA_IMPACT,
Optional Move 52,TRICK_ROOM,SUBSTITUTE,TRICK_ROOM,ATTRACT,FLASH,
Optional Move 53,,FLASH_CANNON,,THIEF,THUNDER_WAVE,
Optional Move 54,,TRICK_ROOM,,SKILL_SWAP,PSYCH_UP,
Optional Move 55,,,,SNATCH,SLEEP_TALK,
Optional Move 56,,,,FOCUS_BLAST,NATURAL_GIFT,
Optional Move 57,,,,ENERGY_BALL,GRASS_KNOT,
Optional Move 58,,,,FLING,SWAGGER,
Optional Move 59,,,,CHARGE_BEAM,SUBSTITUTE,
Optional Move 60,,,,ENDURE,TRICK_ROOM,
Optional Move 61,,,,DRAIN_PUNCH,,
Optional Move 62,,,,WILL_O_WISP,,
Optional Move 63,,,,SHADOW_CLAW,,
Optional Move 64,,,,RECYCLE,,
Optional Move 65,,,,GIGA_IMPACT,,
Optional Move 66,,,,FLASH,,
Optional Move 67,,,,STONE_EDGE,,
Optional Move 68,,,,THUNDER_WAVE,,
Optional Move 69,,,,PSYCH_UP,,
Optional Move 70,,,,CAPTIVATE,,
Optional Move 71,,,,ROCK_SLIDE,,
Optional Move 72,,,,X_SCISSOR,,
Optional Move 73,,,,SLEEP_TALK,,
Optional Move 74,,,,NATURAL_GIFT,,
Optional Move 75,,,,POISON_JAB,,
Optional Move 76,,,,GRASS_KNOT,,
Optional Move 77,,,,SWAGGER,,
Optional Move 78,,,,SUBSTITUTE,,
Optional Move 79,,,,TRICK_ROOM,,
