Trainer 727,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,CLODSIRE,HERACROSS,NOCTOWL,SLIGGOO,DRAGALGE,NONE
Level,64,64,64,64,64,
Ability,POISON_POINT,SWARM,INSOMNIA,SAP_SIPPER,POISON_POINT,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,EARTHQUAKE,MEGAHORN,UPROAR,DRAGON_PULSE,SLUDGE_BOMB,
Move 2,MEGAHORN,THRASH,DREAM_EATER,MUDDY_WATER,HYDRO_PUMP,
Move 3,AMNESIA,THROAT_CHOP,MOONBLAST,PROTECT,DOUBLE_TEAM,
Move 4,SLUDGE_WAVE,CLOSE_COMBAT,SKY_ATTACK,DRAGON_BREATH,DRAGON_PULSE,
Optional Move 1,POISON_STING,TACKLE,ECHOED_VOICE,ACID_SPRAY,TWISTER,
Optional Move 2,TAIL_WHIP,LEER,GROWL,ABSORB,TACKLE,
Optional Move 3,TOXIC_SPIKES,ARM_THRUST,PECK,TACKLE,SMOKESCREEN,
Optional Move 4,MUD_SHOT,BULLET_SEED,TACKLE,WATER_GUN,ACID,
Optional Move 5,POISON_TAIL,NIGHT_SLASH,CONFUSION,BUBBLE,WATER_GUN,
Optional Move 6,SLAM,HORN_ATTACK,REFLECT,BIDE,DRAGON_TAIL,
Optional Move 7,YAWN,ENDURE,AIR_SLASH,FLAIL,FEINT_ATTACK,
Optional Move 8,POISON_JAB,FEINT,EXTRASENSORY,WATER_PULSE,TAIL_WHIP,
Optional Move 9,TOXIC,AERIAL_ACE,TAKE_DOWN,RAIN_DANCE,BUBBLE,
Optional Move 10,WATER_PULSE,FURY_ATTACK,ROOST,BODY_SLAM,CAMOUFLAGE,
Optional Move 11,HIDDEN_POWER,CHIP_AWAY,HYPNOSIS,CURSE,POISON_TAIL,
Optional Move 12,HYPER_BEAM,COUNTER,CALM_MIND,TOXIC,WATER_PULSE,
Optional Move 13,PROTECT,BRICK_BREAK,TOXIC,HIDDEN_POWER,TOXIC,
Optional Move 14,RAIN_DANCE,PIN_MISSILE,HIDDEN_POWER,SUNNY_DAY,AQUA_TAIL,
Optional Move 15,FRUSTRATION,TAKE_DOWN,SUNNY_DAY,ICE_BEAM,HAIL,
Optional Move 16,RETURN,REVERSAL,HYPER_BEAM,BLIZZARD,HIDDEN_POWER,
Optional Move 17,DIG,SWORDS_DANCE,PROTECT,FRUSTRATION,HYPER_BEAM,
Optional Move 18,DOUBLE_TEAM,HARDEN,RAIN_DANCE,IRON_TAIL,PROTECT,
Optional Move 19,SLUDGE_BOMB,BIDE,FRUSTRATION,THUNDERBOLT,RAIN_DANCE,
Optional Move 20,SANDSTORM,FLAIL,RETURN,THUNDER,FRUSTRATION,
Optional Move 21,FACADE,FALSE_SWIPE,PSYCHIC,RETURN,IRON_TAIL,
Optional Move 22,SECRET_POWER,REVENGE,SHADOW_BALL,DOUBLE_TEAM,THUNDERBOLT,
Optional Move 23,REST,PURSUIT,DOUBLE_TEAM,SHOCK_WAVE,THUNDER,
Optional Move 24,ATTRACT,DOUBLE_EDGE,AERIAL_ACE,SLUDGE_BOMB,RETURN,
Optional Move 25,ENDURE,FOCUS_PUNCH,FACADE,FACADE,SHADOW_BALL,
Optional Move 26,GIGA_IMPACT,TOXIC,SECRET_POWER,SECRET_POWER,SHOCK_WAVE,
Optional Move 27,STONE_EDGE,BULK_UP,REST,REST,FACADE,
Optional Move 28,STEALTH_ROCK,HIDDEN_POWER,ATTRACT,ATTRACT,SECRET_POWER,
Optional Move 29,ROCK_SLIDE,SUNNY_DAY,THIEF,ENDURE,REST,
Optional Move 30,SLEEP_TALK,HYPER_BEAM,STEEL_WING,ROCK_SLIDE,ATTRACT,
Optional Move 31,SUBSTITUTE,PROTECT,SKILL_SWAP,SLEEP_TALK,THIEF,
Optional Move 32,,RAIN_DANCE,ENDURE,SWAGGER,FOCUS_BLAST,
Optional Move 33,,FRUSTRATION,SILVER_WIND,SUBSTITUTE,ENDURE,
Optional Move 34,,EARTHQUAKE,RECYCLE,,GIGA_IMPACT,
Optional Move 35,,RETURN,GIGA_IMPACT,,SLEEP_TALK,
Optional Move 36,,DIG,PSYCH_UP,,SWAGGER,
Optional Move 37,,DOUBLE_TEAM,CAPTIVATE,,SUBSTITUTE,
Optional Move 38,,ROCK_TOMB,SLEEP_TALK,,,
Optional Move 39,,FACADE,NATURAL_GIFT,,,
Optional Move 40,,SECRET_POWER,SWAGGER,,,
Optional Move 41,,REST,PLUCK,,,
Optional Move 42,,ATTRACT,SUBSTITUTE,,,
Optional Move 43,,THIEF,,,,
Optional Move 44,,FOCUS_BLAST,,,,
Optional Move 45,,FLING,,,,
Optional Move 46,,SHADOW_CLAW,,,,
Optional Move 47,,GIGA_IMPACT,,,,
Optional Move 48,,STONE_EDGE,,,,
Optional Move 49,,CAPTIVATE,,,,
Optional Move 50,,ROCK_SLIDE,,,,
Optional Move 51,,SLEEP_TALK,,,,
Optional Move 52,,NATURAL_GIFT,,,,
Optional Move 53,,SWAGGER,,,,
Optional Move 54,,SUBSTITUTE,,,,
