Trainer 729,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MUDSDALE,RHYPERIOR,GASTRODON,CLODSIRE,SWAMPERT,NONE
Level,64,64,64,64,64,
Ability,OWN_TEMPO,LIGHTNING_ROD,STICKY_HOLD,POISON_POINT,TORRENT,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,EARTHQUAKE,EARTHQUAKE,MUDDY_WATER,EARTHQUAKE,HYDRO_PUMP,
Move 2,STRENGTH,MEGAHORN,BODY_SLAM,MEGAHORN,SURF,
Move 3,IRON_DEFENSE,SCARY_FACE,MUD_SPORT,AMNESIA,EARTHQUAKE,
Move 4,SUPERPOWER,ROCK_WRECKER,EARTH_POWER,SLUDGE_WAVE,AMNESIA,
Optional Move 1,MUD_SLAP,HAMMER_ARM,WATER_GUN,POISON_STING,MUD_SHOT,
Optional Move 2,ROCK_SMASH,TACKLE,MUD_SLAP,TAIL_WHIP,HAMMER_ARM,
Optional Move 3,DOUBLE_KICK,TAIL_WHIP,HARDEN,TOXIC_SPIKES,TACKLE,
Optional Move 4,MUD_SPORT,SMACK_DOWN,RECOVER,MUD_SHOT,GROWL,
Optional Move 5,ROTOTILLER,BULLDOZE,WATER_PULSE,POISON_TAIL,WATER_GUN,
Optional Move 6,BULLDOZE,HORN_DRILL,MUD_BOMB,SLAM,ROCK_SMASH,
Optional Move 7,STOMP,POISON_JAB,HIDDEN_POWER,YAWN,MUD_SLAP,
Optional Move 8,BIDE,HORN_ATTACK,ANCIENT_POWER,POISON_JAB,ROCK_THROW,
Optional Move 9,HIGH_HORSEPOWER,FURY_ATTACK,RAIN_DANCE,TOXIC,FORESIGHT,
Optional Move 10,COUNTER,STOMP,MEMENTO,WATER_PULSE,SUPERSONIC,
Optional Move 11,HEAVY_SLAM,CHIP_AWAY,TOXIC,HIDDEN_POWER,BIDE,
Optional Move 12,MEGA_KICK,ROCK_BLAST,HAIL,HYPER_BEAM,WATER_PULSE,
Optional Move 13,ROAR,DRILL_RUN,ICE_BEAM,PROTECT,PROTECT,
Optional Move 14,TOXIC,TAKE_DOWN,BLIZZARD,RAIN_DANCE,MUD_BOMB,
Optional Move 15,HIDDEN_POWER,STONE_EDGE,HYPER_BEAM,FRUSTRATION,ROCK_SLIDE,
Optional Move 16,HYPER_BEAM,FOCUS_PUNCH,PROTECT,RETURN,TAKE_DOWN,
Optional Move 17,PROTECT,ROAR,FRUSTRATION,DIG,MUDDY_WATER,
Optional Move 18,FRUSTRATION,TOXIC,EARTHQUAKE,DOUBLE_TEAM,SCREECH,
Optional Move 19,RETURN,HIDDEN_POWER,RETURN,SLUDGE_BOMB,ENDEAVOR,
Optional Move 20,DOUBLE_TEAM,SUNNY_DAY,DIG,SANDSTORM,FOCUS_PUNCH,
Optional Move 21,SANDSTORM,ICE_BEAM,DOUBLE_TEAM,FACADE,ROAR,
Optional Move 22,ROCK_TOMB,BLIZZARD,SLUDGE_BOMB,SECRET_POWER,TOXIC,
Optional Move 23,FACADE,HYPER_BEAM,SANDSTORM,REST,HAIL,
Optional Move 24,SECRET_POWER,PROTECT,ROCK_TOMB,ATTRACT,BULK_UP,
Optional Move 25,REST,RAIN_DANCE,FACADE,ENDURE,HIDDEN_POWER,
Optional Move 26,ATTRACT,FRUSTRATION,SECRET_POWER,GIGA_IMPACT,ICE_BEAM,
Optional Move 27,FOCUS_BLAST,IRON_TAIL,REST,STONE_EDGE,BLIZZARD,
Optional Move 28,ENDURE,THUNDERBOLT,ATTRACT,STEALTH_ROCK,HYPER_BEAM,
Optional Move 29,PAYBACK,THUNDER,BRINE,ROCK_SLIDE,RAIN_DANCE,
Optional Move 30,GIGA_IMPACT,RETURN,ENDURE,SLEEP_TALK,FRUSTRATION,
Optional Move 31,STONE_EDGE,DIG,GIGA_IMPACT,SUBSTITUTE,IRON_TAIL,
Optional Move 32,STEALTH_ROCK,BRICK_BREAK,FLASH,,RETURN,
Optional Move 33,ROCK_SLIDE,DOUBLE_TEAM,STONE_EDGE,,DIG,
Optional Move 34,SLEEP_TALK,SHOCK_WAVE,STEALTH_ROCK,,BRICK_BREAK,
Optional Move 35,SWAGGER,FLAMETHROWER,CAPTIVATE,,DOUBLE_TEAM,
Optional Move 36,SUBSTITUTE,SANDSTORM,ROCK_SLIDE,,ROCK_TOMB,
Optional Move 37,,FIRE_BLAST,SLEEP_TALK,,FACADE,
Optional Move 38,,ROCK_TOMB,NATURAL_GIFT,,SECRET_POWER,
Optional Move 39,,FACADE,SWAGGER,,REST,
Optional Move 40,,SECRET_POWER,SUBSTITUTE,,ATTRACT,
Optional Move 41,,REST,,,FOCUS_BLAST,
Optional Move 42,,ATTRACT,,,FLING,
Optional Move 43,,THIEF,,,ENDURE,
Optional Move 44,,FOCUS_BLAST,,,GIGA_IMPACT,
Optional Move 45,,FLING,,,STONE_EDGE,
Optional Move 46,,ENDURE,,,AVALANCHE,
Optional Move 47,,DRAGON_PULSE,,,STEALTH_ROCK,
Optional Move 48,,SHADOW_CLAW,,,CAPTIVATE,
Optional Move 49,,PAYBACK,,,SLEEP_TALK,
Optional Move 50,,GIGA_IMPACT,,,NATURAL_GIFT,
Optional Move 51,,ROCK_POLISH,,,POISON_JAB,
Optional Move 52,,AVALANCHE,,,SWAGGER,
Optional Move 53,,SWORDS_DANCE,,,SUBSTITUTE,
Optional Move 54,,STEALTH_ROCK,,,,
Optional Move 55,,CAPTIVATE,,,,
Optional Move 56,,ROCK_SLIDE,,,,
Optional Move 57,,SLEEP_TALK,,,,
Optional Move 58,,NATURAL_GIFT,,,,
Optional Move 59,,SWAGGER,,,,
Optional Move 60,,SUBSTITUTE,,,,
Optional Move 61,,FLASH_CANNON,,,,
