Trainer 731,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,DRIFBLIM,JELLICENT,SPIRITOMB,COFAGRIGUS,RUNERIGUS,NONE
Level,64,64,64,64,64,
Ability,AFTERMATH,WATER_ABSORB,PRESSURE,MUMMY,WANDERING_SPIRIT,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,SHADOW_BALL,WATER_SPOUT,SHADOW_BALL,SHADOW_BALL,EARTHQUAKE,
Move 2,PHANTOM_FORCE,SHADOW_BALL,DREAM_EATER,DARK_PULSE,SHADOW_BALL,
Move 3,HEX,HEX,DARK_PULSE,OMINOUS_WIND,CURSE,
Move 4,GUST,ACID_ARMOR,NASTY_PLOT,HEX,SHADOW_CLAW,
Optional Move 1,STRENGTH_SAP,ABSORB,NIGHT_SHADE,SHADOW_CLAW,SCARY_FACE,
Optional Move 2,MINIMIZE,WATER_GUN,CONFUSE_RAY,SCARY_FACE,ASTONISH,
Optional Move 3,ASTONISH,POISON_STING,CURSE,ASTONISH,PROTECT,
Optional Move 4,FOCUS_ENERGY,NIGHT_SHADE,PURSUIT,PROTECT,HAZE,
Optional Move 5,CONSTRICT,WRING_OUT,SPITE,HAZE,NIGHT_SHADE,
Optional Move 6,PAYBACK,BUBBLE,SHADOW_SNEAK,NIGHT_SHADE,DISABLE,
Optional Move 7,OMINOUS_WIND,WATER_SPORT,FEINT_ATTACK,DISABLE,BRUTAL_SWING,
Optional Move 8,STOCKPILE,BUBBLE_BEAM,PAYBACK,WILL_O_WISP,CRAFTY_SHIELD,
Optional Move 9,SWALLOW,WATER_PULSE,HEX,CRAFTY_SHIELD,HEX,
Optional Move 10,SPIT_UP,RECOVER,OMINOUS_WIND,CURSE,MEAN_LOOK,
Optional Move 11,SELF_DESTRUCT,RAIN_DANCE,SUCKER_PUNCH,MEAN_LOOK,SLAM,
Optional Move 12,DESTINY_BOND,BRINE,HYPNOSIS,GRUDGE,POWER_SPLIT,
Optional Move 13,BATON_PASS,OMINOUS_WIND,MEMENTO,POWER_SPLIT,GUARD_SPLIT,
Optional Move 14,AMNESIA,WHIRLPOOL,DESTINY_BOND,GUARD_SPLIT,DESTINY_BOND,
Optional Move 15,TAILWIND,HYDRO_PUMP,PAIN_SPLIT,DESTINY_BOND,CALM_MIND,
Optional Move 16,EXPLOSION,DESTINY_BOND,SMOKESCREEN,CALM_MIND,TOXIC,
Optional Move 17,CALM_MIND,TOXIC,IMPRISON,TOXIC,HIDDEN_POWER,
Optional Move 18,TOXIC,HAIL,GRUDGE,HIDDEN_POWER,TAUNT,
Optional Move 19,HIDDEN_POWER,HIDDEN_POWER,CALM_MIND,HYPER_BEAM,HYPER_BEAM,
Optional Move 20,SUNNY_DAY,TAUNT,TOXIC,RAIN_DANCE,RAIN_DANCE,
Optional Move 21,HYPER_BEAM,ICE_BEAM,HIDDEN_POWER,SAFEGUARD,SAFEGUARD,
