Trainer 733,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,TSAREENA,LUDICOLO,ROSERADE,FLORGES,ARBOLIVA,NONE
Level,64,64,64,64,64,
Ability,LEAF_GUARD,SWIFT_SWIM,NATURAL_CURE,FLOWER_VEIL,SEED_SOWER,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,POWER_WHIP,HYDRO_PUMP,PETAL_DANCE,PETAL_DANCE,PETAL_DANCE,
Move 2,HIGH_JUMP_KICK,ZEN_HEADBUTT,PETAL_BLIZZARD,AROMATHERAPY,SAFEGUARD,
Move 3,TROP_KICK,KNOCK_OFF,GIGA_DRAIN,MOONBLAST,ENERGY_BALL,
Move 4,SWAGGER,ENERGY_BALL,POISON_STING,PETAL_BLIZZARD,TERRAIN_PULSE,
Optional Move 1,FLAIL,TEETER_DANCE,GRASSY_TERRAIN,DISARMING_VOICE,MIRROR_COAT,
Optional Move 2,PLAY_NICE,FAKE_OUT,VENOM_DRENCH,LUCKY_CHANT,SWEET_SCENT,
Optional Move 3,SPLASH,FLAIL,MEGA_DRAIN,WISH,TACKLE,
Optional Move 4,RAPID_SPIN,MIST,LEECH_SEED,MAGICAL_LEAF,ABSORB,
Optional Move 5,RAZOR_LEAF,MEGA_DRAIN,MAGICAL_LEAF,FLOWER_SHIELD,GROWTH,
Optional Move 6,PUNISHMENT,FURY_SWIPES,TOXIC_SPIKES,GRASS_KNOT,RAZOR_LEAF,
Optional Move 7,DOUBLE_SLAP,BUBBLE_BEAM,SWEET_SCENT,GRASSY_TERRAIN,HELPING_HAND,
Optional Move 8,SWEET_SCENT,NATURE_POWER,SYNTHESIS,MISTY_TERRAIN,FLAIL,
Optional Move 9,MAGICAL_LEAF,GIGA_DRAIN,TOXIC,CALM_MIND,MEGA_DRAIN,
Optional Move 10,STOMP,RAIN_DANCE,AROMATHERAPY,TOXIC,GRASSY_TERRAIN,
Optional Move 11,TEETER_DANCE,ASTONISH,INGRAIN,HIDDEN_POWER,SEED_BOMB,
Optional Move 12,AROMATIC_MIST,GROWL,ABSORB,SUNNY_DAY,LEECH_SEED,
Optional Move 13,CAPTIVATE,ABSORB,GROWTH,HYPER_BEAM,PETAL_BLIZZARD,
Optional Move 14,AROMATHERAPY,WATER_GUN,STUN_SPORE,LIGHT_SCREEN,TOXIC,
Optional Move 15,LEAF_STORM,FOCUS_PUNCH,WORRY_SEED,PROTECT,BULLET_SEED,
Optional Move 16,TOXIC,WATER_PULSE,WEATHER_BALL,RAIN_DANCE,HIDDEN_POWER,
Optional Move 17,BULLET_SEED,TOXIC,BULLET_SEED,GIGA_DRAIN,SUNNY_DAY,
Optional Move 18,HIDDEN_POWER,HAIL,HIDDEN_POWER,SAFEGUARD,HYPER_BEAM,
Optional Move 19,SUNNY_DAY,BULLET_SEED,SUNNY_DAY,FRUSTRATION,LIGHT_SCREEN,
Optional Move 20,TAUNT,HIDDEN_POWER,HYPER_BEAM,SOLAR_BEAM,PROTECT,
Optional Move 21,HYPER_BEAM,SUNNY_DAY,PROTECT,RETURN,GIGA_DRAIN,
Optional Move 22,LIGHT_SCREEN,ICE_BEAM,RAIN_DANCE,PSYCHIC,FRUSTRATION,
Optional Move 23,PROTECT,BLIZZARD,FRUSTRATION,DOUBLE_TEAM,SOLAR_BEAM,
Optional Move 24,GIGA_DRAIN,HYPER_BEAM,SOLAR_BEAM,FACADE,RETURN,
Optional Move 25,SAFEGUARD,PROTECT,RETURN,SECRET_POWER,DOUBLE_TEAM,
Optional Move 26,FRUSTRATION,FRUSTRATION,SHADOW_BALL,REST,REFLECT,
Optional Move 27,SOLAR_BEAM,SOLAR_BEAM,DOUBLE_TEAM,ATTRACT,FACADE,
Optional Move 28,RETURN,RETURN,SLUDGE_BOMB,SKILL_SWAP,SECRET_POWER,
Optional Move 29,DOUBLE_TEAM,BRICK_BREAK,FACADE,ENERGY_BALL,REST,
Optional Move 30,REFLECT,DOUBLE_TEAM,SECRET_POWER,ENDURE,ATTRACT,
Optional Move 31,FACADE,FACADE,REST,GIGA_IMPACT,FLING,
Optional Move 32,SECRET_POWER,SECRET_POWER,ATTRACT,FLASH,ENDURE,
Optional Move 33,REST,REST,ENERGY_BALL,CAPTIVATE,GIGA_IMPACT,
Optional Move 34,ATTRACT,ATTRACT,ENDURE,SLEEP_TALK,PSYCH_UP,
Optional Move 35,ENERGY_BALL,THIEF,GIGA_IMPACT,SWAGGER,SLEEP_TALK,
Optional Move 36,FLING,FOCUS_BLAST,FLASH,SUBSTITUTE,GRASS_KNOT,
Optional Move 37,ENDURE,FLING,SWORDS_DANCE,,SUBSTITUTE,
Optional Move 38,GIGA_IMPACT,ENDURE,PSYCH_UP,,,
Optional Move 39,SLEEP_TALK,DRAIN_PUNCH,CAPTIVATE,,,
Optional Move 40,GRASS_KNOT,GIGA_IMPACT,SLEEP_TALK,,,
Optional Move 41,U_TURN,FLASH,NATURAL_GIFT,,,
Optional Move 42,SUBSTITUTE,SWORDS_DANCE,POISON_JAB,,,
Optional Move 43,,CAPTIVATE,GRASS_KNOT,,,
Optional Move 44,,SLEEP_TALK,SWAGGER,,,
Optional Move 45,,NATURAL_GIFT,SUBSTITUTE,,,
Optional Move 46,,GRASS_KNOT,,,,
Optional Move 47,,SWAGGER,,,,
Optional Move 48,,SUBSTITUTE,,,,
