Trainer 743,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,HUNTAIL,BEHEEYEM,GRAFAIAI,MAGNETON,SANDSLASH,MARACTUS
Level,58,58,58,58,58,58
Ability,SWIFT_SWIM,TELEPATHY,UNBURDEN,MAGNET_PULL,SAND_VEIL,WATER_ABSORB
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,HYDRO_PUMP,SYNCHRONOISE,GUNK_SHOT,FLASH_CANNON,EARTHQUAKE,PETAL_DANCE
Move 2,CRUNCH,CALM_MIND,U_TURN,TRI_ATTACK,CRUSH_CLAW,ACUPRESSURE
Move 3,COIL,PSYCHIC,POISON_JAB,ZAP_CANNON,SWORDS_DANCE,PECK
Move 4,ICE_FANG,ZEN_HEADBUTT,SLASH,LIGHT_SCREEN,FURY_CUTTER,PETAL_BLIZZARD
Optional Move 1,WHIRLPOOL,PSYCHIC_TERRAIN,DOODLE,ELECTRIC_TERRAIN,SCRATCH,SPIKY_SHIELD
Optional Move 2,BITE,CONFUSION,LEER,THUNDER_SHOCK,DEFENSE_CURL,ABSORB
Optional Move 3,SCREECH,GROWL,SCRATCH,TACKLE,POISON_STING,AFTER_YOU
Optional Move 4,SCARY_FACE,IMPRISON,ACID_SPRAY,SUPERSONIC,SAND_ATTACK,INGRAIN
Optional Move 5,FEINT_ATTACK,TELEPORT,FURY_SWIPES,THUNDER_WAVE,ROLLOUT,COTTON_GUARD
Optional Move 6,WATER_PULSE,WONDER_ROOM,SWITCHEROO,MAGNET_BOMB,RAPID_SPIN,GROWTH
Optional Move 7,BRINE,HEAL_BLOCK,POISON_FANG,SONIC_BOOM,MAGNITUDE,MEGA_DRAIN
Optional Move 8,SUCKER_PUNCH,MIRACLE_EYE,FLATTER,ELECTRO_BALL,BULLDOZE,LEECH_SEED
Optional Move 9,DIVE,PSYBEAM,TAUNT,SPARK,SWIFT,PIN_MISSILE
Optional Move 10,BATON_PASS,HIDDEN_POWER,SUBSTITUTE,MIRROR_SHOT,FURY_SWIPES,SWEET_SCENT
Optional Move 11,AQUA_TAIL,HEADBUTT,KNOCK_OFF,SCREECH,SAND_TOMB,NEEDLE_ARM
Optional Move 12,TOXIC,SIMPLE_BEAM,TOXIC,GYRO_BALL,SLASH,GIGA_DRAIN
Optional Move 13,HAIL,PSYCH_UP,HIDDEN_POWER,METAL_SOUND,DIG,SYNTHESIS
Optional Move 14,HIDDEN_POWER,GUARD_SPLIT,SUNNY_DAY,MAGNET_RISE,GYRO_BALL,SUCKER_PUNCH
Optional Move 15,ICE_BEAM,POWER_SPLIT,HYPER_BEAM,DISCHARGE,SANDSTORM,COTTON_SPORE
Optional Move 16,BLIZZARD,RECOVER,PROTECT,LOCK_ON,FOCUS_PUNCH,SUNNY_DAY
Optional Move 17,HYPER_BEAM,TOXIC,RAIN_DANCE,TOXIC,TOXIC,SOLAR_BEAM
Optional Move 18,PROTECT,HYPER_BEAM,FRUSTRATION,HIDDEN_POWER,HIDDEN_POWER,BOUNCE
Optional Move 19,RAIN_DANCE,LIGHT_SCREEN,RETURN,SUNNY_DAY,SUNNY_DAY,BULLET_SEED
Optional Move 20,FRUSTRATION,PROTECT,DIG,HYPER_BEAM,HYPER_BEAM,GRASS_WHISTLE
Optional Move 21,RETURN,RAIN_DANCE,DOUBLE_TEAM,PROTECT,PROTECT,SEED_BOMB
Optional Move 22,DOUBLE_TEAM,SAFEGUARD,SLUDGE_BOMB,RAIN_DANCE,SAFEGUARD,SPIKES
Optional Move 23,ROCK_TOMB,FRUSTRATION,FACADE,FRUSTRATION,FRUSTRATION,WOOD_HAMMER
Optional Move 24,FACADE,THUNDERBOLT,SECRET_POWER,THUNDERBOLT,IRON_TAIL,WORRY_SEED
Optional Move 25,SECRET_POWER,RETURN,REST,THUNDER,RETURN,TOXIC
Optional Move 26,REST,SHADOW_BALL,ATTRACT,RETURN,BRICK_BREAK,HIDDEN_POWER
Optional Move 27,ATTRACT,DOUBLE_TEAM,THIEF,DOUBLE_TEAM,DOUBLE_TEAM,PROTECT
Optional Move 28,SNATCH,REFLECT,FLING,REFLECT,ROCK_TOMB,RAIN_DANCE
Optional Move 29,ENDURE,SHOCK_WAVE,ENDURE,SHOCK_WAVE,AERIAL_ACE,SAFEGUARD
Optional Move 30,GIGA_IMPACT,ROCK_TOMB,SHADOW_CLAW,SANDSTORM,FACADE,FRUSTRATION
Optional Move 31,CAPTIVATE,FACADE,GIGA_IMPACT,FACADE,SECRET_POWER,RETURN
Optional Move 32,SLEEP_TALK,SECRET_POWER,SWORDS_DANCE,SECRET_POWER,REST,DOUBLE_TEAM
Optional Move 33,NATURAL_GIFT,REST,PSYCH_UP,REST,ATTRACT,AERIAL_ACE
Optional Move 34,SWAGGER,ATTRACT,X_SCISSOR,CHARGE_BEAM,THIEF,FACADE
Optional Move 35,SUBSTITUTE,THIEF,SLEEP_TALK,ENDURE,FOCUS_BLAST,SECRET_POWER
Optional Move 36,,STEEL_WING,SWAGGER,EXPLOSION,FALSE_SWIPE,REST
Optional Move 37,,SKILL_SWAP,,RECYCLE,FLING,ATTRACT
