Trainer 759,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,FERROTHORN,BEHEEYEM,GOREBYSS,LYCANROC,TOUCANNON,NONE
Level,62,62,62,62,62,
Ability,IRON_BARBS,TELEPATHY,SWIFT_SWIM,KEEN_EYE,KEEN_EYE,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,POWER_WHIP,SYNCHRONOISE,HYDRO_PUMP,STONE_EDGE,BEAK_BLAST,
Move 2,ROCK_CLIMB,CALM_MIND,PSYCHIC,ROCK_CLIMB,GROWL,
Move 3,IRON_DEFENSE,PSYCHIC,AGILITY,DOUBLE_TEAM,ROCK_SMASH,
Move 4,IRON_HEAD,ZEN_HEADBUTT,COIL,QUICK_GUARD,HYPER_VOICE,
Optional Move 1,TACKLE,PSYCHIC_TERRAIN,WHIRLPOOL,SUCKER_PUNCH,ROCK_BLAST,
Optional Move 2,HARDEN,CONFUSION,CONFUSION,ACCELEROCK,PECK,
Optional Move 3,METAL_CLAW,GROWL,WATER_SPORT,QUICK_ATTACK,ECHOED_VOICE,
Optional Move 4,PIN_MISSILE,IMPRISON,DRAINING_KISS,TACKLE,SUPERSONIC,
Optional Move 5,ROLLOUT,TELEPORT,WATER_PULSE,LEER,PLUCK,
Optional Move 6,CURSE,WONDER_ROOM,AMNESIA,SAND_ATTACK,ROOST,
Optional Move 7,INGRAIN,HEAL_BLOCK,AQUA_RING,BITE,FURY_ATTACK,
Optional Move 8,MIRROR_SHOT,MIRACLE_EYE,CAPTIVATE,ROCK_THROW,SCREECH,
Optional Move 9,SELF_DESTRUCT,PSYBEAM,DIVE,HOWL,DRILL_PECK,
Optional Move 10,GYRO_BALL,HIDDEN_POWER,BATON_PASS,ODOR_SLEUTH,BULLET_SEED,
Optional Move 11,FLASH_CANNON,HEADBUTT,AQUA_TAIL,ROCK_TOMB,FEATHER_DANCE,
Optional Move 12,PAYBACK,SIMPLE_BEAM,TOXIC,ROAR,TOXIC,
Optional Move 13,EXPLOSION,PSYCH_UP,HAIL,ROCK_SLIDE,HIDDEN_POWER,
Optional Move 14,TOXIC,GUARD_SPLIT,HIDDEN_POWER,CRUNCH,SUNNY_DAY,
Optional Move 15,BULLET_SEED,POWER_SPLIT,ICE_BEAM,SCARY_FACE,HYPER_BEAM,
Optional Move 16,HIDDEN_POWER,RECOVER,BLIZZARD,STEALTH_ROCK,PROTECT,
Optional Move 17,SUNNY_DAY,TOXIC,HYPER_BEAM,TOXIC,FRUSTRATION,
Optional Move 18,PROTECT,HYPER_BEAM,PROTECT,BULK_UP,RETURN,
Optional Move 19,GIGA_DRAIN,LIGHT_SCREEN,RAIN_DANCE,HIDDEN_POWER,BRICK_BREAK,
Optional Move 20,FRUSTRATION,PROTECT,SAFEGUARD,TAUNT,DOUBLE_TEAM,
Optional Move 21,SOLAR_BEAM,RAIN_DANCE,FRUSTRATION,PROTECT,AERIAL_ACE,
Optional Move 22,THUNDERBOLT,SAFEGUARD,RETURN,FRUSTRATION,FACADE,
Optional Move 23,RETURN,FRUSTRATION,SHADOW_BALL,IRON_TAIL,SECRET_POWER,
Optional Move 24,DOUBLE_TEAM,THUNDERBOLT,DOUBLE_TEAM,RETURN,REST,
Optional Move 25,SANDSTORM,RETURN,FACADE,DIG,ATTRACT,
Optional Move 26,AERIAL_ACE,SHADOW_BALL,SECRET_POWER,BRICK_BREAK,THIEF,
Optional Move 27,FACADE,DOUBLE_TEAM,REST,SANDSTORM,STEEL_WING,
Optional Move 28,SECRET_POWER,REFLECT,ATTRACT,FACADE,OVERHEAT,
Optional Move 29,REST,SHOCK_WAVE,BRINE,SECRET_POWER,ENDURE,
Optional Move 30,ATTRACT,ROCK_TOMB,ENDURE,REST,GIGA_IMPACT,
Optional Move 31,ENERGY_BALL,FACADE,GIGA_IMPACT,ATTRACT,SWORDS_DANCE,
Optional Move 32,ENDURE,SECRET_POWER,PSYCH_UP,ENDURE,PSYCH_UP,
Optional Move 33,SHADOW_CLAW,REST,SLEEP_TALK,GIGA_IMPACT,SLEEP_TALK,
Optional Move 34,GIGA_IMPACT,ATTRACT,NATURAL_GIFT,ROCK_POLISH,SWAGGER,
Optional Move 35,ROCK_POLISH,THIEF,SWAGGER,SWORDS_DANCE,U_TURN,
Optional Move 36,FLASH,STEEL_WING,SUBSTITUTE,SLEEP_TALK,SUBSTITUTE,
Optional Move 37,THUNDER_WAVE,SKILL_SWAP,,SWAGGER,FLASH_CANNON,
Optional Move 38,SWORDS_DANCE,SNATCH,,SUBSTITUTE,,
Optional Move 39,SLEEP_TALK,ENERGY_BALL,,,,
Optional Move 40,POISON_JAB,CHARGE_BEAM,,,,
Optional Move 41,GRASS_KNOT,ENDURE,,,,
Optional Move 42,SWAGGER,EMBARGO,,,,
Optional Move 43,SUBSTITUTE,RECYCLE,,,,
Optional Move 44,,GIGA_IMPACT,,,,
Optional Move 45,,FLASH,,,,
Optional Move 46,,THUNDER_WAVE,,,,
Optional Move 47,,DARK_PULSE,,,,
Optional Move 48,,ROCK_SLIDE,,,,
Optional Move 49,,SLEEP_TALK,,,,
Optional Move 50,,DREAM_EATER,,,,
Optional Move 51,,SWAGGER,,,,
Optional Move 52,,SUBSTITUTE,,,,
Optional Move 53,,FLASH_CANNON,,,,
Optional Move 54,,TRICK_ROOM,,,,
