Trainer 760,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,STARAPTOR,RAPIDASH,RELICANTH,MUSHARNA,BOLTUND,NONE
Level,62,62,62,62,62,
Ability,INTIMIDATE,RUN_AWAY,SWIFT_SWIM,FOREWARN,STRONG_JAW,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,DOUBLE_TEAM,FIRE_BLAST,HYDRO_PUMP,FUTURE_SIGHT,PLAY_ROUGH,
Move 2,CLOSE_COMBAT,MEGAHORN,AQUA_TAIL,MOONBLAST,CHARGE,
Move 3,AERIAL_ACE,AGILITY,DIVE,CALM_MIND,CRUNCH,
Move 4,TAKE_DOWN,SMART_STRIKE,HEAD_SMASH,DREAM_EATER,SPARK,
Optional Move 1,TACKLE,FURY_ATTACK,TACKLE,PSYCHIC_TERRAIN,ELECTRIFY,
Optional Move 2,GROWL,POISON_JAB,HARDEN,IMPRISON,TACKLE,
Optional Move 3,QUICK_ATTACK,TACKLE,FLAIL,MOONLIGHT,TAIL_WHIP,
Optional Move 4,WING_ATTACK,QUICK_ATTACK,MUD_SPORT,MAGIC_COAT,NUZZLE,
Optional Move 5,ENDEAVOR,GROWL,WATER_GUN,ZEN_HEADBUTT,BITE,
Optional Move 6,WHIRLWIND,TAIL_WHIP,ANCIENT_POWER,YAWN,ROAR,
Optional Move 7,AGILITY,EMBER,ROCK_TOMB,PSYCHIC,CHARM,
Optional Move 8,BRAVE_BIRD,FLAME_CHARGE,YAWN,WONDER_ROOM,WILD_CHARGE,
Optional Move 9,FINAL_GAMBIT,FLAME_WHEEL,TAKE_DOWN,STORED_POWER,ELECTRIC_TERRAIN,
Optional Move 10,TOXIC,STOMP,REST,DEFENSE_CURL,TOXIC,
Optional Move 11,HIDDEN_POWER,FIRE_SPIN,DOUBLE_EDGE,HYPNOSIS,HIDDEN_POWER,
Optional Move 12,SUNNY_DAY,TAKE_DOWN,MAGNITUDE,PSYBEAM,HYPER_BEAM,
Optional Move 13,HYPER_BEAM,INFERNO,SKULL_BASH,LUCKY_CHANT,PROTECT,
Optional Move 14,PROTECT,BOUNCE,WATER_SPORT,TOXIC,FRUSTRATION,
Optional Move 15,RAIN_DANCE,FLARE_BLITZ,AMNESIA,HIDDEN_POWER,THUNDERBOLT,
Optional Move 16,FRUSTRATION,TOXIC,SLEEP_TALK,HYPER_BEAM,THUNDER,
Optional Move 17,RETURN,HIDDEN_POWER,ROCK_SLIDE,LIGHT_SCREEN,RETURN,
Optional Move 18,FACADE,SUNNY_DAY,SNORE,PROTECT,DIG,
Optional Move 19,SECRET_POWER,HYPER_BEAM,MUD_SLAP,RAIN_DANCE,DOUBLE_TEAM,
Optional Move 20,REST,PROTECT,MUDDY_WATER,SAFEGUARD,FACADE,
Optional Move 21,ATTRACT,FRUSTRATION,WATER_PULSE,FRUSTRATION,SECRET_POWER,
Optional Move 22,THIEF,SOLAR_BEAM,CALM_MIND,RETURN,REST,
Optional Move 23,STEEL_WING,IRON_TAIL,TOXIC,SHADOW_BALL,ATTRACT,
Optional Move 24,ROOST,RETURN,HAIL,DOUBLE_TEAM,ENDURE,
Optional Move 25,ENDURE,DOUBLE_TEAM,HIDDEN_POWER,REFLECT,GIGA_IMPACT,
Optional Move 26,GIGA_IMPACT,FLAMETHROWER,ICE_BEAM,SHOCK_WAVE,THUNDER_WAVE,
Optional Move 27,CAPTIVATE,FACADE,BLIZZARD,ROCK_TOMB,SLEEP_TALK,
Optional Move 28,SLEEP_TALK,SECRET_POWER,HYPER_BEAM,TORMENT,SUBSTITUTE,
Optional Move 29,NATURAL_GIFT,REST,PROTECT,FACADE,,
Optional Move 30,SWAGGER,ATTRACT,RAIN_DANCE,SECRET_POWER,,
Optional Move 31,PLUCK,OVERHEAT,SAFEGUARD,REST,,
Optional Move 32,U_TURN,ENDURE,FRUSTRATION,ATTRACT,,
Optional Move 33,SUBSTITUTE,WILL_O_WISP,EARTHQUAKE,SKILL_SWAP,,
Optional Move 34,,GIGA_IMPACT,RETURN,ENERGY_BALL,,
Optional Move 35,,SWORDS_DANCE,DOUBLE_TEAM,CHARGE_BEAM,,
Optional Move 36,,CAPTIVATE,SANDSTORM,ENDURE,,
Optional Move 37,,SLEEP_TALK,FACADE,FLASH,,
Optional Move 38,,NATURAL_GIFT,SECRET_POWER,THUNDER_WAVE,,
Optional Move 39,,SWAGGER,ATTRACT,GYRO_BALL,,
Optional Move 40,,SUBSTITUTE,BRINE,PSYCH_UP,,
Optional Move 41,,,ENDURE,ROCK_SLIDE,,
Optional Move 42,,,GIGA_IMPACT,SLEEP_TALK,,
Optional Move 43,,,ROCK_POLISH,SWAGGER,,
Optional Move 44,,,STONE_EDGE,SUBSTITUTE,,
Optional Move 45,,,STEALTH_ROCK,TRICK_ROOM,,
Optional Move 46,,,PSYCH_UP,,,
Optional Move 47,,,CAPTIVATE,,,
Optional Move 48,,,NATURAL_GIFT,,,
Optional Move 49,,,SWAGGER,,,
Optional Move 50,,,SUBSTITUTE,,,
