Trainer 762,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,LAMPENT,SANDYGAST,ZOROARK,DUSCLOPS,RUNERIGUS,NONE
Level,64,64,64,64,64,
Ability,FLASH_FIRE,WATER_COMPACTION,ILLUSION,PRESSURE,WANDERING_SPIRIT,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,SHADOW_BALL,EARTH_POWER,SHADOW_BALL,SHADOW_BALL,EARTHQUAKE,
Move 2,CONFUSE_RAY,SHADOW_BALL,FOUL_PLAY,FUTURE_SIGHT,SHADOW_BALL,
Move 3,HEX,IRON_DEFENSE,U_TURN,CONFUSE_RAY,CURSE,
Move 4,INFERNO,GIGA_DRAIN,SCRATCH,SHADOW_PUNCH,SHADOW_CLAW,
Optional Move 1,ASTONISH,ABSORB,NIGHT_SLASH,FIRE_PUNCH,SCARY_FACE,
Optional Move 2,SMOG,HARDEN,LEER,ICE_PUNCH,ASTONISH,
Optional Move 3,EMBER,ASTONISH,TORMENT,THUNDER_PUNCH,PROTECT,
Optional Move 4,MINIMIZE,SAND_TOMB,HONE_CLAWS,GRAVITY,HAZE,
Optional Move 5,FIRE_SPIN,SAND_ATTACK,NIGHT_DAZE,BIND,NIGHT_SHADE,
Optional Move 6,WILL_O_WISP,MEGA_DRAIN,IMPRISON,ASTONISH,DISABLE,
Optional Move 7,FLAME_BURST,BULLDOZE,PURSUIT,LEER,BRUTAL_SWING,
Optional Move 8,NIGHT_SHADE,HYPNOSIS,FURY_SWIPES,DISABLE,CRAFTY_SHIELD,
Optional Move 9,IMPRISON,SHORE_UP,FEINT_ATTACK,SHADOW_SNEAK,HEX,
Optional Move 10,CURSE,SANDSTORM,SCARY_FACE,NIGHT_SHADE,MEAN_LOOK,
Optional Move 11,MEMENTO,TOXIC,TAUNT,FORESIGHT,SLAM,
Optional Move 12,PAIN_SPLIT,HIDDEN_POWER,KNOCK_OFF,PURSUIT,POWER_SPLIT,
Optional Move 13,OVERHEAT,SUNNY_DAY,FAKE_TEARS,WILL_O_WISP,GUARD_SPLIT,
Optional Move 14,CALM_MIND,PROTECT,AGILITY,CURSE,DESTINY_BOND,
Optional Move 15,TOXIC,RAIN_DANCE,EMBARGO,HEX,CALM_MIND,
Optional Move 16,HIDDEN_POWER,FRUSTRATION,PUNISHMENT,PAYBACK,TOXIC,
Optional Move 17,SUNNY_DAY,EARTHQUAKE,NASTY_PLOT,MEAN_LOOK,HIDDEN_POWER,
Optional Move 18,TAUNT,RETURN,CALM_MIND,FOCUS_PUNCH,TAUNT,
Optional Move 19,PROTECT,PSYCHIC,ROAR,CALM_MIND,HYPER_BEAM,
Optional Move 20,RAIN_DANCE,DOUBLE_TEAM,TOXIC,TOXIC,RAIN_DANCE,
Optional Move 21,SAFEGUARD,SLUDGE_BOMB,HIDDEN_POWER,HIDDEN_POWER,SAFEGUARD,
Optional Move 22,FRUSTRATION,ROCK_TOMB,SUNNY_DAY,SUNNY_DAY,FRUSTRATION,
Optional Move 23,SOLAR_BEAM,FACADE,HYPER_BEAM,TAUNT,RETURN,
Optional Move 24,RETURN,SECRET_POWER,PROTECT,ICE_BEAM,PSYCHIC,
Optional Move 25,PSYCHIC,REST,RAIN_DANCE,BLIZZARD,DOUBLE_TEAM,
Optional Move 26,DOUBLE_TEAM,ATTRACT,FRUSTRATION,HYPER_BEAM,SANDSTORM,
Optional Move 27,SHOCK_WAVE,SKILL_SWAP,RETURN,PROTECT,ROCK_TOMB,
Optional Move 28,FLAMETHROWER,ENERGY_BALL,DIG,RAIN_DANCE,FACADE,
Optional Move 29,FIRE_BLAST,BRINE,PSYCHIC,FRUSTRATION,SECRET_POWER,
Optional Move 30,FACADE,FLING,BRICK_BREAK,EARTHQUAKE,REST,
Optional Move 31,SECRET_POWER,ENDURE,DOUBLE_TEAM,RETURN,ATTRACT,
Optional Move 32,REST,RECYCLE,FLAMETHROWER,PSYCHIC,THIEF,
Optional Move 33,ATTRACT,ROCK_POLISH,SLUDGE_BOMB,BRICK_BREAK,SKILL_SWAP,
Optional Move 34,THIEF,STONE_EDGE,AERIAL_ACE,DOUBLE_TEAM,ENERGY_BALL,
Optional Move 35,ENERGY_BALL,STEALTH_ROCK,FACADE,ROCK_TOMB,ENDURE,
Optional Move 36,ENDURE,ROCK_SLIDE,SECRET_POWER,TORMENT,DRAGON_PULSE,
Optional Move 37,EMBARGO,SLEEP_TALK,REST,FACADE,WILL_O_WISP,
Optional Move 38,PAYBACK,SWAGGER,ATTRACT,SECRET_POWER,PAYBACK,
Optional Move 39,FLASH,SUBSTITUTE,THIEF,REST,GIGA_IMPACT,
Optional Move 40,PSYCH_UP,FLASH_CANNON,SNATCH,ATTRACT,STONE_EDGE,
Optional Move 41,CAPTIVATE,,FOCUS_BLAST,THIEF,STEALTH_ROCK,
Optional Move 42,DARK_PULSE,,FLING,SKILL_SWAP,DARK_PULSE,
Optional Move 43,SLEEP_TALK,,ENDURE,SNATCH,ROCK_SLIDE,
Optional Move 44,DREAM_EATER,,SHADOW_CLAW,FLING,SLEEP_TALK,
Optional Move 45,SWAGGER,,PAYBACK,CHARGE_BEAM,GRASS_KNOT,
Optional Move 46,SUBSTITUTE,,GIGA_IMPACT,ENDURE,SUBSTITUTE,
Optional Move 47,TRICK_ROOM,,SWORDS_DANCE,EMBARGO,,
Optional Move 48,,,PSYCH_UP,GIGA_IMPACT,,
Optional Move 49,,,CAPTIVATE,FLASH,,
Optional Move 50,,,DARK_PULSE,PSYCH_UP,,
Optional Move 51,,,SLEEP_TALK,CAPTIVATE,,
Optional Move 52,,,GRASS_KNOT,DARK_PULSE,,
Optional Move 53,,,SWAGGER,ROCK_SLIDE,,
Optional Move 54,,,SUBSTITUTE,SLEEP_TALK,,
Optional Move 55,,,,NATURAL_GIFT,,
Optional Move 56,,,,DREAM_EATER,,
Optional Move 57,,,,SWAGGER,,
Optional Move 58,,,,SUBSTITUTE,,
Optional Move 59,,,,TRICK_ROOM,,
