Trainer 777,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,BRAVIARY,KINGDRA,EXEGGUTOR,VENUSAUR,SCOLIPEDE,HOUNDOOM
Level,66,66,66,66,66,66
Ability,KEEN_EYE,SWIFT_SWIM,CHLOROPHYLL,OVERGROW,POISON_POINT,SOLAR_POWER
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,ESPER_WING,HYDRO_PUMP,UPROAR,PETAL_DANCE,MEGAHORN,FLAMETHROWER
Move 2,CRUSH_CLAW,DRAGON_PULSE,LEECH_SEED,LEECH_SEED,ROCK_CLIMB,NASTY_PLOT
Move 3,SUPERPOWER,DRAGON_DANCE,PSYSHOCK,PETAL_BLIZZARD,STEAMROLLER,INFERNO
Move 4,SKY_ATTACK,DRAGON_BREATH,LEAF_STORM,SEED_BOMB,VENOSHOCK,FOUL_PLAY
Optional Move 1,HONE_CLAWS,WHIRLPOOL,STOMP,TACKLE,BATON_PASS,THUNDER_FANG
Optional Move 2,LEER,YAWN,SEED_BOMB,GROWL,IRON_DEFENSE,LEER
Optional Move 3,PECK,WATER_GUN,WOOD_HAMMER,VINE_WHIP,POISON_STING,EMBER
Optional Move 4,WING_ATTACK,LEER,MEGA_DRAIN,GROWTH,DEFENSE_CURL,HOWL
Optional Move 5,TAILWIND,SMOKESCREEN,CONFUSION,POISON_POWDER,ROLLOUT,SMOG
Optional Move 6,SCARY_FACE,TWISTER,SYNTHESIS,SLEEP_POWDER,PROTECT,ROAR
Optional Move 7,AERIAL_ACE,BUBBLE,BULLET_SEED,RAZOR_LEAF,SCREECH,BITE
Optional Move 8,SLASH,FOCUS_ENERGY,GIGA_DRAIN,TAKE_DOWN,PURSUIT,ODOR_SLEUTH
Optional Move 9,WHIRLWIND,BUBBLE_BEAM,EXTRASENSORY,SWEET_SCENT,POISON_TAIL,BEAT_UP
Optional Move 10,AIR_SLASH,BRINE,WORRY_SEED,SYNTHESIS,BUG_BITE,FIRE_FANG
Optional Move 11,DEFOG,AGILITY,SOLAR_BEAM,WORRY_SEED,TAKE_DOWN,FEINT_ATTACK
Optional Move 12,TOXIC,LASER_FOCUS,ABSORB,DOUBLE_EDGE,AGILITY,EMBARGO
Optional Move 13,BULK_UP,RAIN_DANCE,HYPNOSIS,SOLAR_BEAM,TOXIC,CRUNCH
Optional Move 14,HIDDEN_POWER,WATER_PULSE,REFLECT,ROAR,VENOM_DRENCH,TOXIC
Optional Move 15,SUNNY_DAY,TOXIC,BARRAGE,TOXIC,DOUBLE_EDGE,HIDDEN_POWER
Optional Move 16,HYPER_BEAM,HAIL,EGG_BOMB,BULLET_SEED,HIDDEN_POWER,SUNNY_DAY
Optional Move 17,PROTECT,HIDDEN_POWER,CALM_MIND,HIDDEN_POWER,SUNNY_DAY,TAUNT
Optional Move 18,RAIN_DANCE,ICE_BEAM,TOXIC,SUNNY_DAY,HYPER_BEAM,HYPER_BEAM
Optional Move 19,FRUSTRATION,BLIZZARD,HIDDEN_POWER,HYPER_BEAM,FRUSTRATION,PROTECT
Optional Move 20,RETURN,HYPER_BEAM,SUNNY_DAY,LIGHT_SCREEN,SOLAR_BEAM,RAIN_DANCE
Optional Move 21,DOUBLE_TEAM,PROTECT,HYPER_BEAM,PROTECT,IRON_TAIL,FRUSTRATION
Optional Move 22,ROCK_TOMB,FRUSTRATION,LIGHT_SCREEN,GIGA_DRAIN,EARTHQUAKE,SOLAR_BEAM
Optional Move 23,FACADE,RETURN,PROTECT,SAFEGUARD,RETURN,IRON_TAIL
Optional Move 24,SECRET_POWER,DOUBLE_TEAM,FRUSTRATION,FRUSTRATION,DIG,RETURN
Optional Move 25,REST,FACADE,EARTHQUAKE,EARTHQUAKE,DOUBLE_TEAM,SHADOW_BALL
Optional Move 26,ATTRACT,SECRET_POWER,RETURN,RETURN,SLUDGE_BOMB,DOUBLE_TEAM
Optional Move 27,STEEL_WING,REST,PSYCHIC,DOUBLE_TEAM,ROCK_TOMB,SLUDGE_BOMB
Optional Move 28,ROOST,ATTRACT,DOUBLE_TEAM,SLUDGE_BOMB,FACADE,FIRE_BLAST
Optional Move 29,ENDURE,ENDURE,SLUDGE_BOMB,FACADE,SECRET_POWER,TORMENT
Optional Move 30,SHADOW_CLAW,GIGA_IMPACT,FACADE,SECRET_POWER,REST,FACADE
Optional Move 31,GIGA_IMPACT,CAPTIVATE,SECRET_POWER,REST,ATTRACT,SECRET_POWER
Optional Move 32,ROCK_SLIDE,SLEEP_TALK,REST,ATTRACT,SNATCH,REST
Optional Move 33,SLEEP_TALK,NATURAL_GIFT,ATTRACT,ENERGY_BALL,ENDURE,ATTRACT
Optional Move 34,SWAGGER,SWAGGER,THIEF,FALSE_SWIPE,PAYBACK,THIEF
Optional Move 35,PLUCK,SUBSTITUTE,SKILL_SWAP,ENDURE,GIGA_IMPACT,SNATCH
Optional Move 36,U_TURN,FLASH_CANNON,ENERGY_BALL,GIGA_IMPACT,GYRO_BALL,OVERHEAT
Optional Move 37,SUBSTITUTE,,ENDURE,FLASH,SWORDS_DANCE,ENDURE
Optional Move 38,,,EXPLOSION,SWORDS_DANCE,ROCK_SLIDE,WILL_O_WISP
Optional Move 39,,,GIGA_IMPACT,CAPTIVATE,X_SCISSOR,PAYBACK
Optional Move 40,,,FLASH,SLEEP_TALK,SLEEP_TALK,GIGA_IMPACT
Optional Move 41,,,SWORDS_DANCE,NATURAL_GIFT,POISON_JAB,CAPTIVATE
Optional Move 42,,,PSYCH_UP,POISON_JAB,SWAGGER,DARK_PULSE
Optional Move 43,,,CAPTIVATE,GRASS_KNOT,SUBSTITUTE,SLEEP_TALK
Optional Move 44,,,SLEEP_TALK,SWAGGER,,NATURAL_GIFT
Optional Move 45,,,NATURAL_GIFT,SUBSTITUTE,,DREAM_EATER
Optional Move 46,,,DREAM_EATER,,,SWAGGER
Optional Move 47,,,GRASS_KNOT,,,SUBSTITUTE
Optional Move 48,,,SWAGGER,,,
Optional Move 49,,,SUBSTITUTE,,,
Optional Move 50,,,TRICK_ROOM,,,
