Trainer 786,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SLOWKING,VILEPLUME,EXEGGUTOR,GALVANTULA,KANGASKHAN,VENUSAUR
Level,66,66,66,66,66,66
Ability,CURIOUS_MEDICINE,CHLOROPHYLL,CHLOROPHYLL,COMPOUND_EYES,EARLY_BIRD,THICK_FAT
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,FUTURE_SIGHT,PETAL_DANCE,UPROAR,BUG_BUZZ,LAST_RESORT,PETAL_DANCE
Move 2,SURF,MOONBLAST,LEECH_SEED,AGILITY,OUTRAGE,LEECH_SEED
Move 3,WATER_PULSE,PETAL_BLIZZARD,PSYSHOCK,ABSORB,FOCUS_ENERGY,PETAL_BLIZZARD
Move 4,ACID,ACID,LEAF_STORM,DISCHARGE,MEGA_PUNCH,SEED_BOMB
Optional Move 1,CHILLY_RECEPTION,AROMATHERAPY,STOMP,STICKY_WEB,POUND,TACKLE
Optional Move 2,CURSE,MEGA_DRAIN,SEED_BOMB,FURY_CUTTER,TAIL_WHIP,GROWL
Optional Move 3,GROWL,POISON_POWDER,WOOD_HAMMER,ELECTROWEB,COMET_PUNCH,VINE_WHIP
Optional Move 4,NASTY_PLOT,STUN_SPORE,MEGA_DRAIN,BUG_BITE,LEER,GROWTH
Optional Move 5,POWER_GEM,SLEEP_POWDER,CONFUSION,STRING_SHOT,GROWL,POISON_POWDER
Optional Move 6,SWAGGER,GIGA_DRAIN,SYNTHESIS,SPIDER_WEB,FAKE_OUT,SLEEP_POWDER
Optional Move 7,TACKLE,TOXIC,BULLET_SEED,THUNDER_WAVE,BITE,RAZOR_LEAF
Optional Move 8,WATER_GUN,GRASSY_TERRAIN,GIGA_DRAIN,ELECTRO_BALL,STOMP,TAKE_DOWN
Optional Move 9,YAWN,MOONLIGHT,EXTRASENSORY,SCREECH,RAGE,SWEET_SCENT
Optional Move 10,CONFUSION,ABSORB,WORRY_SEED,SLASH,HEADBUTT,SYNTHESIS
Optional Move 11,DISABLE,GROWTH,SOLAR_BEAM,SIGNAL_BEAM,DOUBLE_HIT,WORRY_SEED
Optional Move 12,HEADBUTT,SWEET_SCENT,ABSORB,SUCKER_PUNCH,CHIP_AWAY,DOUBLE_EDGE
Optional Move 13,AMNESIA,BULLET_SEED,HYPNOSIS,GASTRO_ACID,DIZZY_PUNCH,SOLAR_BEAM
Optional Move 14,SLACK_OFF,HIDDEN_POWER,REFLECT,TOXIC,CRUNCH,ROAR
Optional Move 15,PSYCHIC,SUNNY_DAY,BARRAGE,HIDDEN_POWER,SUCKER_PUNCH,TOXIC
Optional Move 16,PSYCH_UP,HYPER_BEAM,EGG_BOMB,HYPER_BEAM,ENDURE,BULLET_SEED
Optional Move 17,RAIN_DANCE,PROTECT,CALM_MIND,LIGHT_SCREEN,REVERSAL,HIDDEN_POWER
