Trainer 789,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,VIKAVOLT,PORYGON_Z,ARCHEOPS,STARMIE,GOODRA,GALLADE
Level,66,66,66,66,66,66
Ability,LEVITATE,ADAPTABILITY,DEFEATIST,ILLUMINATE,SAP_SIPPER,INNER_FOCUS
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,THUNDERBOLT,TRI_ATTACK,ROCK_SLIDE,HYDRO_PUMP,OUTRAGE,FUTURE_SIGHT
Move 2,AIR_SLASH,DISCHARGE,THRASH,PSYCHIC,POWER_WHIP,LEAF_BLADE
Move 3,DIG,NASTY_PLOT,ANCIENT_POWER,COSMIC_POWER,PROTECT,NIGHT_SLASH
Move 4,BUG_BUZZ,PSYBEAM,WING_ATTACK,POWER_GEM,DRAGON_PULSE,CLOSE_COMBAT
Optional Move 1,CHARGE,TRICK_ROOM,QUICK_ATTACK,RAPID_SPIN,AQUA_TAIL,SLASH
Optional Move 2,X_SCISSOR,DEFENSE_CURL,LEER,MINIMIZE,ACID_SPRAY,GROWL
Optional Move 3,CRUNCH,TACKLE,ROCK_THROW,SWIFT,POISON_TAIL,DISARMING_VOICE
Optional Move 4,IRON_DEFENSE,CONVERSION,DOUBLE_TEAM,PSYBEAM,TEARFUL_LOOK,HYPNOSIS
Optional Move 5,DISCHARGE,RECYCLE,PLUCK,BRINE,FEINT,DRAINING_KISS
Optional Move 6,VICE_GRIP,MAGNET_RISE,DRAGON_BREATH,LIGHT_SCREEN,ABSORB,IMPRISON
Optional Move 7,MUD_SLAP,ZAP_CANNON,SCARY_FACE,SURF,TACKLE,PSYBEAM
Optional Move 8,STRING_SHOT,MAGIC_COAT,QUICK_GUARD,RECOVER,WATER_GUN,LIFE_DEW
Optional Move 9,BUG_BITE,CONVERSION_2,AGILITY,TACKLE,DRAGON_BREATH,CHARM
Optional Move 10,BITE,THUNDER_SHOCK,ACROBATICS,HARDEN,BUBBLE,CALM_MIND
Optional Move 11,SPARK,AGILITY,U_TURN,WATER_GUN,BIDE,PSYCHIC
Optional Move 12,ACROBATICS,RECOVER,CRUNCH,CONFUSE_RAY,FLAIL,DREAM_EATER
Optional Move 13,STICKY_WEB,SIGNAL_BEAM,TAILWIND,SPOTLIGHT,WATER_PULSE,LEER
Optional Move 14,GUILLOTINE,EMBARGO,ENDEAVOR,WATER_PULSE,RAIN_DANCE,FURY_CUTTER
Optional Move 15,FLY,LOCK_ON,DRAGON_CLAW,TOXIC,BODY_SLAM,DOUBLE_TEAM
Optional Move 16,AGILITY,HYPER_BEAM,ROAR,HAIL,CURSE,CONFUSION
Optional Move 17,ZAP_CANNON,TOXIC,TOXIC,HIDDEN_POWER,MUDDY_WATER,STORED_POWER
Optional Move 18,TOXIC,HIDDEN_POWER,HIDDEN_POWER,ICE_BEAM,FOCUS_PUNCH,TELEPORT
Optional Move 19,HIDDEN_POWER,SUNNY_DAY,TAUNT,BLIZZARD,DRAGON_CLAW,AERIAL_ACE
Optional Move 20,HYPER_BEAM,ICE_BEAM,HYPER_BEAM,HYPER_BEAM,TOXIC,HELPING_HAND
Optional Move 21,LIGHT_SCREEN,BLIZZARD,PROTECT,PROTECT,HAIL,FEINT
Optional Move 22,PROTECT,PROTECT,FRUSTRATION,RAIN_DANCE,HIDDEN_POWER,SWORDS_DANCE
Optional Move 23,RAIN_DANCE,RAIN_DANCE,IRON_TAIL,FRUSTRATION,SUNNY_DAY,FALSE_SWIPE
Optional Move 24,FRUSTRATION,FRUSTRATION,EARTHQUAKE,THUNDERBOLT,ICE_BEAM,HEAL_PULSE
Optional Move 25,SOLAR_BEAM,SOLAR_BEAM,RETURN,THUNDER,BLIZZARD,QUICK_GUARD
Optional Move 26,THUNDER,IRON_TAIL,DIG,RETURN,HYPER_BEAM,PSYCHO_CUT
Optional Move 27,RETURN,THUNDERBOLT,SANDSTORM,DOUBLE_TEAM,FRUSTRATION,PROTECT
Optional Move 28,DOUBLE_TEAM,THUNDER,ROCK_TOMB,REFLECT,IRON_TAIL,WIDE_GUARD
Optional Move 29,SHOCK_WAVE,RETURN,AERIAL_ACE,FACADE,THUNDERBOLT,FOCUS_PUNCH
Optional Move 30,FACADE,PSYCHIC,TORMENT,SECRET_POWER,THUNDER,TOXIC
Optional Move 31,SECRET_POWER,SHADOW_BALL,FACADE,REST,EARTHQUAKE,BULK_UP
Optional Move 32,REST,DOUBLE_TEAM,SECRET_POWER,SKILL_SWAP,RETURN,HIDDEN_POWER
Optional Move 33,ATTRACT,SHOCK_WAVE,REST,ENDURE,DOUBLE_TEAM,SUNNY_DAY
Optional Move 34,ROOST,FACADE,ATTRACT,RECYCLE,SHOCK_WAVE,TAUNT
Optional Move 35,ENERGY_BALL,SECRET_POWER,STEEL_WING,GIGA_IMPACT,FLAMETHROWER,HYPER_BEAM
Optional Move 36,CHARGE_BEAM,REST,ROOST,FLASH,SLUDGE_BOMB,LIGHT_SCREEN
Optional Move 37,ENDURE,THIEF,FOCUS_BLAST,AVALANCHE,FIRE_BLAST,RAIN_DANCE
Optional Move 38,GIGA_IMPACT,CHARGE_BEAM,ENDURE,THUNDER_WAVE,FACADE,SAFEGUARD
Optional Move 39,THUNDER_WAVE,ENDURE,DRAGON_PULSE,GYRO_BALL,SECRET_POWER,FRUSTRATION
Optional Move 40,SLEEP_TALK,GIGA_IMPACT,SHADOW_CLAW,PSYCH_UP,REST,THUNDERBOLT
Optional Move 41,POISON_JAB,FLASH,ROCK_POLISH,SLEEP_TALK,ATTRACT,EARTHQUAKE
Optional Move 42,SWAGGER,THUNDER_WAVE,STONE_EDGE,NATURAL_GIFT,FOCUS_BLAST,RETURN
Optional Move 43,SUBSTITUTE,DARK_PULSE,STEALTH_ROCK,DREAM_EATER,ENDURE,SHADOW_BALL
Optional Move 44,FLASH_CANNON,SLEEP_TALK,SLEEP_TALK,GRASS_KNOT,GIGA_IMPACT,BRICK_BREAK
Optional Move 45,,NATURAL_GIFT,SWAGGER,SWAGGER,ROCK_SLIDE,REFLECT
Optional Move 46,,DREAM_EATER,SUBSTITUTE,SUBSTITUTE,SLEEP_TALK,SHOCK_WAVE
Optional Move 47,,SWAGGER,,FLASH_CANNON,SWAGGER,ROCK_TOMB
Optional Move 48,,SUBSTITUTE,,TRICK_ROOM,SUBSTITUTE,TORMENT
Optional Move 49,,,,,,FACADE
Optional Move 50,,,,,,SECRET_POWER
Optional Move 51,,,,,,REST
Optional Move 52,,,,,,ATTRACT
Optional Move 53,,,,,,THIEF
Optional Move 54,,,,,,SKILL_SWAP
Optional Move 55,,,,,,SNATCH
Optional Move 56,,,,,,FOCUS_BLAST
Optional Move 57,,,,,,ENERGY_BALL
Optional Move 58,,,,,,FLING
Optional Move 59,,,,,,CHARGE_BEAM
Optional Move 60,,,,,,ENDURE
Optional Move 61,,,,,,DRAIN_PUNCH
Optional Move 62,,,,,,WILL_O_WISP
Optional Move 63,,,,,,SHADOW_CLAW
Optional Move 64,,,,,,RECYCLE
Optional Move 65,,,,,,GIGA_IMPACT
Optional Move 66,,,,,,FLASH
Optional Move 67,,,,,,STONE_EDGE
Optional Move 68,,,,,,THUNDER_WAVE
Optional Move 69,,,,,,PSYCH_UP
Optional Move 70,,,,,,CAPTIVATE
Optional Move 71,,,,,,ROCK_SLIDE
Optional Move 72,,,,,,X_SCISSOR
Optional Move 73,,,,,,SLEEP_TALK
Optional Move 74,,,,,,NATURAL_GIFT
Optional Move 75,,,,,,POISON_JAB
Optional Move 76,,,,,,GRASS_KNOT
Optional Move 77,,,,,,SWAGGER
Optional Move 78,,,,,,SUBSTITUTE
Optional Move 79,,,,,,TRICK_ROOM
