Trainer 792,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,GOGOAT,KINGAMBIT,DRAGAPULT,CROBAT,LANTURN,MILOTIC
Level,66,66,66,66,66,66
Ability,SAP_SIPPER,DEFIANT,CLEAR_BODY,INNER_FOCUS,VOLT_ABSORB,MARVEL_SCALE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,LEAF_BLADE,KOWTOW_CLEAVE,DRAGON_RUSH,AIR_SLASH,HYDRO_PUMP,HYDRO_PUMP
Move 2,EARTHQUAKE,IRON_DEFENSE,SUCKER_PUNCH,LEECH_LIFE,SIGNAL_BEAM,SURF
Move 3,BULK_UP,IRON_HEAD,U_TURN,BITE,CHARGE,AQUA_TAIL
Move 4,AERIAL_ACE,NIGHT_SLASH,PHANTOM_FORCE,CROSS_POISON,DISCHARGE,COIL
Optional Move 1,TACKLE,FURY_CUTTER,DRAGON_DARTS,TAILWIND,SPIT_UP,WATER_PULSE
Optional Move 2,GROWTH,LEER,DRAGON_BREATH,TOXIC,SWALLOW,FLAIL
Optional Move 3,VINE_WHIP,METAL_BURST,ASTONISH,SCREECH,STOCKPILE,SPLASH
Optional Move 4,TAIL_WHIP,METAL_CLAW,INFESTATION,ABSORB,EERIE_IMPULSE,TACKLE
Optional Move 5,LEECH_SEED,SCRATCH,QUICK_ATTACK,SUPERSONIC,WATER_GUN,WRAP
Optional Move 6,RAZOR_LEAF,TORMENT,BITE,ASTONISH,SUPERSONIC,WATER_GUN
Optional Move 7,WORRY_SEED,FEINT_ATTACK,LOCK_ON,MEAN_LOOK,ELECTRO_BALL,WATER_SPORT
Optional Move 8,SYNTHESIS,SCARY_FACE,ASSURANCE,WING_ATTACK,THUNDER_WAVE,REFRESH
Optional Move 9,TAKE_DOWN,ASSURANCE,HEX,POISON_FANG,SPOTLIGHT,DISARMING_VOICE
Optional Move 10,BULLDOZE,METAL_SOUND,AGILITY,AIR_CUTTER,BUBBLE,TWISTER
Optional Move 11,SEED_BOMB,SLASH,DOUBLE_HIT,SWIFT,BUBBLE_BEAM,AQUA_RING
Optional Move 12,DOUBLE_EDGE,EMBARGO,DRAGON_DANCE,QUICK_GUARD,CONFUSE_RAY,LIFE_DEW
