Trainer 816,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,WISHIWASHI,BOMBIRDIER,PALOSSAND,BAXCALIBUR,ELECTIVIRE,GENGAR
Level,70,70,70,70,70,70
Ability,SCHOOLING,BIG_PECKS,WATER_COMPACTION,THERMAL_EXCHANGE,MOTOR_DRIVE,CURSED_BODY
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,HYDRO_PUMP,ROCK_SLIDE,EARTH_POWER,GLAIVE_RUSH,THUNDERBOLT,SHADOW_BALL
Move 2,UPROAR,KNOCK_OFF,SHADOW_BALL,ICICLE_CRASH,FIRE_PUNCH,DREAM_EATER
Move 3,AQUA_RING,WING_ATTACK,IRON_DEFENSE,FOCUS_ENERGY,CHARGE,CONFUSE_RAY
Move 4,AQUA_TAIL,HONE_CLAWS,GIGA_DRAIN,ICE_BEAM,THUNDER,DARK_PULSE
Optional Move 1,WATER_GUN,LEER,ABSORB,BREAKING_SWIPE,QUICK_ATTACK,SHADOW_PUNCH
Optional Move 2,GROWL,MEMENTO,HARDEN,DRAGON_TAIL,LEER,PERISH_SONG
Optional Move 3,HELPING_HAND,PECK,ASTONISH,ICE_SHARD,THUNDER_SHOCK,REFLECT_TYPE
Optional Move 4,FEINT_ATTACK,THIEF,SAND_TOMB,LEER,ELECTRIC_TERRAIN,LICK
Optional Move 5,BRINE,ROCK_THROW,SAND_ATTACK,SNOWSCAPE,ION_DELUGE,HYPNOSIS
Optional Move 6,TEARFUL_LOOK,WHIRLWIND,MEGA_DRAIN,TACKLE,LOW_KICK,MEAN_LOOK
Optional Move 7,BEAT_UP,PLUCK,BULLDOZE,ICY_WIND,SWIFT,SPITE
Optional Move 8,DIVE,TORMENT,HYPNOSIS,DRAGON_BREATH,SHOCK_WAVE,CURSE
Optional Move 9,TAKE_DOWN,ROCK_TOMB,SHORE_UP,BITE,THUNDER_WAVE,PAYBACK
Optional Move 10,SOAK,PAYBACK,SANDSTORM,ICE_FANG,ELECTRO_BALL,NIGHT_SHADE
Optional Move 11,ENDEAVOR,DUAL_WINGBEAT,TOXIC,DRAGON_CLAW,THUNDER_PUNCH,SUCKER_PUNCH
Optional Move 12,DOUBLE_EDGE,PARTING_SHOT,HIDDEN_POWER,TAKE_DOWN,SCREECH,HEX
Optional Move 13,WATER_PULSE,TOXIC,SUNNY_DAY,CRUNCH,DISCHARGE,DESTINY_BOND
Optional Move 14,TOXIC,HIDDEN_POWER,HYPER_BEAM,TOXIC,LIGHT_SCREEN,NIGHTMARE
Optional Move 15,HAIL,SUNNY_DAY,PROTECT,HIDDEN_POWER,GIGA_IMPACT,FOCUS_PUNCH
Optional Move 16,HIDDEN_POWER,TAUNT,RAIN_DANCE,BLIZZARD,FOCUS_PUNCH,TOXIC
Optional Move 17,ICE_BEAM,HYPER_BEAM,FRUSTRATION,HYPER_BEAM,TOXIC,HIDDEN_POWER
Optional Move 18,PROTECT,PROTECT,EARTHQUAKE,PROTECT,BULK_UP,SUNNY_DAY
Optional Move 19,RAIN_DANCE,RAIN_DANCE,RETURN,RAIN_DANCE,HIDDEN_POWER,TAUNT
Optional Move 20,FRUSTRATION,FRUSTRATION,PSYCHIC,FRUSTRATION,TAUNT,HYPER_BEAM
Optional Move 21,IRON_TAIL,RETURN,DOUBLE_TEAM,EARTHQUAKE,HYPER_BEAM,PROTECT
Optional Move 22,EARTHQUAKE,DOUBLE_TEAM,SLUDGE_BOMB,RETURN,PROTECT,RAIN_DANCE
Optional Move 23,RETURN,SANDSTORM,ROCK_TOMB,DIG,RAIN_DANCE,GIGA_DRAIN
Optional Move 24,DOUBLE_TEAM,AERIAL_ACE,FACADE,BRICK_BREAK,FRUSTRATION,FRUSTRATION
Optional Move 25,FACADE,FACADE,SECRET_POWER,DOUBLE_TEAM,IRON_TAIL,THUNDERBOLT
Optional Move 26,SECRET_POWER,SECRET_POWER,REST,AERIAL_ACE,EARTHQUAKE,THUNDER
Optional Move 27,REST,REST,ATTRACT,FACADE,RETURN,RETURN
Optional Move 28,ATTRACT,ATTRACT,SKILL_SWAP,SECRET_POWER,DIG,PSYCHIC
Optional Move 29,ENDURE,ROOST,ENERGY_BALL,REST,PSYCHIC,BRICK_BREAK
Optional Move 30,SLEEP_TALK,ENDURE,BRINE,ATTRACT,BRICK_BREAK,DOUBLE_TEAM
Optional Move 31,SWAGGER,GIGA_IMPACT,FLING,FALSE_SWIPE,DOUBLE_TEAM,SLUDGE_BOMB
Optional Move 32,U_TURN,STONE_EDGE,ENDURE,ENDURE,REFLECT,TORMENT
Optional Move 33,SUBSTITUTE,STEALTH_ROCK,EMBARGO,DRAGON_PULSE,FLAMETHROWER,FACADE
Optional Move 34,,PSYCH_UP,RECYCLE,GIGA_IMPACT,FIRE_BLAST,SECRET_POWER
Optional Move 35,,DARK_PULSE,GIGA_IMPACT,AVALANCHE,ROCK_TOMB,REST
Optional Move 36,,SLEEP_TALK,ROCK_POLISH,SWORDS_DANCE,TORMENT,ATTRACT
Optional Move 37,,U_TURN,STONE_EDGE,SLEEP_TALK,FACADE,THIEF
Optional Move 38,,SUBSTITUTE,STEALTH_ROCK,SUBSTITUTE,SECRET_POWER,SKILL_SWAP
Optional Move 39,,,ROCK_SLIDE,,REST,SNATCH
Optional Move 40,,,SLEEP_TALK,,ATTRACT,FOCUS_BLAST
Optional Move 41,,,SWAGGER,,THIEF,ENERGY_BALL
Optional Move 42,,,SUBSTITUTE,,FOCUS_BLAST,FLING
Optional Move 43,,,FLASH_CANNON,,FLING,ENDURE
Optional Move 44,,,,,CHARGE_BEAM,DRAIN_PUNCH
Optional Move 45,,,,,ENDURE,WILL_O_WISP
Optional Move 46,,,,,FLASH,EMBARGO
Optional Move 47,,,,,CAPTIVATE,EXPLOSION
Optional Move 48,,,,,ROCK_SLIDE,SHADOW_CLAW
Optional Move 49,,,,,SLEEP_TALK,GIGA_IMPACT
Optional Move 50,,,,,NATURAL_GIFT,THUNDER_WAVE
Optional Move 51,,,,,SWAGGER,PSYCH_UP
Optional Move 52,,,,,SUBSTITUTE,CAPTIVATE
Optional Move 53,,,,,,SLEEP_TALK
Optional Move 54,,,,,,NATURAL_GIFT
Optional Move 55,,,,,,POISON_JAB
Optional Move 56,,,,,,SWAGGER
Optional Move 57,,,,,,SUBSTITUTE
Optional Move 58,,,,,,TRICK_ROOM
