Trainer 817,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,PASSIMIAN,ARMALDO,HOUNDOOM,CLAYDOL,AVALUGG,MIMIKYU
Level,72,72,72,72,72,72
Ability,RECEIVER,BATTLE_ARMOR,EARLY_BIRD,LEVITATE,OWN_TEMPO,DISGUISE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,THRASH,X_SCISSOR,FLAMETHROWER,EARTH_POWER,BODY_SLAM,PLAY_ROUGH
Move 2,BULK_UP,CRUSH_CLAW,NASTY_PLOT,ROCK_TOMB,BLIZZARD,DOUBLE_TEAM
Move 3,BEAT_UP,BRINE,INFERNO,EXTRASENSORY,CRUNCH,SHADOW_CLAW
Move 4,ROCK_SMASH,ANCIENT_POWER,FOUL_PLAY,COSMIC_POWER,IRON_DEFENSE,SLASH
Optional Move 1,TACKLE,FURY_CUTTER,THUNDER_FANG,HYPER_BEAM,WIDE_GUARD,WOOD_HAMMER
Optional Move 2,LEER,HARDEN,LEER,TELEPORT,RAPID_SPIN,SPLASH
Optional Move 3,FOCUS_ENERGY,WATER_GUN,EMBER,HARDEN,HARDEN,ASTONISH
Optional Move 4,SCARY_FACE,SMACK_DOWN,HOWL,MUD_SLAP,TACKLE,SCRATCH
Optional Move 5,TAKE_DOWN,MUD_SPORT,SMOG,RAPID_SPIN,POWDER_SNOW,COPYCAT
Optional Move 6,BESTOW,SCRATCH,ROAR,CONFUSION,SKULL_BASH,SHADOW_SNEAK
Optional Move 7,FLING,METAL_CLAW,BITE,HEAL_BLOCK,BITE,BABY_DOLL_EYES
Optional Move 8,DOUBLE_EDGE,BUG_BITE,ODOR_SLEUTH,PSYBEAM,ICY_WIND,MIMIC
Optional Move 9,CLOSE_COMBAT,SLASH,BEAT_UP,POWER_TRICK,CURSE,FEINT_ATTACK
Optional Move 10,REVERSAL,ROCK_BLAST,FIRE_FANG,ANCIENT_POWER,PROTECT,HONE_CLAWS
Optional Move 11,GIGA_IMPACT,PROTECT,FEINT_ATTACK,SELF_DESTRUCT,SHARPEN,CHARM
Optional Move 12,FOCUS_PUNCH,WATER_PULSE,EMBARGO,IMPRISON,ICE_FANG,PAIN_SPLIT
Optional Move 13,TOXIC,TOXIC,CRUNCH,GUARD_SPLIT,TAKE_DOWN,TOXIC
Optional Move 14,HIDDEN_POWER,HIDDEN_POWER,TOXIC,POWER_SPLIT,AVALANCHE,BULK_UP
Optional Move 15,SUNNY_DAY,SUNNY_DAY,HIDDEN_POWER,SANDSTORM,ICE_BALL,HIDDEN_POWER
Optional Move 16,TAUNT,HYPER_BEAM,SUNNY_DAY,EXPLOSION,RECOVER,SUNNY_DAY
Optional Move 17,HYPER_BEAM,FRUSTRATION,TAUNT,CALM_MIND,DOUBLE_EDGE,TAUNT
Optional Move 18,PROTECT,IRON_TAIL,HYPER_BEAM,TOXIC,TOXIC,HYPER_BEAM
Optional Move 19,RAIN_DANCE,EARTHQUAKE,PROTECT,HIDDEN_POWER,HAIL,LIGHT_SCREEN
Optional Move 20,FRUSTRATION,RETURN,RAIN_DANCE,SUNNY_DAY,HIDDEN_POWER,PROTECT
Optional Move 21,IRON_TAIL,DIG,FRUSTRATION,ICE_BEAM,ICE_BEAM,GIGA_DRAIN
Optional Move 22,EARTHQUAKE,BRICK_BREAK,SOLAR_BEAM,LIGHT_SCREEN,HYPER_BEAM,SAFEGUARD
Optional Move 23,RETURN,DOUBLE_TEAM,IRON_TAIL,PROTECT,RAIN_DANCE,FRUSTRATION
Optional Move 24,SHADOW_BALL,SANDSTORM,RETURN,RAIN_DANCE,SAFEGUARD,THUNDER
