Trainer 825,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,AURORUS,GLACEON,ABOMASNOW,NONE,NONE,NONE
Level,68,68,68,,,
Ability,REFRIGERATE,SNOW_CLOAK,SNOW_WARNING,,,
Held Item,NONE,NONE,NONE,,,
Move 1,ICE_BEAM,LAST_RESORT,ICE_PUNCH,,,
Move 2,BLIZZARD,COVET,SWAGGER,,,
Move 3,FREEZE_DRY,BLIZZARD,WOOD_HAMMER,,,
Move 4,ANCIENT_POWER,BARRIER,BLIZZARD,,,
Optional Move 1,POWDER_SNOW,ICY_WIND,AURORA_VEIL,,,
Optional Move 2,GROWL,SWIFT,POWDER_SNOW,,,
Optional Move 3,ENCORE,COPYCAT,LEER,,,
Optional Move 4,THUNDER_WAVE,BATON_PASS,LEAFAGE,,,
Optional Move 5,ROCK_THROW,TAKE_DOWN,MIST,,,
Optional Move 6,ICY_WIND,CHARM,RAZOR_LEAF,,,
Optional Move 7,TAKE_DOWN,DOUBLE_EDGE,ICY_WIND,,,
Optional Move 8,MIST,HELPING_HAND,GRASS_WHISTLE,,,
Optional Move 9,ROUND,TACKLE,ICE_SHARD,,,
Optional Move 10,AURORA_BEAM,GROWL,INGRAIN,,,
Optional Move 11,AVALANCHE,TAIL_WHIP,SHEER_COLD,,,
Optional Move 12,NATURE_POWER,SAND_ATTACK,FOCUS_PUNCH,,,
Optional Move 13,HAIL,QUICK_ATTACK,WATER_PULSE,,,
Optional Move 14,LIGHT_SCREEN,BABY_DOLL_EYES,TOXIC,,,
Optional Move 15,HYPER_BEAM,BITE,HAIL,,,
Optional Move 16,WATER_PULSE,ICE_SHARD,BULLET_SEED,,,
Optional Move 17,CALM_MIND,ICE_FANG,HIDDEN_POWER,,,
Optional Move 18,ROAR,HAIL,ICE_BEAM,,,
Optional Move 19,TOXIC,MIRROR_COAT,HYPER_BEAM,,,
Optional Move 20,HIDDEN_POWER,FREEZE_DRY,PROTECT,,,
Optional Move 21,PROTECT,WATER_PULSE,RAIN_DANCE,,,
Optional Move 22,RAIN_DANCE,CALM_MIND,GIGA_DRAIN,,,
Optional Move 23,SAFEGUARD,ROAR,SAFEGUARD,,,
Optional Move 24,FRUSTRATION,TOXIC,FRUSTRATION,,,
Optional Move 25,IRON_TAIL,HIDDEN_POWER,SOLAR_BEAM,,,
Optional Move 26,THUNDERBOLT,SUNNY_DAY,IRON_TAIL,,,
Optional Move 27,THUNDER,ICE_BEAM,EARTHQUAKE,,,
Optional Move 28,EARTHQUAKE,HYPER_BEAM,RETURN,,,
Optional Move 29,RETURN,PROTECT,BRICK_BREAK,,,
Optional Move 30,PSYCHIC,RAIN_DANCE,DOUBLE_TEAM,,,
Optional Move 31,DOUBLE_TEAM,FRUSTRATION,ROCK_TOMB,,,
Optional Move 32,REFLECT,IRON_TAIL,FACADE,,,
Optional Move 33,SANDSTORM,RETURN,SECRET_POWER,,,
Optional Move 34,ROCK_TOMB,DIG,REST,,,
Optional Move 35,FACADE,SHADOW_BALL,ATTRACT,,,
Optional Move 36,SECRET_POWER,DOUBLE_TEAM,FOCUS_BLAST,,,
Optional Move 37,REST,FACADE,ENERGY_BALL,,,
Optional Move 38,ATTRACT,SECRET_POWER,FLING,,,
Optional Move 39,CHARGE_BEAM,REST,ENDURE,,,
Optional Move 40,ENDURE,ATTRACT,GIGA_IMPACT,,,
Optional Move 41,GIGA_IMPACT,ENDURE,FLASH,,,
Optional Move 42,ROCK_POLISH,GIGA_IMPACT,AVALANCHE,,,
Optional Move 43,FLASH,AVALANCHE,SWORDS_DANCE,,,
Optional Move 44,STONE_EDGE,CAPTIVATE,CAPTIVATE,,,
Optional Move 45,STEALTH_ROCK,SLEEP_TALK,ROCK_SLIDE,,,
Optional Move 46,PSYCH_UP,NATURAL_GIFT,SLEEP_TALK,,,
Optional Move 47,DARK_PULSE,SWAGGER,NATURAL_GIFT,,,
Optional Move 48,ROCK_SLIDE,SUBSTITUTE,GRASS_KNOT,,,
Optional Move 49,SLEEP_TALK,,SUBSTITUTE,,,
Optional Move 50,DREAM_EATER,,,,,
Optional Move 51,SWAGGER,,,,,
Optional Move 52,SUBSTITUTE,,,,,
Optional Move 53,FLASH_CANNON,,,,,
