Trainer 830,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SAMUROTT,TYPHLOSION,ROTOM_MOW,GLISCOR,DURALUDON,NONE
Level,70,70,70,70,70,
Ability,TORRENT,BLAZE,LEVITATE,HYPER_CUTTER,LIGHT_METAL,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,HYDRO_PUMP,ERUPTION,DISCHARGE,SKY_UPPERCUT,FLASH_CANNON,
Move 2,MEGAHORN,LEER,UPROAR,FIRE_FANG,IRON_DEFENSE,
Move 3,AERIAL_ACE,INFERNAL_PARADE,CHARGE,POISON_JAB,DRAGON_CLAW,
Move 4,SUCKER_PUNCH,INFERNO,TRICK,ACROBATICS,BREAKING_SWIPE,
Optional Move 1,SLASH,DOUBLE_EDGE,ASTONISH,GUILLOTINE,METAL_CLAW,
Optional Move 2,TACKLE,EMBER,DOUBLE_TEAM,THUNDER_FANG,LEER,
Optional Move 3,TAIL_WHIP,GYRO_BALL,THUNDER_WAVE,ICE_FANG,ROCK_SMASH,
Optional Move 4,WATER_GUN,SMOKESCREEN,THUNDER_SHOCK,SAND_ATTACK,HONE_CLAWS,
Optional Move 5,WATER_SPORT,TACKLE,CONFUSE_RAY,HARDEN,METAL_SOUND,
Optional Move 6,FOCUS_ENERGY,QUICK_ATTACK,SHOCK_WAVE,KNOCK_OFF,DRAGON_TAIL,
Optional Move 7,RAZOR_SHELL,FLAME_WHEEL,OMINOUS_WIND,QUICK_ATTACK,LASER_FOCUS,
Optional Move 8,FURY_CUTTER,DEFENSE_CURL,ELECTRO_BALL,FURY_CUTTER,METAL_BURST,
Optional Move 9,WATER_PULSE,SWIFT,SUBSTITUTE,FEINT_ATTACK,HYPER_BEAM,
Optional Move 10,REVENGE,FLAME_CHARGE,HEX,NIGHT_SLASH,ROAR,
Optional Move 11,AQUA_JET,LAVA_PLUME,TOXIC,U_TURN,TOXIC,
Optional Move 12,ENCORE,FLAMETHROWER,HIDDEN_POWER,SCREECH,HIDDEN_POWER,
Optional Move 13,AQUA_TAIL,ROLLOUT,SUNNY_DAY,X_SCISSOR,LIGHT_SCREEN,
Optional Move 14,RETALIATE,FOCUS_PUNCH,LIGHT_SCREEN,SWORDS_DANCE,PROTECT,
Optional Move 15,SWORDS_DANCE,ROAR,PROTECT,TOXIC,FRUSTRATION,
Optional Move 16,TOXIC,TOXIC,RAIN_DANCE,HIDDEN_POWER,SOLAR_BEAM,
Optional Move 17,HAIL,HIDDEN_POWER,FRUSTRATION,SUNNY_DAY,THUNDER,
Optional Move 18,HIDDEN_POWER,SUNNY_DAY,THUNDERBOLT,TAUNT,RETURN,
Optional Move 19,TAUNT,HYPER_BEAM,THUNDER,HYPER_BEAM,BRICK_BREAK,
Optional Move 20,ICE_BEAM,PROTECT,RETURN,PROTECT,DOUBLE_TEAM,
Optional Move 21,BLIZZARD,FRUSTRATION,SHADOW_BALL,RAIN_DANCE,REFLECT,
Optional Move 22,HYPER_BEAM,SOLAR_BEAM,REFLECT,FRUSTRATION,ROCK_TOMB,
Optional Move 23,PROTECT,EARTHQUAKE,FACADE,IRON_TAIL,FACADE,
Optional Move 24,RAIN_DANCE,RETURN,SECRET_POWER,EARTHQUAKE,SECRET_POWER,
Optional Move 25,FRUSTRATION,DIG,REST,RETURN,REST,
Optional Move 26,IRON_TAIL,SHADOW_BALL,THIEF,DIG,ATTRACT,
Optional Move 27,RETURN,BRICK_BREAK,SNATCH,BRICK_BREAK,ENDURE,
Optional Move 28,DIG,DOUBLE_TEAM,CHARGE_BEAM,DOUBLE_TEAM,DRAGON_PULSE,
Optional Move 29,BRICK_BREAK,FIRE_BLAST,ENDURE,SLUDGE_BOMB,STONE_EDGE,
Optional Move 30,DOUBLE_TEAM,ROCK_TOMB,WILL_O_WISP,SANDSTORM,THUNDER_WAVE,
Optional Move 31,FACADE,AERIAL_ACE,FLASH,ROCK_TOMB,GYRO_BALL,
Optional Move 32,SECRET_POWER,FACADE,DARK_PULSE,AERIAL_ACE,SWORDS_DANCE,
Optional Move 33,REST,SECRET_POWER,SLEEP_TALK,TORMENT,STEALTH_ROCK,
Optional Move 34,ATTRACT,REST,NATURAL_GIFT,FACADE,DARK_PULSE,
Optional Move 35,THIEF,ATTRACT,DREAM_EATER,SECRET_POWER,ROCK_SLIDE,
Optional Move 36,FALSE_SWIPE,FOCUS_BLAST,SWAGGER,REST,SLEEP_TALK,
Optional Move 37,FLING,FLING,,ATTRACT,SUBSTITUTE,
Optional Move 38,ENDURE,ENDURE,,THIEF,,
Optional Move 39,GIGA_IMPACT,WILL_O_WISP,,STEEL_WING,,
Optional Move 40,AVALANCHE,SHADOW_CLAW,,ROOST,,
Optional Move 41,X_SCISSOR,GIGA_IMPACT,,FALSE_SWIPE,,
Optional Move 42,SLEEP_TALK,CAPTIVATE,,FLING,,
Optional Move 43,GRASS_KNOT,ROCK_SLIDE,,ENDURE,,
Optional Move 44,SWAGGER,SLEEP_TALK,,PAYBACK,,
Optional Move 45,SUBSTITUTE,NATURAL_GIFT,,GIGA_IMPACT,,
Optional Move 46,,SWAGGER,,ROCK_POLISH,,
Optional Move 47,,SUBSTITUTE,,STONE_EDGE,,
Optional Move 48,,,,STEALTH_ROCK,,
Optional Move 49,,,,CAPTIVATE,,
Optional Move 50,,,,DARK_PULSE,,
Optional Move 51,,,,ROCK_SLIDE,,
Optional Move 52,,,,SLEEP_TALK,,
Optional Move 53,,,,NATURAL_GIFT,,
Optional Move 54,,,,SWAGGER,,
Optional Move 55,,,,SUBSTITUTE,,
