Trainer 839,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,RAPIDASH,QUAQUAVAL,EXEGGUTOR,STOUTLAND,LYCANROC,MAWILE
Level,70,70,70,70,70,70
Ability,RUN_AWAY,TORRENT,FRISK,INTIMIDATE,TOUGH_CLAWS,HUGE_POWER
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,PSYCHIC,WAVE_CRASH,DRAGON_HAMMER,LAST_RESORT,STONE_EDGE,IRON_HEAD
Move 2,MEGAHORN,AIR_SLASH,UPROAR,PLAY_ROUGH,THRASH,PLAY_ROUGH
Move 3,AGILITY,WING_ATTACK,LEECH_SEED,WORK_UP,DOUBLE_TEAM,IRON_DEFENSE
Move 4,PSYCHO_CUT,CLOSE_COMBAT,LEAF_STORM,CRUNCH,COUNTER,CRUNCH
Optional Move 1,SMART_STRIKE,AQUA_STEP,STOMP,ICE_FANG,SUCKER_PUNCH,ASTONISH
Optional Move 2,FURY_ATTACK,COUNTER,SEED_BOMB,FIRE_FANG,ACCELEROCK,GROWL
Optional Move 3,POISON_JAB,DOUBLE_HIT,PSYSHOCK,THUNDER_FANG,QUICK_GUARD,TAUNT
Optional Move 4,TACKLE,GROWL,WOOD_HAMMER,TACKLE,QUICK_ATTACK,FAIRY_WIND
Optional Move 5,QUICK_ATTACK,POUND,MEGA_DRAIN,LEER,TACKLE,BITE
Optional Move 6,GROWL,WATER_GUN,CONFUSION,BITE,LEER,BATON_PASS
Optional Move 7,TAIL_WHIP,WORK_UP,SYNTHESIS,ODOR_SLEUTH,SAND_ATTACK,VICE_GRIP
Optional Move 8,EMBER,AQUA_JET,BULLET_SEED,BABY_DOLL_EYES,BITE,FEINT_ATTACK
Optional Move 9,FLAME_CHARGE,WATER_PULSE,GIGA_DRAIN,RETALIATE,ROCK_THROW,SWEET_SCENT
Optional Move 10,FLAME_WHEEL,AQUA_CUTTER,EXTRASENSORY,TAKE_DOWN,HOWL,FAKE_TEARS
Optional Move 11,STOMP,FOCUS_ENERGY,WORRY_SEED,HELPING_HAND,ODOR_SLEUTH,STOCKPILE
Optional Move 12,FIRE_SPIN,MEGA_KICK,SOLAR_BEAM,ROAR,ROCK_TOMB,SWALLOW
Optional Move 13,TAKE_DOWN,ACROBATICS,ABSORB,REVERSAL,ROAR,SPIT_UP
Optional Move 14,INFERNO,LIQUIDATION,HYPNOSIS,GIGA_IMPACT,ROCK_SLIDE,SUCKER_PUNCH
Optional Move 15,BOUNCE,FEATHER_DANCE,REFLECT,TOXIC,CRUNCH,SWORDS_DANCE
Optional Move 16,FIRE_BLAST,TOXIC,BARRAGE,HIDDEN_POWER,SCARY_FACE,FALSE_SWIPE
Optional Move 17,FLARE_BLITZ,BULK_UP,EGG_BOMB,SUNNY_DAY,STEALTH_ROCK,POISON_FANG
Optional Move 18,TOXIC,HIDDEN_POWER,CALM_MIND,HYPER_BEAM,ROCK_CLIMB,PSYCH_UP
Optional Move 19,HIDDEN_POWER,TAUNT,TOXIC,PROTECT,TOXIC,ANCIENT_POWER
Optional Move 20,SUNNY_DAY,HYPER_BEAM,HIDDEN_POWER,RAIN_DANCE,BULK_UP,TICKLE
Optional Move 21,HYPER_BEAM,PROTECT,SUNNY_DAY,FRUSTRATION,HIDDEN_POWER,ICE_FANG
Optional Move 22,PROTECT,RAIN_DANCE,HYPER_BEAM,THUNDERBOLT,TAUNT,FIRE_FANG
Optional Move 23,FRUSTRATION,FRUSTRATION,LIGHT_SCREEN,THUNDER,PROTECT,THUNDER_FANG
Optional Move 24,SOLAR_BEAM,RETURN,PROTECT,RETURN,FRUSTRATION,PUNISHMENT
Optional Move 25,IRON_TAIL,BRICK_BREAK,FRUSTRATION,DIG,IRON_TAIL,GUARD_SWAP
Optional Move 26,RETURN,DOUBLE_TEAM,EARTHQUAKE,SHADOW_BALL,RETURN,FOCUS_PUNCH
Optional Move 27,DOUBLE_TEAM,AERIAL_ACE,RETURN,DOUBLE_TEAM,DIG,TOXIC
Optional Move 28,FLAMETHROWER,FACADE,PSYCHIC,SHOCK_WAVE,BRICK_BREAK,HIDDEN_POWER
Optional Move 29,FACADE,SECRET_POWER,DOUBLE_TEAM,ROCK_TOMB,SANDSTORM,SUNNY_DAY
Optional Move 30,SECRET_POWER,REST,SLUDGE_BOMB,AERIAL_ACE,FACADE,ICE_BEAM
Optional Move 31,REST,ATTRACT,FACADE,FACADE,SECRET_POWER,HYPER_BEAM
Optional Move 32,ATTRACT,ROOST,SECRET_POWER,SECRET_POWER,REST,PROTECT
