Trainer 840,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SCOVILLAIN,HATTERENE,PIDGEOT,NONE,NONE,NONE
Level,70,70,70,,,
Ability,CHLOROPHYLL,HEALER,NO_GUARD,,,
Held Item,NONE,NONE,NONE,,,
Move 1,FLAMETHROWER,PSYCHIC,AIR_SLASH,,,
Move 2,SEED_BOMB,DAZZLING_GLEAM,AGILITY,,,
Move 3,SPICY_EXTRACT,CALM_MIND,HURRICANE,,,
Move 4,SOLAR_BEAM,PSYBEAM,QUICK_ATTACK,,,
Optional Move 1,FIRE_FANG,PSYCHO_CUT,TACKLE,,,
Optional Move 2,LEAFAGE,BRUTAL_SWING,SAND_ATTACK,,,
Optional Move 3,LEER,CONFUSION,GUST,,,
Optional Move 4,BITE,PLAY_NICE,WHIRLWIND,,,
Optional Move 5,GROWTH,LIFE_DEW,TWISTER,,,
Optional Move 6,RAZOR_LEAF,DISARMING_VOICE,FEATHER_DANCE,,,
Optional Move 7,SUNNY_DAY,AROMATHERAPY,WING_ATTACK,,,
Optional Move 8,BULLET_SEED,HEAL_PULSE,ROOST,,,
Optional Move 9,HEADBUTT,HEALING_WISH,TAILWIND,,,
Optional Move 10,ZEN_HEADBUTT,MAGIC_POWDER,MIRROR_MOVE,,,
Optional Move 11,WORRY_SEED,TOXIC,TOXIC,,,
Optional Move 12,CRUNCH,HIDDEN_POWER,HIDDEN_POWER,,,
Optional Move 13,OVERHEAT,HYPER_BEAM,SUNNY_DAY,,,
Optional Move 14,TOXIC,LIGHT_SCREEN,HYPER_BEAM,,,
Optional Move 15,HIDDEN_POWER,PROTECT,PROTECT,,,
Optional Move 16,HYPER_BEAM,GIGA_DRAIN,RAIN_DANCE,,,
Optional Move 17,PROTECT,SAFEGUARD,FRUSTRATION,,,
Optional Move 18,GIGA_DRAIN,FRUSTRATION,RETURN,,,
Optional Move 19,FRUSTRATION,RETURN,DOUBLE_TEAM,,,
Optional Move 20,RETURN,SHADOW_BALL,AERIAL_ACE,,,
Optional Move 21,DOUBLE_TEAM,DOUBLE_TEAM,FACADE,,,
Optional Move 22,SANDSTORM,REFLECT,SECRET_POWER,,,
Optional Move 23,FIRE_BLAST,FACADE,REST,,,
Optional Move 24,FACADE,SECRET_POWER,ATTRACT,,,
Optional Move 25,SECRET_POWER,REST,THIEF,,,
Optional Move 26,REST,ATTRACT,STEEL_WING,,,
Optional Move 27,ATTRACT,SKILL_SWAP,ENDURE,,,
Optional Move 28,THIEF,ENDURE,GIGA_IMPACT,,,
Optional Move 29,ENERGY_BALL,SHADOW_CLAW,CAPTIVATE,,,
Optional Move 30,ENDURE,GIGA_IMPACT,SLEEP_TALK,,,
Optional Move 31,WILL_O_WISP,THUNDER_WAVE,NATURAL_GIFT,,,
Optional Move 32,GIGA_IMPACT,SWORDS_DANCE,SWAGGER,,,
Optional Move 33,SLEEP_TALK,PSYCH_UP,PLUCK,,,
Optional Move 34,GRASS_KNOT,DARK_PULSE,U_TURN,,,
Optional Move 35,SUBSTITUTE,SLEEP_TALK,SUBSTITUTE,,,
Optional Move 36,,SUBSTITUTE,,,,
Optional Move 37,,TRICK_ROOM,,,,
