Trainer 842,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,ESPEON,FLAPPLE,KANGASKHAN,NONE,NONE,NONE
Level,70,70,70,,,
Ability,SYNCHRONIZE,RIPEN,PARENTAL_BOND,,,
Held Item,NONE,NONE,NONE,,,
Move 1,FUTURE_SIGHT,GRAV_APPLE,LAST_RESORT,,,
Move 2,LAST_RESORT,DRAGON_PULSE,OUTRAGE,,,
Move 3,COVET,DRAGON_DANCE,FOCUS_ENERGY,,,
Move 4,BITE,DRAGON_RUSH,MEGA_PUNCH,,,
Optional Move 1,CONFUSION,WING_ATTACK,POUND,,,
Optional Move 2,COPYCAT,RECYCLE,TAIL_WHIP,,,
Optional Move 3,BATON_PASS,WITHDRAW,COMET_PUNCH,,,
Optional Move 4,TAKE_DOWN,ASTONISH,LEER,,,
Optional Move 5,CHARM,GROWTH,GROWL,,,
Optional Move 6,DOUBLE_EDGE,TWISTER,FAKE_OUT,,,
Optional Move 7,HELPING_HAND,ACID_SPRAY,BITE,,,
Optional Move 8,TACKLE,ACROBATICS,STOMP,,,
Optional Move 9,GROWL,LEECH_SEED,RAGE,,,
Optional Move 10,TAIL_WHIP,PROTECT,HEADBUTT,,,
Optional Move 11,SAND_ATTACK,DRAGON_BREATH,DOUBLE_HIT,,,
Optional Move 12,QUICK_ATTACK,IRON_DEFENSE,CHIP_AWAY,,,
Optional Move 13,BABY_DOLL_EYES,FLY,DIZZY_PUNCH,,,
Optional Move 14,SWIFT,TOXIC,CRUNCH,,,
Optional Move 15,PSYBEAM,BULLET_SEED,SUCKER_PUNCH,,,
Optional Move 16,MORNING_SUN,HIDDEN_POWER,ENDURE,,,
Optional Move 17,PSYCH_UP,SUNNY_DAY,REVERSAL,,,
Optional Move 18,PSYCHIC,HYPER_BEAM,FORESIGHT,,,
Optional Move 19,POWER_SWAP,GIGA_DRAIN,SAFEGUARD,,,
Optional Move 20,CALM_MIND,FRUSTRATION,DISABLE,,,
Optional Move 21,ROAR,SOLAR_BEAM,COUNTER,,,
Optional Move 22,TOXIC,RETURN,CRUSH_CLAW,,,
Optional Move 23,HIDDEN_POWER,DOUBLE_TEAM,SUBSTITUTE,,,
Optional Move 24,SUNNY_DAY,AERIAL_ACE,DOUBLE_EDGE,,,
Optional Move 25,HYPER_BEAM,FACADE,ENDEAVOR,,,
Optional Move 26,LIGHT_SCREEN,SECRET_POWER,HAMMER_ARM,,,
Optional Move 27,PROTECT,REST,FOCUS_PUNCH,,,
Optional Move 28,RAIN_DANCE,ATTRACT,WATER_PULSE,,,
Optional Move 29,FRUSTRATION,ENERGY_BALL,ROAR,,,
Optional Move 30,IRON_TAIL,ENDURE,TOXIC,,,
Optional Move 31,RETURN,GIGA_IMPACT,HAIL,,,
Optional Move 32,DIG,SLEEP_TALK,HIDDEN_POWER,,,
Optional Move 33,SHADOW_BALL,GRASS_KNOT,SUNNY_DAY,,,
Optional Move 34,DOUBLE_TEAM,U_TURN,ICE_BEAM,,,
Optional Move 35,REFLECT,SUBSTITUTE,BLIZZARD,,,
Optional Move 36,FACADE,,HYPER_BEAM,,,
Optional Move 37,SECRET_POWER,,PROTECT,,,
Optional Move 38,REST,,RAIN_DANCE,,,
Optional Move 39,ATTRACT,,FRUSTRATION,,,
Optional Move 40,SKILL_SWAP,,SOLAR_BEAM,,,
Optional Move 41,ENDURE,,IRON_TAIL,,,
Optional Move 42,GIGA_IMPACT,,THUNDERBOLT,,,
Optional Move 43,FLASH,,THUNDER,,,
Optional Move 44,THUNDER_WAVE,,EARTHQUAKE,,,
Optional Move 45,CAPTIVATE,,RETURN,,,
Optional Move 46,SLEEP_TALK,,DIG,,,
Optional Move 47,NATURAL_GIFT,,SHADOW_BALL,,,
Optional Move 48,DREAM_EATER,,BRICK_BREAK,,,
Optional Move 49,GRASS_KNOT,,DOUBLE_TEAM,,,
Optional Move 50,SWAGGER,,SHOCK_WAVE,,,
Optional Move 51,SUBSTITUTE,,FLAMETHROWER,,,
Optional Move 52,TRICK_ROOM,,SANDSTORM,,,
Optional Move 53,,,FIRE_BLAST,,,
Optional Move 54,,,ROCK_TOMB,,,
Optional Move 55,,,AERIAL_ACE,,,
Optional Move 56,,,FACADE,,,
Optional Move 57,,,SECRET_POWER,,,
Optional Move 58,,,REST,,,
Optional Move 59,,,ATTRACT,,,
Optional Move 60,,,THIEF,,,
Optional Move 61,,,FOCUS_BLAST,,,
Optional Move 62,,,FLING,,,
Optional Move 63,,,DRAIN_PUNCH,,,
Optional Move 64,,,SHADOW_CLAW,,,
Optional Move 65,,,GIGA_IMPACT,,,
Optional Move 66,,,AVALANCHE,,,
Optional Move 67,,,CAPTIVATE,,,
Optional Move 68,,,ROCK_SLIDE,,,
Optional Move 69,,,SLEEP_TALK,,,
Optional Move 70,,,NATURAL_GIFT,,,
Optional Move 71,,,SWAGGER,,,
