Trainer 846,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,CORVIKNIGHT,APPLETUN,BOLTUND,CENTISKORCH,KLEAVOR,INTELEON
Level,75,75,75,75,75,75
Ability,PRESSURE,RIPEN,STRONG_JAW,FLASH_FIRE,SWARM,TORRENT
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,DRILL_PECK,ENERGY_BALL,PLAY_ROUGH,BURN_UP,X_SCISSOR,HYDRO_PUMP
Move 2,IRON_DEFENSE,DRAGON_PULSE,CHARGE,CRUNCH,DOUBLE_TEAM,SOAK
Move 3,STEEL_WING,IRON_DEFENSE,CRUNCH,INFERNO,ROCK_SLIDE,U_TURN
Move 4,PLUCK,APPLE_ACID,SPARK,LUNGE,SLASH,SNIPE_SHOT
Optional Move 1,METAL_SOUND,HEADBUTT,ELECTRIFY,EMBER,STONE_AXE,ACROBATICS
Optional Move 2,PECK,RECYCLE,TACKLE,SMOKESCREEN,LEER,POUND
Optional Move 3,LEER,WITHDRAW,TAIL_WHIP,WRAP,QUICK_ATTACK,GROWL
Optional Move 4,POWER_TRIP,ASTONISH,NUZZLE,BITE,FURY_CUTTER,WATER_GUN
Optional Move 5,HONE_CLAWS,GROWTH,BITE,FLAME_WHEEL,FALSE_SWIPE,BIND
Optional Move 6,FURY_ATTACK,SWEET_SCENT,ROAR,BUG_BITE,SMACK_DOWN,WATER_PULSE
Optional Move 7,TAUNT,CURSE,CHARM,COIL,DOUBLE_HIT,TEARFUL_LOOK
Optional Move 8,SCARY_FACE,STOMP,WILD_CHARGE,SLAM,FOCUS_ENERGY,SUCKER_PUNCH
Optional Move 9,SWAGGER,LEECH_SEED,ELECTRIC_TERRAIN,FIRE_SPIN,AGILITY,LIQUIDATION
Optional Move 10,BRAVE_BIRD,PROTECT,TOXIC,FIRE_LASH,SWORDS_DANCE,RAIN_DANCE
Optional Move 11,TOXIC,BULLET_SEED,HIDDEN_POWER,TOXIC,CALM_MIND,TOXIC
Optional Move 12,BULK_UP,RECOVER,HYPER_BEAM,HIDDEN_POWER,TOXIC,HIDDEN_POWER
Optional Move 13,HIDDEN_POWER,BODY_SLAM,PROTECT,SUNNY_DAY,HIDDEN_POWER,TAUNT
Optional Move 14,SUNNY_DAY,TOXIC,FRUSTRATION,HYPER_BEAM,SUNNY_DAY,ICE_BEAM
Optional Move 15,HYPER_BEAM,HIDDEN_POWER,THUNDERBOLT,PROTECT,HYPER_BEAM,BLIZZARD
Optional Move 16,LIGHT_SCREEN,SUNNY_DAY,THUNDER,FRUSTRATION,LIGHT_SCREEN,HYPER_BEAM
Optional Move 17,PROTECT,HYPER_BEAM,RETURN,SOLAR_BEAM,PROTECT,LIGHT_SCREEN
Optional Move 18,RAIN_DANCE,LIGHT_SCREEN,DIG,RETURN,RAIN_DANCE,PROTECT
Optional Move 19,FRUSTRATION,RAIN_DANCE,DOUBLE_TEAM,DOUBLE_TEAM,FRUSTRATION,SAFEGUARD
Optional Move 20,RETURN,GIGA_DRAIN,FACADE,FLAMETHROWER,RETURN,FRUSTRATION
Optional Move 21,DOUBLE_TEAM,SAFEGUARD,SECRET_POWER,FIRE_BLAST,BRICK_BREAK,RETURN
Optional Move 22,REFLECT,FRUSTRATION,REST,FACADE,SANDSTORM,SHADOW_BALL
Optional Move 23,AERIAL_ACE,SOLAR_BEAM,ATTRACT,SECRET_POWER,ROCK_TOMB,DOUBLE_TEAM
Optional Move 24,FACADE,EARTHQUAKE,ENDURE,REST,AERIAL_ACE,REFLECT
Optional Move 25,SECRET_POWER,RETURN,GIGA_IMPACT,ATTRACT,FACADE,FACADE
Optional Move 26,REST,DOUBLE_TEAM,THUNDER_WAVE,OVERHEAT,SECRET_POWER,SECRET_POWER
Optional Move 27,ATTRACT,REFLECT,SLEEP_TALK,ENDURE,REST,REST
Optional Move 28,THIEF,FACADE,SUBSTITUTE,WILL_O_WISP,ATTRACT,ATTRACT
Optional Move 29,ENDURE,SECRET_POWER,,GIGA_IMPACT,THIEF,FLING
Optional Move 30,PAYBACK,REST,,X_SCISSOR,ENDURE,ENDURE
Optional Move 31,GIGA_IMPACT,ATTRACT,,SLEEP_TALK,SILVER_WIND,GIGA_IMPACT
Optional Move 32,SLEEP_TALK,ENDURE,,SUBSTITUTE,GIGA_IMPACT,SWORDS_DANCE
Optional Move 33,U_TURN,PAYBACK,,,STONE_EDGE,PSYCH_UP
Optional Move 34,SUBSTITUTE,GIGA_IMPACT,,,STEALTH_ROCK,DARK_PULSE
Optional Move 35,FLASH_CANNON,GYRO_BALL,,,SLEEP_TALK,SLEEP_TALK
Optional Move 36,,SLEEP_TALK,,,U_TURN,SUBSTITUTE
Optional Move 37,,GRASS_KNOT,,,SUBSTITUTE,
Optional Move 38,,SUBSTITUTE,,,,
