Trainer 855,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,STOUTLAND,SCOLIPEDE,DARMANITAN,KROOKODILE,HAXORUS,SERPERIOR
Level,75,75,75,75,75,75
Ability,INTIMIDATE,POISON_POINT,SHEER_FORCE,INTIMIDATE,RIVALRY,OVERGROW
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,LAST_RESORT,MEGAHORN,FIRE_PUNCH,THRASH,OUTRAGE,LEAF_BLADE
Move 2,PLAY_ROUGH,ROCK_CLIMB,THRASH,HONE_CLAWS,DRAGON_CLAW,COIL
Move 3,WORK_UP,STEAMROLLER,SUPERPOWER,OUTRAGE,DRAGON_DANCE,GIGA_DRAIN
Move 4,CRUNCH,VENOSHOCK,SWAGGER,FOUL_PLAY,DRAGON_PULSE,SLAM
Optional Move 1,ICE_FANG,BATON_PASS,HAMMER_ARM,POWER_TRIP,SCRATCH,TACKLE
Optional Move 2,FIRE_FANG,IRON_DEFENSE,EMBER,LEER,LEER,LEER
Optional Move 3,THUNDER_FANG,POISON_STING,TACKLE,SAND_ATTACK,BITE,VINE_WHIP
Optional Move 4,TACKLE,DEFENSE_CURL,TAUNT,RAGE,FALSE_SWIPE,WRAP
Optional Move 5,LEER,ROLLOUT,BITE,BITE,ASSURANCE,GROWTH
Optional Move 6,BITE,PROTECT,ROLLOUT,SAND_TOMB,DRAGON_RAGE,LEAF_TORNADO
Optional Move 7,ODOR_SLEUTH,SCREECH,INCINERATE,TORMENT,SLASH,LEECH_SEED
Optional Move 8,BABY_DOLL_EYES,PURSUIT,RAGE,ASSURANCE,SCARY_FACE,MEGA_DRAIN
Optional Move 9,RETALIATE,POISON_TAIL,FIRE_FANG,MUD_SLAP,DUAL_CHOP,WRING_OUT
Optional Move 10,TAKE_DOWN,BUG_BITE,HEADBUTT,EMBARGO,TAUNT,GASTRO_ACID
Optional Move 11,HELPING_HAND,TAKE_DOWN,FACADE,SCARY_FACE,CRUNCH,LEAF_STORM
Optional Move 12,ROAR,AGILITY,WORK_UP,SWAGGER,LASER_FOCUS,CALM_MIND
Optional Move 13,REVERSAL,TOXIC,UPROAR,DIG,SWORDS_DANCE,TOXIC
Optional Move 14,GIGA_IMPACT,VENOM_DRENCH,BELLY_DRUM,CRUNCH,GUILLOTINE,BULLET_SEED
Optional Move 15,TOXIC,DOUBLE_EDGE,FLARE_BLITZ,SANDSTORM,GIGA_IMPACT,HIDDEN_POWER
Optional Move 16,HIDDEN_POWER,HIDDEN_POWER,OVERHEAT,EARTHQUAKE,ROAR,SUNNY_DAY
Optional Move 17,SUNNY_DAY,SUNNY_DAY,FOCUS_PUNCH,FOCUS_PUNCH,TOXIC,TAUNT
Optional Move 18,HYPER_BEAM,HYPER_BEAM,ROAR,DRAGON_CLAW,HIDDEN_POWER,HYPER_BEAM
Optional Move 19,PROTECT,FRUSTRATION,TOXIC,ROAR,SUNNY_DAY,LIGHT_SCREEN
Optional Move 20,RAIN_DANCE,SOLAR_BEAM,BULK_UP,TOXIC,HYPER_BEAM,PROTECT
Optional Move 21,FRUSTRATION,IRON_TAIL,HIDDEN_POWER,BULK_UP,PROTECT,SAFEGUARD
Optional Move 22,THUNDERBOLT,EARTHQUAKE,SUNNY_DAY,HIDDEN_POWER,RAIN_DANCE,FRUSTRATION
Optional Move 23,THUNDER,RETURN,HYPER_BEAM,TAUNT,FRUSTRATION,SOLAR_BEAM
Optional Move 24,RETURN,DIG,PROTECT,HYPER_BEAM,IRON_TAIL,RETURN
