Trainer 859,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MINUN,AGGRON,BRELOOM,SLAKING,TORKOAL,SWAMPERT
Level,75,75,75,75,75,75
Ability,MINUS,STURDY,EFFECT_SPORE,TRUANT,WHITE_SMOKE,SWIFT_SWIM
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,DISCHARGE,IRON_HEAD,SKY_UPPERCUT,COVET,ERUPTION,HYDRO_PUMP
Move 2,CHARGE,IRON_DEFENSE,LEECH_SEED,CHIP_AWAY,BODY_SLAM,SURF
Move 3,THUNDER,IRON_TAIL,DYNAMIC_PUNCH,SWAGGER,INFERNO,EARTHQUAKE
Move 4,SPARK,ROCK_SLIDE,SEED_BOMB,AMNESIA,IRON_DEFENSE,AMNESIA
Optional Move 1,NUZZLE,TACKLE,MACH_PUNCH,HAMMER_ARM,SMOG,MUD_SHOT
Optional Move 2,PLAY_NICE,HARDEN,ABSORB,PUNISHMENT,EMBER,HAMMER_ARM
Optional Move 3,GROWL,METAL_CLAW,TACKLE,FLING,WITHDRAW,TACKLE
Optional Move 4,THUNDER_WAVE,ROCK_TOMB,STUN_SPORE,SCRATCH,RAPID_SPIN,GROWL
Optional Move 5,QUICK_ATTACK,MUD_SLAP,MEGA_DRAIN,YAWN,SMOKESCREEN,WATER_GUN
Optional Move 6,HELPING_HAND,HEADBUTT,HEADBUTT,ENCORE,FIRE_SPIN,ROCK_SMASH
Optional Move 7,ENCORE,ROAR,FEINT,SLACK_OFF,CLEAR_SMOG,MUD_SLAP
Optional Move 8,SWITCHEROO,PROTECT,COUNTER,FEINT_ATTACK,FLAME_WHEEL,ROCK_THROW
Optional Move 9,SWIFT,METAL_SOUND,FORCE_PALM,COUNTER,PROTECT,FORESIGHT
Optional Move 10,ELECTRO_BALL,TAKE_DOWN,MIND_READER,FLAIL,LAVA_PLUME,SUPERSONIC
Optional Move 11,COPYCAT,AUTOTOMIZE,FOCUS_PUNCH,FOCUS_PUNCH,CURSE,BIDE
Optional Move 12,FAKE_TEARS,DOUBLE_EDGE,TOXIC,ROAR,FLAMETHROWER,WATER_PULSE
Optional Move 13,BATON_PASS,HEAVY_SLAM,BULK_UP,TOXIC,FLAIL,PROTECT
Optional Move 14,AGILITY,FOCUS_PUNCH,BULLET_SEED,BULK_UP,HEAT_WAVE,MUD_BOMB
Optional Move 15,TRUMP_CARD,DRAGON_CLAW,HIDDEN_POWER,HIDDEN_POWER,AMNESIA,ROCK_SLIDE
Optional Move 16,NASTY_PLOT,WATER_PULSE,SUNNY_DAY,SUNNY_DAY,SHELL_SMASH,TAKE_DOWN
Optional Move 17,ENTRAINMENT,TOXIC,HYPER_BEAM,TAUNT,ENDURE,MUDDY_WATER
Optional Move 18,SUBSTITUTE,HIDDEN_POWER,PROTECT,ICE_BEAM,SLEEP_TALK,SCREECH
Optional Move 19,WISH,SUNNY_DAY,RAIN_DANCE,BLIZZARD,YAWN,ENDEAVOR
Optional Move 20,SING,TAUNT,GIGA_DRAIN,HYPER_BEAM,EARTHQUAKE,FOCUS_PUNCH
Optional Move 21,SWEET_KISS,ICE_BEAM,SAFEGUARD,PROTECT,FISSURE,ROAR
Optional Move 22,TOXIC,BLIZZARD,FRUSTRATION,RAIN_DANCE,SKULL_BASH,TOXIC
Optional Move 23,HIDDEN_POWER,HYPER_BEAM,SOLAR_BEAM,FRUSTRATION,TOXIC,HAIL
Optional Move 24,LIGHT_SCREEN,RAIN_DANCE,IRON_TAIL,SOLAR_BEAM,HIDDEN_POWER,BULK_UP
Optional Move 25,PROTECT,FRUSTRATION,RETURN,THUNDERBOLT,SUNNY_DAY,HIDDEN_POWER
Optional Move 26,RAIN_DANCE,SOLAR_BEAM,DIG,THUNDER,HYPER_BEAM,ICE_BEAM
Optional Move 27,FRUSTRATION,THUNDERBOLT,BRICK_BREAK,EARTHQUAKE,FRUSTRATION,BLIZZARD
Optional Move 28,IRON_TAIL,THUNDER,DOUBLE_TEAM,RETURN,SOLAR_BEAM,HYPER_BEAM
Optional Move 29,THUNDERBOLT,EARTHQUAKE,SLUDGE_BOMB,DIG,IRON_TAIL,RAIN_DANCE
Optional Move 30,RETURN,RETURN,ROCK_TOMB,SHADOW_BALL,RETURN,FRUSTRATION
Optional Move 31,DOUBLE_TEAM,DIG,AERIAL_ACE,BRICK_BREAK,DOUBLE_TEAM,IRON_TAIL
Optional Move 32,SHOCK_WAVE,BRICK_BREAK,FACADE,DOUBLE_TEAM,SLUDGE_BOMB,RETURN
Optional Move 33,FACADE,DOUBLE_TEAM,SECRET_POWER,SHOCK_WAVE,SANDSTORM,DIG
Optional Move 34,SECRET_POWER,SHOCK_WAVE,REST,FLAMETHROWER,FIRE_BLAST,BRICK_BREAK
Optional Move 35,REST,FLAMETHROWER,ATTRACT,FIRE_BLAST,ROCK_TOMB,DOUBLE_TEAM
Optional Move 36,ATTRACT,SANDSTORM,SNATCH,ROCK_TOMB,FACADE,ROCK_TOMB
Optional Move 37,FLING,FIRE_BLAST,FOCUS_BLAST,AERIAL_ACE,SECRET_POWER,FACADE
Optional Move 38,CHARGE_BEAM,AERIAL_ACE,ENERGY_BALL,FACADE,REST,SECRET_POWER
Optional Move 39,ENDURE,FACADE,FALSE_SWIPE,SECRET_POWER,ATTRACT,REST
Optional Move 40,FLASH,SECRET_POWER,FLING,REST,OVERHEAT,ATTRACT
Optional Move 41,CAPTIVATE,REST,ENDURE,ATTRACT,WILL_O_WISP,FOCUS_BLAST
Optional Move 42,SLEEP_TALK,ATTRACT,DRAIN_PUNCH,THIEF,EXPLOSION,FLING
Optional Move 43,NATURAL_GIFT,FOCUS_BLAST,GIGA_IMPACT,FOCUS_BLAST,GIGA_IMPACT,ENDURE
Optional Move 44,GRASS_KNOT,FLING,FLASH,FALSE_SWIPE,STONE_EDGE,GIGA_IMPACT
Optional Move 45,SWAGGER,ENDURE,STONE_EDGE,ENDURE,GYRO_BALL,STONE_EDGE
Optional Move 46,,DRAGON_PULSE,SWORDS_DANCE,DRAIN_PUNCH,STEALTH_ROCK,AVALANCHE
Optional Move 47,,SHADOW_CLAW,CAPTIVATE,SHADOW_CLAW,CAPTIVATE,STEALTH_ROCK
Optional Move 48,,PAYBACK,ROCK_SLIDE,GIGA_IMPACT,ROCK_SLIDE,CAPTIVATE
Optional Move 49,,GIGA_IMPACT,SLEEP_TALK,THUNDER_WAVE,NATURAL_GIFT,SLEEP_TALK
Optional Move 50,,ROCK_POLISH,NATURAL_GIFT,CAPTIVATE,SWAGGER,NATURAL_GIFT
Optional Move 51,,STONE_EDGE,POISON_JAB,ROCK_SLIDE,SUBSTITUTE,POISON_JAB
Optional Move 52,,AVALANCHE,GRASS_KNOT,X_SCISSOR,,SWAGGER
