Trainer 880,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,REGISTEEL,GRIMMSNARL,URSALUNA,HOOPA,TORNADUS,SCEPTILE
Level,78,78,78,78,78,78
Ability,CLEAR_BODY,PRANKSTER,MINDS_EYE,MAGICIAN,REGENERATOR,LIGHTNING_ROD
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,FLASH_CANNON,FOUL_PLAY,BLOOD_MOON,PSYCHIC,BLEAKWIND_STORM,ENERGY_BALL
Move 2,IRON_DEFENSE,PLAY_ROUGH,MOONBLAST,SHADOW_BALL,THRASH,X_SCISSOR
Move 3,BULLDOZE,NASTY_PLOT,HAMMER_ARM,NASTY_PLOT,SWAGGER,AGILITY
Move 4,ZAP_CANNON,HAMMER_ARM,HEADLONG_RUSH,PHANTOM_FORCE,HAMMER_ARM,DUAL_CHOP
Optional Move 1,CHARGE_BEAM,SPIRIT_BREAK,MOONLIGHT,HYPERSPACE_HOLE,ASTONISH,FURY_CUTTER
Optional Move 2,METAL_CLAW,FALSE_SURRENDER,COVET,TRICK,GUST,FALSE_SWIPE
Optional Move 3,EXPLOSION,BULK_UP,FAKE_TEARS,DESTINY_BOND,LEER,POUND
Optional Move 4,STOMP,POWER_UP_PUNCH,LEER,ALLY_SWITCH,BITE,LEER
Optional Move 5,ANCIENT_POWER,FAKE_OUT,LICK,CONFUSION,AIR_CUTTER,LEAFAGE
Optional Move 6,CURSE,CONFIDE,SCRATCH,ASTONISH,AGILITY,QUICK_ATTACK
Optional Move 7,IRON_HEAD,BITE,FURY_SWIPES,MAGIC_COAT,TAILWIND,LEAF_STORM
Optional Move 8,AMNESIA,FLATTER,PAYBACK,LIGHT_SCREEN,AIR_SLASH,NIGHT_SLASH
Optional Move 9,HAMMER_ARM,FAKE_TEARS,SWEET_SCENT,PSYBEAM,CRUNCH,ABSORB
Optional Move 10,HEAVY_SLAM,ASSURANCE,SLASH,SKILL_SWAP,EXTRASENSORY,MEGA_DRAIN
Optional Move 11,SUPERPOWER,SWAGGER,PLAY_NICE,POWER_SPLIT,UPROAR,PURSUIT
Optional Move 12,LOCK_ON,SUCKER_PUNCH,PLAY_ROUGH,GUARD_SPLIT,RAIN_DANCE,ASSURANCE
Optional Move 13,HYPER_BEAM,TORMENT,SCARY_FACE,ZEN_HEADBUTT,HURRICANE,DETECT
Optional Move 14,FOCUS_PUNCH,DARK_PULSE,REST,WONDER_ROOM,TOXIC,GIGA_DRAIN
Optional Move 15,TOXIC,FOCUS_PUNCH,SNORE,TRICK_ROOM,BULK_UP,SLAM
Optional Move 16,HIDDEN_POWER,TOXIC,HIGH_HORSEPOWER,FOCUS_PUNCH,HIDDEN_POWER,LEAF_BLADE
Optional Move 17,SUNNY_DAY,HIDDEN_POWER,THRASH,CALM_MIND,SUNNY_DAY,QUICK_GUARD
Optional Move 18,PROTECT,TAUNT,FOCUS_PUNCH,TOXIC,TAUNT,DOUBLE_TEAM
Optional Move 19,RAIN_DANCE,HYPER_BEAM,ROAR,HIDDEN_POWER,HYPER_BEAM,ENDEAVOR
Optional Move 20,SAFEGUARD,LIGHT_SCREEN,TOXIC,SUNNY_DAY,PROTECT,SCREECH
Optional Move 21,FRUSTRATION,PROTECT,BULK_UP,TAUNT,FRUSTRATION,FOCUS_PUNCH
Optional Move 22,THUNDERBOLT,FRUSTRATION,HIDDEN_POWER,HYPER_BEAM,IRON_TAIL,DRAGON_CLAW
Optional Move 23,THUNDER,RETURN,SUNNY_DAY,PROTECT,RETURN,ROAR
Optional Move 24,EARTHQUAKE,BRICK_BREAK,TAUNT,RAIN_DANCE,PSYCHIC,TOXIC
Optional Move 25,RETURN,DOUBLE_TEAM,HYPER_BEAM,SAFEGUARD,BRICK_BREAK,BULLET_SEED
Optional Move 26,BRICK_BREAK,REFLECT,PROTECT,FRUSTRATION,DOUBLE_TEAM,HIDDEN_POWER
Optional Move 27,DOUBLE_TEAM,FACADE,RAIN_DANCE,THUNDERBOLT,SLUDGE_BOMB,SUNNY_DAY
Optional Move 28,SHOCK_WAVE,SECRET_POWER,FRUSTRATION,RETURN,SANDSTORM,HYPER_BEAM
Optional Move 29,SANDSTORM,REST,EARTHQUAKE,BRICK_BREAK,TORMENT,PROTECT
Optional Move 30,ROCK_TOMB,ATTRACT,RETURN,DOUBLE_TEAM,FACADE,SAFEGUARD
Optional Move 31,FACADE,THIEF,DIG,REFLECT,SECRET_POWER,FRUSTRATION
Optional Move 32,SECRET_POWER,FOCUS_BLAST,BRICK_BREAK,SHOCK_WAVE,REST,SOLAR_BEAM
Optional Move 33,REST,FLING,DOUBLE_TEAM,SANDSTORM,ATTRACT,IRON_TAIL
Optional Move 34,FOCUS_BLAST,ENDURE,ROCK_TOMB,ROCK_TOMB,THIEF,EARTHQUAKE
Optional Move 35,FLING,DRAIN_PUNCH,AERIAL_ACE,TORMENT,FOCUS_BLAST,RETURN
Optional Move 36,ENDURE,SHADOW_CLAW,FACADE,FACADE,FLING,DIG
Optional Move 37,SHADOW_CLAW,GIGA_IMPACT,SECRET_POWER,SECRET_POWER,ENDURE,BRICK_BREAK
Optional Move 38,GIGA_IMPACT,THUNDER_WAVE,ATTRACT,REST,EMBARGO,ROCK_TOMB
Optional Move 39,ROCK_POLISH,SLEEP_TALK,THIEF,THIEF,PAYBACK,AERIAL_ACE
Optional Move 40,THUNDER_WAVE,SUBSTITUTE,FLING,SNATCH,GIGA_IMPACT,FACADE
Optional Move 41,STEALTH_ROCK,,ENDURE,FOCUS_BLAST,DARK_PULSE,SECRET_POWER
Optional Move 42,ROCK_SLIDE,,DRAIN_PUNCH,ENERGY_BALL,SLEEP_TALK,REST
Optional Move 43,SLEEP_TALK,,SHADOW_CLAW,FLING,GRASS_KNOT,ATTRACT
Optional Move 44,NATURAL_GIFT,,GIGA_IMPACT,ENDURE,U_TURN,FOCUS_BLAST
Optional Move 45,SWAGGER,,STONE_EDGE,DRAIN_PUNCH,SUBSTITUTE,FLING
Optional Move 46,SUBSTITUTE,,AVALANCHE,EMBARGO,,ENDURE
Optional Move 47,,,SWORDS_DANCE,RECYCLE,,DRAGON_PULSE
Optional Move 48,,,ROCK_SLIDE,GIGA_IMPACT,,DRAIN_PUNCH
Optional Move 49,,,SLEEP_TALK,FLASH,,GIGA_IMPACT
Optional Move 50,,,SUBSTITUTE,THUNDER_WAVE,,FLASH
Optional Move 51,,,,PSYCH_UP,,SWORDS_DANCE
Optional Move 52,,,,DARK_PULSE,,CAPTIVATE
Optional Move 53,,,,SLEEP_TALK,,ROCK_SLIDE
Optional Move 54,,,,DREAM_EATER,,SLEEP_TALK
Optional Move 55,,,,GRASS_KNOT,,NATURAL_GIFT
Optional Move 56,,,,SWAGGER,,GRASS_KNOT
Optional Move 57,,,,SUBSTITUTE,,SWAGGER
Optional Move 58,,,,,,SUBSTITUTE
