Trainer 883,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,REGIGIGAS,CHIEN_PAO,BLACEPHALON,KORAIDON,ENAMORUS,AGGRON
Level,80,80,80,80,80,80
Ability,SLOW_START,SWORD_OF_RUIN,BEAST_BOOST,ORICHALCUM_PULSE,CUTE_CHARM,FILTER
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,MEGA_PUNCH,ICICLE_CRASH,MIND_BLOWN,OUTRAGE,OUTRAGE,IRON_HEAD
Move 2,BODY_PRESS,SACRED_SWORD,SHADOW_BALL,COLLISION_COURSE,SPRINGTIDE_STORM,ROCK_SLIDE
Move 3,KNOCK_OFF,SWORDS_DANCE,INCINERATE,FLAMETHROWER,SUPERPOWER,IRON_DEFENSE
Move 4,ZEN_HEADBUTT,THROAT_CHOP,CALM_MIND,AGILITY,IRON_DEFENSE,ROCK_TOMB
Optional Move 1,POUND,MEAN_LOOK,ASTONISH,BREAKING_SWIPE,ASTONISH,TACKLE
Optional Move 2,CONFUSE_RAY,POWDER_SNOW,FIRE_SPIN,SUNNY_DAY,FAIRY_WIND,HARDEN
Optional Move 3,HEAVY_SLAM,SPITE,EMBER,ROCK_SMASH,TORMENT,METAL_CLAW
Optional Move 4,CRUSH_GRIP,ICY_WIND,STORED_POWER,ANCIENT_POWER,FLATTER,MUD_SLAP
Optional Move 5,FIRE_PUNCH,PAYBACK,LIGHT_SCREEN,DRAIN_PUNCH,TWISTER,HEADBUTT
Optional Move 6,ICE_PUNCH,HAZE,MAGIC_COAT,BRICK_BREAK,DRAINING_KISS,ROAR
Optional Move 7,THUNDER_PUNCH,MIST,FLAME_BURST,DRAGON_CLAW,IMPRISON,PROTECT
Optional Move 8,DIZZY_PUNCH,ICE_SHARD,NIGHT_SHADE,SCREECH,MYSTICAL_FIRE,METAL_SOUND
Optional Move 9,FORESIGHT,SNOWSCAPE,CONFUSE_RAY,COUNTER,DAZZLING_GLEAM,TAKE_DOWN
Optional Move 10,REVENGE,NIGHT_SLASH,HYPNOSIS,FOCUS_PUNCH,EXTRASENSORY,IRON_TAIL
Optional Move 11,STOMP,DARK_PULSE,MYSTICAL_FIRE,ROAR,UPROAR,AUTOTOMIZE
Optional Move 12,PROTECT,RUINATION,FIRE_BLAST,TOXIC,HEALING_WISH,DOUBLE_EDGE
Optional Move 13,PAYBACK,SUCKER_PUNCH,TRICK,BULK_UP,MOONBLAST,HEAVY_SLAM
Optional Move 14,WIDE_GUARD,RECOVER,WILL_O_WISP,HIDDEN_POWER,CALM_MIND,METAL_BURST
Optional Move 15,HAMMER_ARM,SHEER_COLD,TOXIC,TAUNT,TOXIC,FOCUS_PUNCH
Optional Move 16,FOCUS_PUNCH,TOXIC,HIDDEN_POWER,HYPER_BEAM,HIDDEN_POWER,DRAGON_CLAW
Optional Move 17,TOXIC,HIDDEN_POWER,SUNNY_DAY,PROTECT,SUNNY_DAY,WATER_PULSE
Optional Move 18,HIDDEN_POWER,TAUNT,TAUNT,FRUSTRATION,TAUNT,TOXIC
Optional Move 19,SUNNY_DAY,BLIZZARD,HYPER_BEAM,SOLAR_BEAM,HYPER_BEAM,HIDDEN_POWER
Optional Move 20,HYPER_BEAM,HYPER_BEAM,PROTECT,RETURN,PROTECT,SUNNY_DAY
Optional Move 21,RAIN_DANCE,PROTECT,FRUSTRATION,DIG,RAIN_DANCE,TAUNT
Optional Move 22,SAFEGUARD,RAIN_DANCE,SOLAR_BEAM,DOUBLE_TEAM,FRUSTRATION,ICE_BEAM
Optional Move 23,FRUSTRATION,FRUSTRATION,RETURN,FIRE_BLAST,RETURN,BLIZZARD
Optional Move 24,THUNDERBOLT,RETURN,PSYCHIC,FACADE,PSYCHIC,HYPER_BEAM
Optional Move 25,THUNDER,BRICK_BREAK,DOUBLE_TEAM,SECRET_POWER,DOUBLE_TEAM,RAIN_DANCE
Optional Move 26,EARTHQUAKE,DOUBLE_TEAM,FLAMETHROWER,REST,SLUDGE_BOMB,FRUSTRATION
Optional Move 27,RETURN,FACADE,TORMENT,OVERHEAT,FACADE,SOLAR_BEAM
Optional Move 28,BRICK_BREAK,SECRET_POWER,FACADE,FOCUS_BLAST,SECRET_POWER,THUNDERBOLT
Optional Move 29,DOUBLE_TEAM,REST,SECRET_POWER,ENDURE,REST,THUNDER
Optional Move 30,SHOCK_WAVE,FALSE_SWIPE,REST,DRAGON_PULSE,ATTRACT,EARTHQUAKE
