Trainer 885,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,GROUDON,RAGING_BOLT,BLAZIKEN,NONE,NONE,NONE
Level,80,80,80,,,
Ability,DROUGHT,PROTOSYNTHESIS,SPEED_BOOST,,,
Held Item,NONE,NONE,NONE,,,
Move 1,PRECIPICE_BLADES,DRAGON_PULSE,HIGH_JUMP_KICK,,,
Move 2,FIRE_BLAST,DRAGON_HAMMER,BULK_UP,,,
Move 3,BULK_UP,CHARGE,BLAZE_KICK,,,
Move 4,SOLAR_BEAM,ZAP_CANNON,SKY_UPPERCUT,,,
Optional Move 1,MUD_SHOT,ANCIENT_POWER,DOUBLE_KICK,,,
Optional Move 2,ANCIENT_POWER,SHOCK_WAVE,FIRE_PUNCH,,,
Optional Move 3,LAVA_PLUME,STOMP,BRAVE_BIRD,,,
Optional Move 4,SCARY_FACE,SUNNY_DAY,FLAMETHROWER,,,
Optional Move 5,EARTH_POWER,TWISTER,FEATHER_DANCE,,,
Optional Move 6,EARTHQUAKE,DRAGON_BREATH,SCRATCH,,,
Optional Move 7,REST,ELECTRIC_TERRAIN,GROWL,,,
Optional Move 8,FISSURE,DISCHARGE,EMBER,,,
Optional Move 9,HAMMER_ARM,DRAGON_TAIL,QUICK_ATTACK,,,
Optional Move 10,FOCUS_PUNCH,CALM_MIND,FLARE_BLITZ,,,
Optional Move 11,DRAGON_CLAW,THUNDERCLAP,SAND_ATTACK,,,
Optional Move 12,ROAR,RISING_VOLTAGE,DETECT,,,
Optional Move 13,TOXIC,ROAR,FLAME_CHARGE,,,
Optional Move 14,HIDDEN_POWER,TOXIC,PECK,,,
Optional Move 15,SUNNY_DAY,HIDDEN_POWER,AERIAL_ACE,,,
Optional Move 16,HYPER_BEAM,TAUNT,BOUNCE,,,
Optional Move 17,PROTECT,HYPER_BEAM,SLASH,,,
Optional Move 18,SAFEGUARD,PROTECT,FOCUS_ENERGY,,,
Optional Move 19,FRUSTRATION,FRUSTRATION,REVERSAL,,,
Optional Move 20,IRON_TAIL,SOLAR_BEAM,FOCUS_PUNCH,,,
Optional Move 21,THUNDERBOLT,THUNDERBOLT,ROAR,,,
Optional Move 22,THUNDER,EARTHQUAKE,TOXIC,,,
Optional Move 23,RETURN,RETURN,HIDDEN_POWER,,,
Optional Move 24,DIG,DOUBLE_TEAM,SUNNY_DAY,,,
Optional Move 25,BRICK_BREAK,FACADE,HYPER_BEAM,,,
Optional Move 26,DOUBLE_TEAM,SECRET_POWER,PROTECT,,,
Optional Move 27,SHOCK_WAVE,REST,FRUSTRATION,,,
Optional Move 28,FLAMETHROWER,CHARGE_BEAM,SOLAR_BEAM,,,
Optional Move 29,SANDSTORM,ENDURE,EARTHQUAKE,,,
Optional Move 30,ROCK_TOMB,GIGA_IMPACT,RETURN,,,
Optional Move 31,AERIAL_ACE,THUNDER_WAVE,DIG,,,
Optional Move 32,FACADE,SLEEP_TALK,BRICK_BREAK,,,
Optional Move 33,SECRET_POWER,SUBSTITUTE,DOUBLE_TEAM,,,
Optional Move 34,OVERHEAT,,FIRE_BLAST,,,
Optional Move 35,FOCUS_BLAST,,ROCK_TOMB,,,
Optional Move 36,FLING,,FACADE,,,
Optional Move 37,ENDURE,,SECRET_POWER,,,
Optional Move 38,DRAGON_PULSE,,REST,,,
Optional Move 39,WILL_O_WISP,,ATTRACT,,,
Optional Move 40,SHADOW_CLAW,,THIEF,,,
Optional Move 41,GIGA_IMPACT,,OVERHEAT,,,
Optional Move 42,ROCK_POLISH,,FOCUS_BLAST,,,
Optional Move 43,STONE_EDGE,,FLING,,,
Optional Move 44,THUNDER_WAVE,,ENDURE,,,
Optional Move 45,SWORDS_DANCE,,WILL_O_WISP,,,
Optional Move 46,STEALTH_ROCK,,SHADOW_CLAW,,,
Optional Move 47,ROCK_SLIDE,,GIGA_IMPACT,,,
Optional Move 48,SLEEP_TALK,,STONE_EDGE,,,
Optional Move 49,NATURAL_GIFT,,SWORDS_DANCE,,,
Optional Move 50,SWAGGER,,CAPTIVATE,,,
Optional Move 51,SUBSTITUTE,,ROCK_SLIDE,,,
Optional Move 52,,,SLEEP_TALK,,,
Optional Move 53,,,NATURAL_GIFT,,,
Optional Move 54,,,POISON_JAB,,,
Optional Move 55,,,SWAGGER,,,
Optional Move 56,,,U_TURN,,,
Optional Move 57,,,SUBSTITUTE,,,
