Trainer 893,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,HATTERENE,EMPOLEON,GOGOAT,NOIVERN,LUXRAY,LOPUNNY
Level,74,74,74,74,74,74
Ability,HEALER,TORRENT,SAP_SIPPER,FRISK,RIVALRY,SCRAPPY
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,PSYCHIC,HYDRO_PUMP,LEAF_BLADE,DRAGON_PULSE,DISCHARGE,HIGH_JUMP_KICK
Move 2,DAZZLING_GLEAM,DRILL_PECK,EARTHQUAKE,BOOMBURST,CRUNCH,BOUNCE
Move 3,CALM_MIND,BUBBLE_BEAM,BULK_UP,DOUBLE_TEAM,CHARGE,JUMP_KICK
Move 4,PSYBEAM,METAL_CLAW,AERIAL_ACE,HURRICANE,SPARK,HEADBUTT
Optional Move 1,PSYCHO_CUT,AQUA_JET,TACKLE,MOONLIGHT,ELECTRIC_TERRAIN,RETURN
Optional Move 2,BRUTAL_SWING,TACKLE,GROWTH,ABSORB,TACKLE,MIRROR_COAT
Optional Move 3,CONFUSION,GROWL,VINE_WHIP,TACKLE,LEER,MAGIC_COAT
Optional Move 4,PLAY_NICE,BUBBLE,TAIL_WHIP,GUST,THUNDER_SHOCK,SPLASH
Optional Move 5,LIFE_DEW,SWORDS_DANCE,LEECH_SEED,SUPERSONIC,BITE,POUND
Optional Move 6,DISARMING_VOICE,PECK,RAZOR_LEAF,SCREECH,ROAR,DEFENSE_CURL
Optional Move 7,AROMATHERAPY,SWAGGER,WORRY_SEED,WING_ATTACK,VOLT_SWITCH,BABY_DOLL_EYES
Optional Move 8,HEAL_PULSE,FURY_ATTACK,SYNTHESIS,BITE,THUNDER_FANG,HEALING_WISH
Optional Move 9,HEALING_WISH,BRINE,TAKE_DOWN,AGILITY,SCARY_FACE,ROTOTILLER
Optional Move 10,MAGIC_POWDER,WHIRLPOOL,BULLDOZE,AIR_CUTTER,THUNDER_WAVE,FORESIGHT
Optional Move 11,TOXIC,MIST,SEED_BOMB,RAZOR_WIND,SWAGGER,ENDURE
Optional Move 12,HIDDEN_POWER,WATER_PULSE,DOUBLE_EDGE,WHIRLWIND,WILD_CHARGE,QUICK_ATTACK
Optional Move 13,HYPER_BEAM,ROAR,HORN_LEECH,ROOST,TOXIC,DOUBLE_KICK
Optional Move 14,LIGHT_SCREEN,TOXIC,MILK_DRINK,SUPER_FANG,HIDDEN_POWER,AFTER_YOU
Optional Move 15,PROTECT,HAIL,ROAR,AIR_SLASH,SUNNY_DAY,BATON_PASS
Optional Move 16,GIGA_DRAIN,HIDDEN_POWER,TOXIC,TAILWIND,HYPER_BEAM,CHARM
Optional Move 17,SAFEGUARD,ICE_BEAM,BULLET_SEED,DRAGON_CLAW,LIGHT_SCREEN,AGILITY
Optional Move 18,FRUSTRATION,BLIZZARD,HIDDEN_POWER,WATER_PULSE,PROTECT,DIZZY_PUNCH
Optional Move 19,RETURN,HYPER_BEAM,SUNNY_DAY,TOXIC,RAIN_DANCE,FLATTER
Optional Move 20,SHADOW_BALL,PROTECT,HYPER_BEAM,HIDDEN_POWER,FRUSTRATION,ENTRAINMENT
Optional Move 21,DOUBLE_TEAM,RAIN_DANCE,PROTECT,SUNNY_DAY,IRON_TAIL,FOCUS_PUNCH
Optional Move 22,REFLECT,FRUSTRATION,RAIN_DANCE,TAUNT,THUNDERBOLT,WATER_PULSE
Optional Move 23,FACADE,EARTHQUAKE,GIGA_DRAIN,HYPER_BEAM,THUNDER,TOXIC
Optional Move 24,SECRET_POWER,RETURN,FRUSTRATION,PROTECT,RETURN,HIDDEN_POWER
Optional Move 25,REST,BRICK_BREAK,SOLAR_BEAM,FRUSTRATION,DOUBLE_TEAM,SUNNY_DAY
Optional Move 26,ATTRACT,DOUBLE_TEAM,IRON_TAIL,SOLAR_BEAM,SHOCK_WAVE,ICE_BEAM
Optional Move 27,SKILL_SWAP,ROCK_TOMB,RETURN,IRON_TAIL,FACADE,BLIZZARD
Optional Move 28,ENDURE,AERIAL_ACE,DIG,RETURN,SECRET_POWER,HYPER_BEAM
Optional Move 29,SHADOW_CLAW,FACADE,BRICK_BREAK,PSYCHIC,REST,PROTECT
Optional Move 30,GIGA_IMPACT,SECRET_POWER,DOUBLE_TEAM,SHADOW_BALL,ATTRACT,RAIN_DANCE
Optional Move 31,THUNDER_WAVE,REST,FACADE,BRICK_BREAK,THIEF,FRUSTRATION
Optional Move 32,SWORDS_DANCE,ATTRACT,SECRET_POWER,FLAMETHROWER,CHARGE_BEAM,SOLAR_BEAM
Optional Move 33,PSYCH_UP,STEEL_WING,REST,AERIAL_ACE,ENDURE,IRON_TAIL
Optional Move 34,DARK_PULSE,ROOST,ATTRACT,TORMENT,GIGA_IMPACT,THUNDERBOLT
Optional Move 35,SLEEP_TALK,FALSE_SWIPE,ENERGY_BALL,FACADE,FLASH,THUNDER
Optional Move 36,SUBSTITUTE,FLING,ENDURE,SECRET_POWER,CAPTIVATE,DIG
Optional Move 37,TRICK_ROOM,ENDURE,PAYBACK,REST,SLEEP_TALK,SHADOW_BALL
Optional Move 38,,SHADOW_CLAW,GIGA_IMPACT,ATTRACT,NATURAL_GIFT,DOUBLE_TEAM
Optional Move 39,,GIGA_IMPACT,ROCK_SLIDE,THIEF,SUBSTITUTE,SHOCK_WAVE
Optional Move 40,,AVALANCHE,SLEEP_TALK,STEEL_WING,,FACADE
Optional Move 41,,STEALTH_ROCK,GRASS_KNOT,SNATCH,,SECRET_POWER
Optional Move 42,,PSYCH_UP,SWAGGER,FOCUS_BLAST,,REST
Optional Move 43,,CAPTIVATE,SUBSTITUTE,ENDURE,,ATTRACT
Optional Move 44,,ROCK_SLIDE,,SHADOW_CLAW,,FOCUS_BLAST
Optional Move 45,,SLEEP_TALK,,GIGA_IMPACT,,FLING
Optional Move 46,,NATURAL_GIFT,,DARK_PULSE,,CHARGE_BEAM
Optional Move 47,,GRASS_KNOT,,X_SCISSOR,,DRAIN_PUNCH
Optional Move 48,,PLUCK,,SLEEP_TALK,,PAYBACK
Optional Move 49,,SUBSTITUTE,,DREAM_EATER,,GIGA_IMPACT
Optional Move 50,,FLASH_CANNON,,SWAGGER,,THUNDER_WAVE
Optional Move 51,,,,U_TURN,,CAPTIVATE
Optional Move 52,,,,SUBSTITUTE,,SLEEP_TALK
Optional Move 53,,,,,,NATURAL_GIFT
Optional Move 54,,,,,,GRASS_KNOT
Optional Move 55,,,,,,SWAGGER
Optional Move 56,,,,,,U_TURN
