Trainer 900,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,TOGEKISS,SNORLAX,ELECTIVIRE,TSAREENA,LATIOS,GALLADE
Level,76,76,76,76,76,76
Ability,HUSTLE,IMMUNITY,MOTOR_DRIVE,LEAF_GUARD,LEVITATE,INNER_FOCUS
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,AIR_SLASH,LAST_RESORT,THUNDERBOLT,POWER_WHIP,LUSTER_PURGE,FUTURE_SIGHT
Move 2,LAST_RESORT,BELCH,FIRE_PUNCH,HIGH_JUMP_KICK,DRAGON_PULSE,LEAF_BLADE
Move 3,FAIRY_WIND,STOCKPILE,CHARGE,TROP_KICK,DRAGON_DANCE,NIGHT_SLASH
Move 4,AURA_SPHERE,AMNESIA,THUNDER,SWAGGER,DRAGON_BREATH,CLOSE_COMBAT
Optional Move 1,SKY_ATTACK,RECYCLE,QUICK_ATTACK,FLAIL,STORED_POWER,SLASH
Optional Move 2,EXTREME_SPEED,COVET,LEER,PLAY_NICE,MEMENTO,GROWL
Optional Move 3,TRI_ATTACK,SWALLOW,THUNDER_SHOCK,SPLASH,HELPING_HAND,DISARMING_VOICE
Optional Move 4,CHARM,SCREECH,ELECTRIC_TERRAIN,RAPID_SPIN,HEAL_BLOCK,HYPNOSIS
Optional Move 5,ANCIENT_POWER,FLING,ION_DELUGE,RAZOR_LEAF,PSYWAVE,DRAINING_KISS
Optional Move 6,YAWN,METRONOME,LOW_KICK,PUNISHMENT,SAFEGUARD,IMPRISON
Optional Move 7,METRONOME,FLAIL,SWIFT,DOUBLE_SLAP,PROTECT,PSYBEAM
Optional Move 8,AFTER_YOU,LICK,SHOCK_WAVE,SWEET_SCENT,REFRESH,LIFE_DEW
Optional Move 9,DOUBLE_EDGE,TACKLE,THUNDER_WAVE,MAGICAL_LEAF,CONFUSION,CHARM
Optional Move 10,SAFEGUARD,DEFENSE_CURL,ELECTRO_BALL,STOMP,RECOVER,CALM_MIND
Optional Move 11,FOLLOW_ME,BLOCK,THUNDER_PUNCH,TEETER_DANCE,TAILWIND,PSYCHIC
Optional Move 12,BATON_PASS,YAWN,SCREECH,AROMATIC_MIST,ALLY_SWITCH,DREAM_EATER
Optional Move 13,WISH,BITE,DISCHARGE,CAPTIVATE,HEAL_PULSE,LEER
Optional Move 14,GROWL,CHIP_AWAY,LIGHT_SCREEN,AROMATHERAPY,TELEKINESIS,FURY_CUTTER
Optional Move 15,POUND,REST,GIGA_IMPACT,LEAF_STORM,ZEN_HEADBUTT,DOUBLE_TEAM
Optional Move 16,SWEET_KISS,SNORE,FOCUS_PUNCH,TOXIC,PSYCHO_SHIFT,CONFUSION
Optional Move 17,LIFE_DEW,SLEEP_TALK,TOXIC,BULLET_SEED,SIMPLE_BEAM,STORED_POWER
Optional Move 18,FOCUS_PUNCH,BODY_SLAM,BULK_UP,HIDDEN_POWER,PSYCHIC,TELEPORT
Optional Move 19,WATER_PULSE,CRUNCH,HIDDEN_POWER,SUNNY_DAY,POWER_SPLIT,AERIAL_ACE
Optional Move 20,TOXIC,ROLLOUT,TAUNT,TAUNT,DRAGON_CLAW,HELPING_HAND
Optional Move 21,HIDDEN_POWER,HEAVY_SLAM,HYPER_BEAM,HYPER_BEAM,WATER_PULSE,FEINT
Optional Move 22,SUNNY_DAY,HAMMER_ARM,PROTECT,LIGHT_SCREEN,CALM_MIND,SWORDS_DANCE
Optional Move 23,HYPER_BEAM,BELLY_DRUM,RAIN_DANCE,PROTECT,ROAR,FALSE_SWIPE
Optional Move 24,LIGHT_SCREEN,GIGA_IMPACT,FRUSTRATION,GIGA_DRAIN,TOXIC,HEAL_PULSE
Optional Move 25,PROTECT,HIGH_HORSEPOWER,IRON_TAIL,SAFEGUARD,HIDDEN_POWER,QUICK_GUARD
Optional Move 26,RAIN_DANCE,CHARM,EARTHQUAKE,FRUSTRATION,SUNNY_DAY,PSYCHO_CUT
Optional Move 27,FRUSTRATION,DOUBLE_EDGE,RETURN,SOLAR_BEAM,ICE_BEAM,PROTECT
Optional Move 28,SOLAR_BEAM,CURSE,DIG,RETURN,HYPER_BEAM,WIDE_GUARD
Optional Move 29,RETURN,FISSURE,PSYCHIC,DOUBLE_TEAM,LIGHT_SCREEN,FOCUS_PUNCH
Optional Move 30,PSYCHIC,SUBSTITUTE,BRICK_BREAK,REFLECT,RAIN_DANCE,TOXIC
Optional Move 31,SHADOW_BALL,WHIRLWIND,DOUBLE_TEAM,FACADE,FRUSTRATION,BULK_UP
Optional Move 32,BRICK_BREAK,PURSUIT,REFLECT,SECRET_POWER,SOLAR_BEAM,HIDDEN_POWER
Optional Move 33,DOUBLE_TEAM,COUNTER,FLAMETHROWER,REST,THUNDERBOLT,SUNNY_DAY
Optional Move 34,REFLECT,FOCUS_PUNCH,FIRE_BLAST,ATTRACT,THUNDER,TAUNT
Optional Move 35,SHOCK_WAVE,WATER_PULSE,ROCK_TOMB,ENERGY_BALL,EARTHQUAKE,HYPER_BEAM
Optional Move 36,FLAMETHROWER,TOXIC,TORMENT,FLING,RETURN,LIGHT_SCREEN
Optional Move 37,FIRE_BLAST,HIDDEN_POWER,FACADE,ENDURE,SHADOW_BALL,RAIN_DANCE
Optional Move 38,AERIAL_ACE,SUNNY_DAY,SECRET_POWER,GIGA_IMPACT,DOUBLE_TEAM,SAFEGUARD
Optional Move 39,FACADE,ICE_BEAM,REST,SLEEP_TALK,REFLECT,FRUSTRATION
Optional Move 40,SECRET_POWER,BLIZZARD,ATTRACT,GRASS_KNOT,SHOCK_WAVE,THUNDERBOLT
Optional Move 41,REST,HYPER_BEAM,THIEF,U_TURN,SANDSTORM,EARTHQUAKE
Optional Move 42,ATTRACT,PROTECT,FOCUS_BLAST,SUBSTITUTE,AERIAL_ACE,RETURN
Optional Move 43,STEEL_WING,RAIN_DANCE,FLING,,FACADE,SHADOW_BALL
