Trainer 905,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,TERRAKION,COBALION,MESPRIT,SUICUNE,KYUREM,KANGASKHAN
Level,76,76,76,76,76,76
Ability,JUSTIFIED,JUSTIFIED,LEVITATE,PRESSURE,PRESSURE,PARENTAL_BOND
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,STONE_EDGE,SACRED_SWORD,FUTURE_SIGHT,HYDRO_PUMP,OUTRAGE,LAST_RESORT
Move 2,SACRED_SWORD,WORK_UP,PSYCHIC,SURF,ICE_BEAM,OUTRAGE
Move 3,WORK_UP,IRON_HEAD,EXTRASENSORY,CALM_MIND,NOBLE_ROAR,FOCUS_ENERGY
Move 4,CLOSE_COMBAT,RETALIATE,FLATTER,AURORA_BEAM,BLIZZARD,MEGA_PUNCH
Optional Move 1,QUICK_ATTACK,QUICK_ATTACK,CONFUSION,SHEER_COLD,DRAGON_BREATH,POUND
Optional Move 2,LEER,LEER,REST,EXTREME_SPEED,ANCIENT_POWER,TAIL_WHIP
Optional Move 3,HELPING_HAND,HELPING_HAND,HEALING_WISH,WATER_GUN,FREEZE_DRY,COMET_PUNCH
Optional Move 4,DOUBLE_KICK,CLOSE_COMBAT,NATURAL_GIFT,LEER,ICY_WIND,LEER
Optional Move 5,SMACK_DOWN,METAL_BURST,COPYCAT,GUST,DRAGON_RAGE,GROWL
Optional Move 6,RETALIATE,DOUBLE_KICK,SWIFT,MIST,SLASH,FAKE_OUT
Optional Move 7,TAKE_DOWN,METAL_CLAW,PROTECT,BITE,ENDEAVOR,BITE
Optional Move 8,QUICK_GUARD,TAKE_DOWN,IMPRISON,BUBBLE_BEAM,DRAGON_PULSE,STOMP
Optional Move 9,ROCK_SLIDE,QUICK_GUARD,PSYBEAM,RAIN_DANCE,HYPER_VOICE,RAGE
Optional Move 10,SWORDS_DANCE,SWORDS_DANCE,LUCKY_CHANT,WATER_PULSE,SCARY_FACE,HEADBUTT
Optional Move 11,CALM_MIND,CALM_MIND,CHARM,ROAR,IMPRISON,DOUBLE_HIT
Optional Move 12,ROAR,ROAR,WATER_PULSE,ICE_FANG,DRAGON_CLAW,CHIP_AWAY
Optional Move 13,TOXIC,TOXIC,CALM_MIND,CRUNCH,ROAR,DIZZY_PUNCH
