Trainer 908,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,TAPU_KOKO,RAIKOU,MANECTRIC,NONE,NONE,NONE
Level,78,78,78,,,
Ability,ELECTRIC_SURGE,PRESSURE,INTIMIDATE,,,
Held Item,NONE,NONE,NONE,,,
Move 1,DISCHARGE,DISCHARGE,DISCHARGE,,,
Move 2,CHARGE,CHARGE,CHARGE,,,
Move 3,SPARK,ZAP_CANNON,THUNDER,,,
Move 4,AGILITY,RAIN_DANCE,SHOCK_WAVE,,,
Optional Move 1,QUICK_ATTACK,EXTREME_SPEED,FIRE_FANG,,,
Optional Move 2,THUNDER_SHOCK,THUNDER_SHOCK,TACKLE,,,
Optional Move 3,ELECTRIC_TERRAIN,LEER,THUNDER_WAVE,,,
Optional Move 4,BRAVE_BIRD,QUICK_ATTACK,LEER,,,
Optional Move 5,POWER_SWAP,EXTRASENSORY,HOWL,,,
Optional Move 6,MEAN_LOOK,BITE,ELECTRIC_TERRAIN,,,
Optional Move 7,FALSE_SWIPE,SPARK,QUICK_ATTACK,,,
Optional Move 8,WITHDRAW,ROAR,SPARK,,,
Optional Move 9,FAIRY_WIND,HOWL,ODOR_SLEUTH,,,
Optional Move 10,SHOCK_WAVE,THUNDER_FANG,BITE,,,
Optional Move 11,SCREECH,CRUNCH,THUNDER_FANG,,,
Optional Move 12,MIRROR_MOVE,CALM_MIND,ROAR,,,
Optional Move 13,WILD_CHARGE,REFLECT,WILD_CHARGE,,,
Optional Move 14,NATURES_MADNESS,THUNDER,TOXIC,,,
Optional Move 15,ELECTRO_BALL,TOXIC,HIDDEN_POWER,,,
Optional Move 16,CALM_MIND,HIDDEN_POWER,HYPER_BEAM,,,
Optional Move 17,ROAR,SUNNY_DAY,LIGHT_SCREEN,,,
Optional Move 18,TOXIC,HYPER_BEAM,PROTECT,,,
Optional Move 19,HIDDEN_POWER,LIGHT_SCREEN,RAIN_DANCE,,,
Optional Move 20,TAUNT,PROTECT,FRUSTRATION,,,
Optional Move 21,HYPER_BEAM,FRUSTRATION,IRON_TAIL,,,
Optional Move 22,LIGHT_SCREEN,IRON_TAIL,THUNDERBOLT,,,
Optional Move 23,PROTECT,THUNDERBOLT,RETURN,,,
Optional Move 24,RAIN_DANCE,RETURN,DOUBLE_TEAM,,,
Optional Move 25,SAFEGUARD,SHADOW_BALL,FLAMETHROWER,,,
Optional Move 26,FRUSTRATION,DOUBLE_TEAM,FIRE_BLAST,,,
Optional Move 27,THUNDERBOLT,SHOCK_WAVE,FACADE,,,
Optional Move 28,THUNDER,SANDSTORM,SECRET_POWER,,,
Optional Move 29,RETURN,FACADE,REST,,,
Optional Move 30,DOUBLE_TEAM,SECRET_POWER,ATTRACT,,,
Optional Move 31,REFLECT,REST,THIEF,,,
Optional Move 32,AERIAL_ACE,CHARGE_BEAM,OVERHEAT,,,
Optional Move 33,TORMENT,ENDURE,CHARGE_BEAM,,,
Optional Move 34,FACADE,GIGA_IMPACT,ENDURE,,,
Optional Move 35,SECRET_POWER,FLASH,GIGA_IMPACT,,,
Optional Move 36,REST,THUNDER_WAVE,FLASH,,,
Optional Move 37,THIEF,SLEEP_TALK,CAPTIVATE,,,
Optional Move 38,STEEL_WING,NATURAL_GIFT,SLEEP_TALK,,,
Optional Move 39,ROOST,SWAGGER,NATURAL_GIFT,,,
Optional Move 40,ENDURE,SUBSTITUTE,SWAGGER,,,
Optional Move 41,GIGA_IMPACT,,SUBSTITUTE,,,
Optional Move 42,THUNDER_WAVE,,,,,
Optional Move 43,PSYCH_UP,,,,,
Optional Move 44,SLEEP_TALK,,,,,
Optional Move 45,GRASS_KNOT,,,,,
Optional Move 46,SWAGGER,,,,,
Optional Move 47,U_TURN,,,,,
Optional Move 48,SUBSTITUTE,,,,,
