Trainer 917,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,KYOGRE,LAPRAS,BLASTOISE,NONE,NONE,NONE
Level,78,78,78,,,
Ability,DRIZZLE,WATER_ABSORB,MEGA_LAUNCHER,,,
Held Item,NONE,NONE,NONE,,,
Move 1,ORIGIN_PULSE,HYDRO_PUMP,HYDRO_PUMP,,,
Move 2,ICE_BEAM,ICE_BEAM,FLASH_CANNON,,,
Move 3,CALM_MIND,MIST,AQUA_TAIL,,,
Move 4,SHEER_COLD,BRINE,SHELL_SMASH,,,
Optional Move 1,WATER_PULSE,GROWL,TACKLE,,,
Optional Move 2,ANCIENT_POWER,WATER_GUN,TAIL_WHIP,,,
Optional Move 3,BODY_SLAM,SING,WATER_GUN,,,
Optional Move 4,SCARY_FACE,LIFE_DEW,WITHDRAW,,,
Optional Move 5,AQUA_TAIL,ICE_SHARD,BUBBLE,,,
Optional Move 6,MUDDY_WATER,CONFUSE_RAY,RAPID_SPIN,,,
Optional Move 7,AQUA_RING,WATER_PULSE,BITE,,,
Optional Move 8,HYDRO_PUMP,BODY_SLAM,WATER_PULSE,,,
Optional Move 9,ROAR,RAIN_DANCE,PROTECT,,,
Optional Move 10,TOXIC,SAFEGUARD,RAIN_DANCE,,,
Optional Move 11,HAIL,PERISH_SONG,IRON_DEFENSE,,,
Optional Move 12,HIDDEN_POWER,SHEER_COLD,SKULL_BASH,,,
Optional Move 13,BLIZZARD,FORESIGHT,FOCUS_PUNCH,,,
Optional Move 14,HYPER_BEAM,SUBSTITUTE,ROAR,,,
Optional Move 15,PROTECT,TICKLE,TOXIC,,,
Optional Move 16,RAIN_DANCE,REFRESH,HAIL,,,
Optional Move 17,SAFEGUARD,DRAGON_DANCE,HIDDEN_POWER,,,
Optional Move 18,FRUSTRATION,CURSE,ICE_BEAM,,,
Optional Move 19,THUNDERBOLT,SLEEP_TALK,BLIZZARD,,,
Optional Move 20,THUNDER,HORN_DRILL,HYPER_BEAM,,,
Optional Move 21,EARTHQUAKE,ANCIENT_POWER,FRUSTRATION,,,
Optional Move 22,RETURN,WHIRLPOOL,IRON_TAIL,,,
Optional Move 23,BRICK_BREAK,FISSURE,EARTHQUAKE,,,
Optional Move 24,DOUBLE_TEAM,ROAR,RETURN,,,
Optional Move 25,SHOCK_WAVE,TOXIC,DIG,,,
Optional Move 26,ROCK_TOMB,HAIL,BRICK_BREAK,,,
Optional Move 27,FACADE,HIDDEN_POWER,DOUBLE_TEAM,,,
Optional Move 28,SECRET_POWER,BLIZZARD,ROCK_TOMB,,,
Optional Move 29,REST,HYPER_BEAM,FACADE,,,
Optional Move 30,BRINE,PROTECT,SECRET_POWER,,,
Optional Move 31,ENDURE,FRUSTRATION,REST,,,
Optional Move 32,GIGA_IMPACT,IRON_TAIL,ATTRACT,,,
Optional Move 33,AVALANCHE,THUNDERBOLT,FOCUS_BLAST,,,
Optional Move 34,THUNDER_WAVE,THUNDER,BRINE,,,
Optional Move 35,ROCK_SLIDE,EARTHQUAKE,FLING,,,
Optional Move 36,SLEEP_TALK,RETURN,ENDURE,,,
Optional Move 37,NATURAL_GIFT,PSYCHIC,DRAGON_PULSE,,,
Optional Move 38,SWAGGER,DOUBLE_TEAM,GIGA_IMPACT,,,
Optional Move 39,SUBSTITUTE,REFLECT,AVALANCHE,,,
Optional Move 40,,SHOCK_WAVE,GYRO_BALL,,,
Optional Move 41,,FACADE,CAPTIVATE,,,
Optional Move 42,,SECRET_POWER,DARK_PULSE,,,
Optional Move 43,,REST,ROCK_SLIDE,,,
Optional Move 44,,ATTRACT,SLEEP_TALK,,,
Optional Move 45,,ENDURE,NATURAL_GIFT,,,
Optional Move 46,,DRAGON_PULSE,SWAGGER,,,
Optional Move 47,,GIGA_IMPACT,SUBSTITUTE,,,
Optional Move 48,,AVALANCHE,,,,
Optional Move 49,,CAPTIVATE,,,,
Optional Move 50,,NATURAL_GIFT,,,,
Optional Move 51,,DREAM_EATER,,,,
Optional Move 52,,SWAGGER,,,,
