Trainer 92,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,ROGGENROLA,DEWPIDER,RATTATA,NONE,NONE,NONE
Level,12,12,12,,,
Ability,STURDY,WATER_BUBBLE,RUN_AWAY,,,
Held Item,NONE,NONE,NONE,,,
Move 1,SAND_ATTACK,WATER_GUN,FOCUS_ENERGY,,,
Move 2,TACKLE,WATER_SPORT,BITE,,,
Move 3,HARDEN,BUG_BITE,TACKLE,,,
Move 4,TACKLE,SPIDER_WEB,QUICK_ATTACK,,,
Optional Move 1,CURSE,INFESTATION,TAIL_WHIP,,,
Optional Move 2,GRAVITY,BUBBLE,SCREECH,,,
Optional Move 3,LOCK_ON,WATER_PULSE,FLAME_WHEEL,,,
Optional Move 4,MAGNITUDE,TOXIC,FURY_SWIPES,,,
Optional Move 5,ROCK_TOMB,HIDDEN_POWER,COUNTER,,,
Optional Move 6,TAKE_DOWN,ICE_BEAM,REVERSAL,,,
Optional Move 7,TOXIC,BLIZZARD,UPROAR,,,
Optional Move 8,HIDDEN_POWER,PROTECT,SWAGGER,,,
Optional Move 9,PROTECT,RAIN_DANCE,LAST_RESORT,,,
Optional Move 10,FRUSTRATION,GIGA_DRAIN,ME_FIRST,,,
Optional Move 11,EARTHQUAKE,FRUSTRATION,TOXIC,,,
Optional Move 12,RETURN,RETURN,HIDDEN_POWER,,,
Optional Move 13,DOUBLE_TEAM,DOUBLE_TEAM,SUNNY_DAY,,,
Optional Move 14,FACADE,FACADE,TAUNT,,,
Optional Move 15,SECRET_POWER,SECRET_POWER,ICE_BEAM,,,
Optional Move 16,REST,REST,BLIZZARD,,,
Optional Move 17,ATTRACT,ATTRACT,PROTECT,,,
Optional Move 18,ENDURE,ENDURE,RAIN_DANCE,,,
Optional Move 19,ROCK_POLISH,X_SCISSOR,FRUSTRATION,,,
Optional Move 20,SLEEP_TALK,SLEEP_TALK,IRON_TAIL,,,
Optional Move 21,SWAGGER,POISON_JAB,THUNDERBOLT,,,
Optional Move 22,SUBSTITUTE,SWAGGER,THUNDER,,,
Optional Move 23,FLASH_CANNON,SUBSTITUTE,RETURN,,,
Optional Move 24,,,DIG,,,
Optional Move 25,,,SHADOW_BALL,,,
Optional Move 26,,,DOUBLE_TEAM,,,
Optional Move 27,,,SHOCK_WAVE,,,
Optional Move 28,,,FACADE,,,
Optional Move 29,,,SECRET_POWER,,,
Optional Move 30,,,REST,,,
Optional Move 31,,,ATTRACT,,,
Optional Move 32,,,THIEF,,,
Optional Move 33,,,CHARGE_BEAM,,,
Optional Move 34,,,ENDURE,,,
Optional Move 35,,,THUNDER_WAVE,,,
Optional Move 36,,,CAPTIVATE,,,
Optional Move 37,,,SLEEP_TALK,,,
Optional Move 38,,,NATURAL_GIFT,,,
Optional Move 39,,,GRASS_KNOT,,,
Optional Move 40,,,PLUCK,,,
Optional Move 41,,,U_TURN,,,
Optional Move 42,,,SUBSTITUTE,,,
