Trainer 928,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MALAMAR,STARMIE,GALLADE,NONE,NONE,NONE
Level,85,85,85,,,
Ability,CONTRARY,ILLUMINATE,INNER_FOCUS,,,
Held Item,NONE,NONE,NONE,,,
Move 1,FOUL_PLAY,HYDRO_PUMP,FUTURE_SIGHT,,,
Move 2,SWAGGER,PSYCHIC,LEAF_BLADE,,,
Move 3,PLUCK,COSMIC_POWER,NIGHT_SLASH,,,
Move 4,PSYCHO_CUT,POWER_GEM,CLOSE_COMBAT,,,
Optional Move 1,REVERSAL,RAPID_SPIN,SLASH,,,
Optional Move 2,PECK,MINIMIZE,GROWL,,,
Optional Move 3,TACKLE,SWIFT,DISARMING_VOICE,,,
Optional Move 4,HYPNOSIS,PSYBEAM,HYPNOSIS,,,
Optional Move 5,WRAP,BRINE,DRAINING_KISS,,,
Optional Move 6,CONSTRICT,LIGHT_SCREEN,IMPRISON,,,
Optional Move 7,REFLECT,SURF,PSYBEAM,,,
Optional Move 8,PSYWAVE,RECOVER,LIFE_DEW,,,
Optional Move 9,PAYBACK,TACKLE,CHARM,,,
Optional Move 10,PSYBEAM,HARDEN,CALM_MIND,,,
Optional Move 11,SWITCHEROO,WATER_GUN,PSYCHIC,,,
Optional Move 12,TOPSY_TURVY,CONFUSE_RAY,DREAM_EATER,,,
Optional Move 13,SLASH,SPOTLIGHT,LEER,,,
Optional Move 14,LIGHT_SCREEN,WATER_PULSE,FURY_CUTTER,,,
Optional Move 15,NIGHT_SLASH,TOXIC,DOUBLE_TEAM,,,
Optional Move 16,SUPERPOWER,HAIL,CONFUSION,,,
Optional Move 17,CALM_MIND,HIDDEN_POWER,STORED_POWER,,,
Optional Move 18,TOXIC,ICE_BEAM,TELEPORT,,,
Optional Move 19,HIDDEN_POWER,BLIZZARD,AERIAL_ACE,,,
Optional Move 20,SUNNY_DAY,HYPER_BEAM,HELPING_HAND,,,
Optional Move 21,TAUNT,PROTECT,FEINT,,,
Optional Move 22,HYPER_BEAM,RAIN_DANCE,SWORDS_DANCE,,,
Optional Move 23,PROTECT,FRUSTRATION,FALSE_SWIPE,,,
Optional Move 24,RAIN_DANCE,THUNDERBOLT,HEAL_PULSE,,,
Optional Move 25,FRUSTRATION,THUNDER,QUICK_GUARD,,,
Optional Move 26,THUNDERBOLT,RETURN,PSYCHO_CUT,,,
Optional Move 27,RETURN,DOUBLE_TEAM,PROTECT,,,
Optional Move 28,PSYCHIC,REFLECT,WIDE_GUARD,,,
Optional Move 29,DOUBLE_TEAM,FACADE,FOCUS_PUNCH,,,
Optional Move 30,FLAMETHROWER,SECRET_POWER,TOXIC,,,
Optional Move 31,FIRE_BLAST,REST,BULK_UP,,,
Optional Move 32,AERIAL_ACE,SKILL_SWAP,HIDDEN_POWER,,,
Optional Move 33,TORMENT,ENDURE,SUNNY_DAY,,,
Optional Move 34,FACADE,RECYCLE,TAUNT,,,
Optional Move 35,SECRET_POWER,GIGA_IMPACT,HYPER_BEAM,,,
Optional Move 36,REST,FLASH,LIGHT_SCREEN,,,
Optional Move 37,ATTRACT,AVALANCHE,RAIN_DANCE,,,
Optional Move 38,THIEF,THUNDER_WAVE,SAFEGUARD,,,
Optional Move 39,SKILL_SWAP,GYRO_BALL,FRUSTRATION,,,
Optional Move 40,SNATCH,PSYCH_UP,THUNDERBOLT,,,
Optional Move 41,FLING,SLEEP_TALK,EARTHQUAKE,,,
Optional Move 42,ENDURE,NATURAL_GIFT,RETURN,,,
Optional Move 43,EMBARGO,DREAM_EATER,SHADOW_BALL,,,
Optional Move 44,GIGA_IMPACT,GRASS_KNOT,BRICK_BREAK,,,
Optional Move 45,FLASH,SWAGGER,REFLECT,,,
Optional Move 46,PSYCH_UP,SUBSTITUTE,SHOCK_WAVE,,,
Optional Move 47,ROCK_SLIDE,FLASH_CANNON,ROCK_TOMB,,,
Optional Move 48,SLEEP_TALK,TRICK_ROOM,TORMENT,,,
Optional Move 49,SUBSTITUTE,,FACADE,,,
Optional Move 50,TRICK_ROOM,,SECRET_POWER,,,
Optional Move 51,,,REST,,,
Optional Move 52,,,ATTRACT,,,
Optional Move 53,,,THIEF,,,
Optional Move 54,,,SKILL_SWAP,,,
Optional Move 55,,,SNATCH,,,
Optional Move 56,,,FOCUS_BLAST,,,
Optional Move 57,,,ENERGY_BALL,,,
Optional Move 58,,,FLING,,,
Optional Move 59,,,CHARGE_BEAM,,,
Optional Move 60,,,ENDURE,,,
Optional Move 61,,,DRAIN_PUNCH,,,
Optional Move 62,,,WILL_O_WISP,,,
Optional Move 63,,,SHADOW_CLAW,,,
Optional Move 64,,,RECYCLE,,,
Optional Move 65,,,GIGA_IMPACT,,,
Optional Move 66,,,FLASH,,,
Optional Move 67,,,STONE_EDGE,,,
Optional Move 68,,,THUNDER_WAVE,,,
Optional Move 69,,,PSYCH_UP,,,
Optional Move 70,,,CAPTIVATE,,,
Optional Move 71,,,ROCK_SLIDE,,,
Optional Move 72,,,X_SCISSOR,,,
Optional Move 73,,,SLEEP_TALK,,,
Optional Move 74,,,NATURAL_GIFT,,,
Optional Move 75,,,POISON_JAB,,,
Optional Move 76,,,GRASS_KNOT,,,
Optional Move 77,,,SWAGGER,,,
Optional Move 78,,,SUBSTITUTE,,,
Optional Move 79,,,TRICK_ROOM,,,
