Trainer 931,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,KOMMO_O,ROARING_MOON,KINGDRA,ARCTOZOLT,NAGANADEL,ALTARIA
Level,86,86,86,86,86,86
Ability,BULLETPROOF,PROTOSYNTHESIS,SWIFT_SWIM,VOLT_ABSORB,BEAST_BOOST,PIXILATE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,OUTRAGE,DRAGON_CLAW,HYDRO_PUMP,BOLT_BEAK,DRAGON_PULSE,MOONBLAST
Move 2,BOOMBURST,FLAMETHROWER,DRAGON_PULSE,ICICLE_CRASH,AIR_SLASH,SKY_ATTACK
Move 3,DRAGON_DANCE,DRAGON_RUSH,DRAGON_DANCE,CHARGE,DRAGON_RUSH,DRAGON_PULSE
Move 4,CLOSE_COMBAT,THROAT_CHOP,DRAGON_BREATH,BLIZZARD,POISON_JAB,TAKE_DOWN
Optional Move 1,CLANGING_SCALES,BITE,WHIRLPOOL,POWDER_SNOW,AIR_CUTTER,DRAGON_BREATH
Optional Move 2,BELLY_DRUM,DRAGON_BREATH,YAWN,THUNDER_SHOCK,PECK,PLUCK
Optional Move 3,AUTOTOMIZE,FOCUS_ENERGY,WATER_GUN,ECHOED_VOICE,GROWL,PECK
Optional Move 4,TACKLE,LEER,LEER,ANCIENT_POWER,HELPING_HAND,GROWL
Optional Move 5,LEER,INCINERATE,SMOKESCREEN,PLUCK,ACID,DISARMING_VOICE
Optional Move 6,PROTECT,HEADBUTT,TWISTER,AVALANCHE,FURY_ATTACK,MIST
Optional Move 7,DRAGON_TAIL,SCARY_FACE,BUBBLE,FREEZE_DRY,CHARM,ASTONISH
Optional Move 8,SKY_UPPERCUT,ZEN_HEADBUTT,FOCUS_ENERGY,SLAM,VENOSHOCK,SING
Optional Move 9,BIDE,NIGHT_SLASH,BUBBLE_BEAM,DISCHARGE,FELL_STINGER,FURY_ATTACK
Optional Move 10,SCARY_FACE,DRAGON_DANCE,BRINE,TOXIC,VENOM_DRENCH,ROUND
Optional Move 11,HEADBUTT,FLY,AGILITY,HIDDEN_POWER,NASTY_PLOT,SAFEGUARD
Optional Move 12,WORK_UP,ROOST,LASER_FOCUS,TAUNT,TOXIC,NATURAL_GIFT
Optional Move 13,SCREECH,ROAR,RAIN_DANCE,ICE_BEAM,GASTRO_ACID,REFRESH
Optional Move 14,IRON_DEFENSE,TOXIC,WATER_PULSE,HYPER_BEAM,DRAGON_CLAW,DRAGON_DANCE
Optional Move 15,DRAGON_CLAW,HIDDEN_POWER,TOXIC,PROTECT,HIDDEN_POWER,COTTON_GUARD
Optional Move 16,NOBLE_ROAR,SUNNY_DAY,HAIL,RAIN_DANCE,HYPER_BEAM,PERISH_SONG
Optional Move 17,CLANGOROUS_SOUL,TAUNT,HIDDEN_POWER,FRUSTRATION,PROTECT,DRAGON_CLAW
Optional Move 18,FOCUS_PUNCH,HYPER_BEAM,ICE_BEAM,IRON_TAIL,FRUSTRATION,ROAR
Optional Move 19,ROAR,PROTECT,BLIZZARD,THUNDERBOLT,IRON_TAIL,TOXIC
Optional Move 20,TOXIC,FRUSTRATION,HYPER_BEAM,THUNDER,THUNDERBOLT,HIDDEN_POWER
Optional Move 21,BULK_UP,EARTHQUAKE,PROTECT,RETURN,RETURN,SUNNY_DAY
Optional Move 22,HIDDEN_POWER,RETURN,FRUSTRATION,DOUBLE_TEAM,DOUBLE_TEAM,ICE_BEAM
Optional Move 23,SUNNY_DAY,DIG,RETURN,ROCK_TOMB,SHOCK_WAVE,HYPER_BEAM
Optional Move 24,TAUNT,BRICK_BREAK,DOUBLE_TEAM,FACADE,FLAMETHROWER,PROTECT
Optional Move 25,HYPER_BEAM,DOUBLE_TEAM,FACADE,SECRET_POWER,SLUDGE_BOMB,RAIN_DANCE
Optional Move 26,RAIN_DANCE,FIRE_BLAST,SECRET_POWER,REST,FIRE_BLAST,FRUSTRATION
Optional Move 27,SAFEGUARD,AERIAL_ACE,REST,ENDURE,AERIAL_ACE,SOLAR_BEAM
Optional Move 28,FRUSTRATION,FACADE,ATTRACT,PAYBACK,FACADE,IRON_TAIL
Optional Move 29,IRON_TAIL,SECRET_POWER,ENDURE,STONE_EDGE,SECRET_POWER,EARTHQUAKE
Optional Move 30,EARTHQUAKE,REST,GIGA_IMPACT,THUNDER_WAVE,REST,RETURN
Optional Move 31,RETURN,ENDURE,CAPTIVATE,ROCK_SLIDE,THIEF,DOUBLE_TEAM
Optional Move 32,BRICK_BREAK,DRAGON_PULSE,SLEEP_TALK,SLEEP_TALK,SNATCH,FLAMETHROWER
Optional Move 33,DOUBLE_TEAM,SHADOW_CLAW,NATURAL_GIFT,SUBSTITUTE,ENDURE,FIRE_BLAST
Optional Move 34,SHOCK_WAVE,GIGA_IMPACT,SWAGGER,,SHADOW_CLAW,AERIAL_ACE
Optional Move 35,FLAMETHROWER,STONE_EDGE,SUBSTITUTE,,GIGA_IMPACT,FACADE
Optional Move 36,SANDSTORM,DARK_PULSE,FLASH_CANNON,,DARK_PULSE,SECRET_POWER
Optional Move 37,ROCK_TOMB,ROCK_SLIDE,,,X_SCISSOR,REST
Optional Move 38,AERIAL_ACE,X_SCISSOR,,,SLEEP_TALK,ATTRACT
Optional Move 39,FACADE,SLEEP_TALK,,,U_TURN,THIEF
Optional Move 40,SECRET_POWER,U_TURN,,,SUBSTITUTE,STEEL_WING
Optional Move 41,REST,SUBSTITUTE,,,,ROOST
Optional Move 42,ATTRACT,,,,,ENDURE
Optional Move 43,FOCUS_BLAST,,,,,WILL_O_WISP
Optional Move 44,FALSE_SWIPE,,,,,GIGA_IMPACT
Optional Move 45,FLING,,,,,CAPTIVATE
Optional Move 46,ENDURE,,,,,SLEEP_TALK
Optional Move 47,DRAGON_PULSE,,,,,DREAM_EATER
Optional Move 48,DRAIN_PUNCH,,,,,SWAGGER
Optional Move 49,SHADOW_CLAW,,,,,SUBSTITUTE
Optional Move 50,PAYBACK,,,,,
Optional Move 51,GIGA_IMPACT,,,,,
Optional Move 52,ROCK_POLISH,,,,,
Optional Move 53,SWORDS_DANCE,,,,,
Optional Move 54,STEALTH_ROCK,,,,,
Optional Move 55,ROCK_SLIDE,,,,,
Optional Move 56,X_SCISSOR,,,,,
Optional Move 57,SLEEP_TALK,,,,,
Optional Move 58,POISON_JAB,,,,,
Optional Move 59,SWAGGER,,,,,
Optional Move 60,SUBSTITUTE,,,,,
Optional Move 61,FLASH_CANNON,,,,,
