Trainer 949,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,PELIPPER,HUNTAIL,PALAFIN,TAUROS,DREDNAW,SWAMPERT
Level,36,36,36,36,36,36
Ability,KEEN_EYE,SWIFT_SWIM,ZERO_TO_HERO,INTIMIDATE,STRONG_JAW,SWIFT_SWIM
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,HYDRO_PUMP,CRUNCH,ACROBATICS,RAGING_BULL,RAZOR_SHELL,EARTHQUAKE
Move 2,BRINE,ICE_FANG,FOCUS_ENERGY,ZEN_HEADBUTT,CRUNCH,ROCK_SLIDE
Move 3,AGILITY,SUCKER_PUNCH,FLIP_TURN,HEADBUTT,ROCK_POLISH,SURF
Move 4,HURRICANE,DIVE,JET_PUNCH,AQUA_JET,ROCK_TOMB,MUD_BOMB
Optional Move 1,PROTECT,WHIRLPOOL,SUPERSONIC,TACKLE,TACKLE,MUD_SHOT
Optional Move 2,SOAK,BITE,WATER_GUN,TAIL_WHIP,WATER_GUN,HAMMER_ARM
Optional Move 3,QUICK_ATTACK,SCREECH,ASTONISH,WORK_UP,BITE,TACKLE
Optional Move 4,AIR_SLASH,SCARY_FACE,AQUA_JET,PAYBACK,PROTECT,GROWL
Optional Move 5,GROWL,FEINT_ATTACK,DOUBLE_HIT,ASSURANCE,HEADBUTT,WATER_GUN
Optional Move 6,WATER_GUN,WATER_PULSE,DIVE,HORN_ATTACK,COUNTER,ROCK_SMASH
Optional Move 7,TAILWIND,BRINE,CHARM,SCARY_FACE,WATER_PULSE,MUD_SLAP
Optional Move 8,SUPERSONIC,BATON_PASS,ENCORE,TOXIC,TOXIC,ROCK_THROW
Optional Move 9,WATER_SPORT,TOXIC,WATER_PULSE,HIDDEN_POWER,HIDDEN_POWER,FORESIGHT
Optional Move 10,WING_ATTACK,HAIL,TOXIC,SUNNY_DAY,ICE_BEAM,SUPERSONIC
Optional Move 11,WATER_PULSE,HIDDEN_POWER,BULK_UP,ICE_BEAM,BLIZZARD,BIDE
Optional Move 12,PAYBACK,ICE_BEAM,HIDDEN_POWER,BLIZZARD,HYPER_BEAM,WATER_PULSE
Optional Move 13,MIST,BLIZZARD,TAUNT,HYPER_BEAM,RAIN_DANCE,PROTECT
Optional Move 14,STOCKPILE,HYPER_BEAM,ICE_BEAM,PROTECT,FRUSTRATION,AMNESIA
Optional Move 15,SWALLOW,PROTECT,BLIZZARD,RAIN_DANCE,IRON_TAIL,TAKE_DOWN
Optional Move 16,SPIT_UP,RAIN_DANCE,HYPER_BEAM,FRUSTRATION,EARTHQUAKE,FOCUS_PUNCH
Optional Move 17,FLING,FRUSTRATION,PROTECT,SOLAR_BEAM,RETURN,ROAR
Optional Move 18,TOXIC,RETURN,RAIN_DANCE,IRON_TAIL,DIG,TOXIC
Optional Move 19,HAIL,DOUBLE_TEAM,FRUSTRATION,THUNDERBOLT,DOUBLE_TEAM,HAIL
Optional Move 20,HIDDEN_POWER,ROCK_TOMB,RETURN,THUNDER,SANDSTORM,BULK_UP
Optional Move 21,ICE_BEAM,FACADE,DOUBLE_TEAM,EARTHQUAKE,FACADE,HIDDEN_POWER
Optional Move 22,BLIZZARD,SECRET_POWER,FACADE,RETURN,SECRET_POWER,ICE_BEAM
Optional Move 23,HYPER_BEAM,REST,SECRET_POWER,DIG,REST,BLIZZARD
Optional Move 24,RAIN_DANCE,ATTRACT,REST,SHADOW_BALL,ATTRACT,HYPER_BEAM
Optional Move 25,FRUSTRATION,SNATCH,ATTRACT,DOUBLE_TEAM,FALSE_SWIPE,RAIN_DANCE
Optional Move 26,RETURN,ENDURE,FOCUS_BLAST,SHOCK_WAVE,ENDURE,FRUSTRATION
Optional Move 27,DOUBLE_TEAM,GIGA_IMPACT,FLING,FLAMETHROWER,PAYBACK,IRON_TAIL
Optional Move 28,SHOCK_WAVE,CAPTIVATE,ENDURE,SANDSTORM,GIGA_IMPACT,RETURN
Optional Move 29,AERIAL_ACE,SLEEP_TALK,DRAIN_PUNCH,FIRE_BLAST,SWORDS_DANCE,DIG
Optional Move 30,FACADE,NATURAL_GIFT,GIGA_IMPACT,ROCK_TOMB,STEALTH_ROCK,BRICK_BREAK
Optional Move 31,SECRET_POWER,SWAGGER,PSYCH_UP,FACADE,ROCK_SLIDE,DOUBLE_TEAM
Optional Move 32,REST,SUBSTITUTE,SLEEP_TALK,SECRET_POWER,SLEEP_TALK,ROCK_TOMB
Optional Move 33,ATTRACT,,GRASS_KNOT,ATTRACT,POISON_JAB,FACADE
Optional Move 34,THIEF,,SUBSTITUTE,THIEF,SUBSTITUTE,SECRET_POWER
Optional Move 35,STEEL_WING,,,ENDURE,,REST
Optional Move 36,ENDURE,,,STONE_EDGE,,ATTRACT
Optional Move 37,GIGA_IMPACT,,,CAPTIVATE,,FOCUS_BLAST
Optional Move 38,CAPTIVATE,,,ROCK_SLIDE,,FLING
Optional Move 39,SLEEP_TALK,,,SLEEP_TALK,,ENDURE
Optional Move 40,NATURAL_GIFT,,,NATURAL_GIFT,,GIGA_IMPACT
Optional Move 41,SWAGGER,,,SUBSTITUTE,,STONE_EDGE
Optional Move 42,PLUCK,,,,,AVALANCHE
Optional Move 43,U_TURN,,,,,STEALTH_ROCK
Optional Move 44,SUBSTITUTE,,,,,CAPTIVATE
Optional Move 45,,,,,,SLEEP_TALK
Optional Move 46,,,,,,NATURAL_GIFT
Optional Move 47,,,,,,POISON_JAB
Optional Move 48,,,,,,SWAGGER
Optional Move 49,,,,,,SUBSTITUTE
