Trainer 95,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MEOWTH,SANDILE,SOLOSIS,NONE,NONE,NONE
Level,13,13,13,,,
Ability,PICKUP,INTIMIDATE,OVERCOAT,,,
Held Item,NONE,NONE,NONE,,,
Move 1,GROWL,HONE_CLAWS,ROLLOUT,,,
Move 2,BITE,BITE,PROTECT,,,
Move 3,FAKE_OUT,SAND_TOMB,PSYBEAM,,,
Move 4,SCRATCH,POWER_TRIP,CONFUSION,,,
Optional Move 1,SPITE,LEER,PSYWAVE,,,
Optional Move 2,CHARM,RAGE,SNATCH,,,
Optional Move 3,HYPNOSIS,SAND_ATTACK,RECOVER,,,
Optional Move 4,AMNESIA,BEAT_UP,ACID_ARMOR,,,
Optional Move 5,PSYCH_UP,COUNTER,ASTONISH,,,
Optional Move 6,ASSIST,DOUBLE_EDGE,CONFUSE_RAY,,,
Optional Move 7,ODOR_SLEUTH,FIRE_FANG,IMPRISON,,,
Optional Move 8,FLAIL,FOCUS_ENERGY,NIGHT_SHADE,,,
Optional Move 9,LAST_RESORT,MEAN_LOOK,SECRET_POWER,,,
Optional Move 10,PUNISHMENT,PURSUIT,TRICK,,,
Optional Move 11,TAIL_WHIP,ROCK_CLIMB,CALM_MIND,,,
Optional Move 12,WATER_PULSE,THUNDER_FANG,TOXIC,,,
Optional Move 13,TOXIC,UPROAR,SUNNY_DAY,,,
Optional Move 14,HIDDEN_POWER,ROAR,RAIN_DANCE,,,
Optional Move 15,SUNNY_DAY,TOXIC,SAFEGUARD,,,
Optional Move 16,PROTECT,HIDDEN_POWER,FRUSTRATION,,,
Optional Move 17,RAIN_DANCE,TAUNT,THUNDER,,,
Optional Move 18,FRUSTRATION,PROTECT,RETURN,,,
Optional Move 19,IRON_TAIL,FRUSTRATION,SHADOW_BALL,,,
Optional Move 20,THUNDERBOLT,IRON_TAIL,DOUBLE_TEAM,,,
Optional Move 21,THUNDER,RETURN,SHOCK_WAVE,,,
Optional Move 22,RETURN,BRICK_BREAK,ROCK_TOMB,,,
Optional Move 23,DIG,DOUBLE_TEAM,FACADE,,,
Optional Move 24,SHADOW_BALL,SLUDGE_BOMB,REST,,,
Optional Move 25,DOUBLE_TEAM,FACADE,ATTRACT,,,
Optional Move 26,SHOCK_WAVE,SECRET_POWER,ENERGY_BALL,,,
Optional Move 27,AERIAL_ACE,REST,ENDURE,,,
Optional Move 28,TORMENT,ATTRACT,EMBARGO,,,
Optional Move 29,FACADE,THIEF,EXPLOSION,,,
Optional Move 30,SECRET_POWER,SNATCH,FLASH,,,
Optional Move 31,REST,FLING,THUNDER_WAVE,,,
Optional Move 32,ATTRACT,ENDURE,GYRO_BALL,,,
Optional Move 33,THIEF,SHADOW_CLAW,PSYCH_UP,,,
Optional Move 34,SNATCH,PAYBACK,ROCK_SLIDE,,,
Optional Move 35,FALSE_SWIPE,STONE_EDGE,SLEEP_TALK,,,
Optional Move 36,ENDURE,STEALTH_ROCK,DREAM_EATER,,,
Optional Move 37,SHADOW_CLAW,DARK_PULSE,SWAGGER,,,
Optional Move 38,PAYBACK,ROCK_SLIDE,SUBSTITUTE,,,
Optional Move 39,FLASH,SLEEP_TALK,FLASH_CANNON,,,
Optional Move 40,THUNDER_WAVE,GRASS_KNOT,TRICK_ROOM,,,
Optional Move 41,DARK_PULSE,SUBSTITUTE,,,,
Optional Move 42,SLEEP_TALK,,,,,
Optional Move 43,NATURAL_GIFT,,,,,
Optional Move 44,DREAM_EATER,,,,,
Optional Move 45,SWAGGER,,,,,
Optional Move 46,U_TURN,,,,,
Optional Move 47,SUBSTITUTE,,,,,
