Trainer 964,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MAMOSWINE,KROOKODILE,FLYGON,MUDSDALE,SANDACONDA,STEELIX
Level,85,85,85,85,85,85
Ability,OBLIVIOUS,INTIMIDATE,LEVITATE,OWN_TEMPO,SAND_SPIT,PRESSURE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,EARTHQUAKE,THRASH,BOOMBURST,EARTHQUAKE,COIL,STONE_EDGE
Move 2,THRASH,HONE_CLAWS,DRAGON_DANCE,STRENGTH,SLAM,ROCK_POLISH
Move 3,AMNESIA,OUTRAGE,SUPERPOWER,IRON_DEFENSE,HEADBUTT,DIG
Move 4,BLIZZARD,FOUL_PLAY,DRAGON_RUSH,SUPERPOWER,BULLDOZE,IRON_TAIL
Optional Move 1,DOUBLE_HIT,POWER_TRIP,DRAGON_CLAW,MUD_SLAP,SKULL_BASH,CRUNCH
Optional Move 2,ICE_FANG,LEER,DRAGON_BREATH,ROCK_SMASH,WRAP,THUNDER_FANG
Optional Move 3,ANCIENT_POWER,SAND_ATTACK,FEINT,DOUBLE_KICK,SAND_ATTACK,ICE_FANG
Optional Move 4,TACKLE,RAGE,LASER_FOCUS,MUD_SPORT,MINIMIZE,FIRE_FANG
Optional Move 5,MUD_SLAP,BITE,BULLDOZE,ROTOTILLER,BRUTAL_SWING,TACKLE
Optional Move 6,POWDER_SNOW,SAND_TOMB,DIG,BULLDOZE,GLARE,HARDEN
Optional Move 7,FLAIL,TORMENT,CRUNCH,STOMP,DIG,BIND
Optional Move 8,FURY_ATTACK,ASSURANCE,FISSURE,BIDE,SANDSTORM,ROCK_THROW
Optional Move 9,SCARY_FACE,MUD_SLAP,SAND_ATTACK,HIGH_HORSEPOWER,SAND_TOMB,MUD_SPORT
Optional Move 10,PECK,EMBARGO,ASTONISH,COUNTER,TOXIC,CURSE
Optional Move 11,ODOR_SLEUTH,SCARY_FACE,SUPERSONIC,HEAVY_SLAM,HIDDEN_POWER,ROCK_TOMB
Optional Move 12,MUD_SPORT,SWAGGER,BITE,MEGA_KICK,HYPER_BEAM,SMACK_DOWN
Optional Move 13,ICE_SHARD,DIG,SONIC_BOOM,ROAR,PROTECT,AUTOTOMIZE
Optional Move 14,MUD_BOMB,CRUNCH,FEINT_ATTACK,TOXIC,FRUSTRATION,RAGE
Optional Move 15,ENDURE,SANDSTORM,BIDE,HIDDEN_POWER,EARTHQUAKE,DRAGON_BREATH
Optional Move 16,HAIL,EARTHQUAKE,MUD_SLAP,HYPER_BEAM,RETURN,GYRO_BALL
Optional Move 17,MIST,FOCUS_PUNCH,SAND_TOMB,PROTECT,DOUBLE_TEAM,STEALTH_ROCK
Optional Move 18,ICY_WIND,DRAGON_CLAW,ROCK_SLIDE,FRUSTRATION,ROCK_TOMB,ROCK_SLIDE
Optional Move 19,TAKE_DOWN,ROAR,SCREECH,RETURN,FACADE,SCREECH
Optional Move 20,ROAR,TOXIC,DRAGON_TAIL,DOUBLE_TEAM,SECRET_POWER,SAND_TOMB
Optional Move 21,TOXIC,BULK_UP,BUG_BUZZ,SANDSTORM,REST,SLAM
Optional Move 22,HIDDEN_POWER,HIDDEN_POWER,EARTH_POWER,ROCK_TOMB,ATTRACT,SANDSTORM
Optional Move 23,ICE_BEAM,TAUNT,SANDSTORM,FACADE,ENDURE,DOUBLE_EDGE
Optional Move 24,HYPER_BEAM,HYPER_BEAM,EARTHQUAKE,SECRET_POWER,GIGA_IMPACT,MAGNET_RISE
Optional Move 25,PROTECT,PROTECT,HYPER_BEAM,REST,STONE_EDGE,ROAR
Optional Move 26,RAIN_DANCE,FRUSTRATION,UPROAR,ATTRACT,STEALTH_ROCK,TOXIC
Optional Move 27,FRUSTRATION,IRON_TAIL,TOXIC,FOCUS_BLAST,ROCK_SLIDE,HIDDEN_POWER
Optional Move 28,RETURN,RETURN,HIDDEN_POWER,ENDURE,SLEEP_TALK,SUNNY_DAY
Optional Move 29,DIG,BRICK_BREAK,SUNNY_DAY,PAYBACK,SUBSTITUTE,TAUNT
Optional Move 30,DOUBLE_TEAM,DOUBLE_TEAM,PROTECT,GIGA_IMPACT,,HYPER_BEAM
Optional Move 31,REFLECT,SLUDGE_BOMB,GIGA_DRAIN,STONE_EDGE,,PROTECT
Optional Move 32,SANDSTORM,AERIAL_ACE,FRUSTRATION,STEALTH_ROCK,,FRUSTRATION
Optional Move 33,ROCK_TOMB,FACADE,SOLAR_BEAM,ROCK_SLIDE,,EARTHQUAKE
Optional Move 34,FACADE,SECRET_POWER,IRON_TAIL,SLEEP_TALK,,RETURN
Optional Move 35,SECRET_POWER,REST,RETURN,SWAGGER,,DOUBLE_TEAM
Optional Move 36,REST,ATTRACT,DOUBLE_TEAM,SUBSTITUTE,,TORMENT
Optional Move 37,ATTRACT,THIEF,FLAMETHROWER,,,FACADE
Optional Move 38,GIGA_IMPACT,SNATCH,FIRE_BLAST,,,SECRET_POWER
Optional Move 39,STONE_EDGE,FOCUS_BLAST,ROCK_TOMB,,,REST
Optional Move 40,AVALANCHE,FLING,AERIAL_ACE,,,ATTRACT
Optional Move 41,STEALTH_ROCK,ENDURE,FACADE,,,ENDURE
Optional Move 42,CAPTIVATE,DRAGON_PULSE,SECRET_POWER,,,DRAGON_PULSE
Optional Move 43,ROCK_SLIDE,SHADOW_CLAW,REST,,,EXPLOSION
Optional Move 44,SLEEP_TALK,PAYBACK,ATTRACT,,,PAYBACK
Optional Move 45,NATURAL_GIFT,GIGA_IMPACT,STEEL_WING,,,GIGA_IMPACT
Optional Move 46,SWAGGER,STONE_EDGE,ROOST,,,PSYCH_UP
Optional Move 47,SUBSTITUTE,STEALTH_ROCK,ENDURE,,,CAPTIVATE
Optional Move 48,,DARK_PULSE,DRAGON_PULSE,,,DARK_PULSE
Optional Move 49,,ROCK_SLIDE,SILVER_WIND,,,SLEEP_TALK
Optional Move 50,,SLEEP_TALK,GIGA_IMPACT,,,NATURAL_GIFT
Optional Move 51,,GRASS_KNOT,STONE_EDGE,,,SWAGGER
Optional Move 52,,SUBSTITUTE,STEALTH_ROCK,,,SUBSTITUTE
Optional Move 53,,,CAPTIVATE,,,FLASH_CANNON
Optional Move 54,,,SLEEP_TALK,,,
Optional Move 55,,,NATURAL_GIFT,,,
Optional Move 56,,,SWAGGER,,,
Optional Move 57,,,U_TURN,,,
Optional Move 58,,,SUBSTITUTE,,,
