Trainer 99,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,DIGLETT,SANDSHREW,NONE,NONE,NONE,NONE
Level,13,13,,,,
Ability,SAND_VEIL,SAND_VEIL,,,,
Held Item,NONE,NONE,,,,
Move 1,MUD_SLAP,FURY_CUTTER,,,,
Move 2,SAND_ATTACK,RAPID_SPIN,,,,
Move 3,METAL_CLAW,SCRATCH,,,,
Move 4,ASTONISH,SAND_ATTACK,,,,
Optional Move 1,SCRATCH,DEFENSE_CURL,,,,
Optional Move 2,GROWL,POISON_STING,,,,
Optional Move 3,FEINT_ATTACK,ROLLOUT,,,,
Optional Move 4,SCREECH,FLAIL,,,,
Optional Move 5,ANCIENT_POWER,SAFEGUARD,,,,
Optional Move 6,PURSUIT,COUNTER,,,,
Optional Move 7,BEAT_UP,ROCK_SLIDE,,,,
Optional Move 8,UPROAR,METAL_CLAW,,,,
Optional Move 9,ROCK_SLIDE,CRUSH_CLAW,,,,
Optional Move 10,REVERSAL,NIGHT_SLASH,,,,
Optional Move 11,TOXIC,MUD_SHOT,,,,
Optional Move 12,HIDDEN_POWER,FOCUS_PUNCH,,,,
Optional Move 13,SUNNY_DAY,TOXIC,,,,
Optional Move 14,PROTECT,HIDDEN_POWER,,,,
Optional Move 15,FRUSTRATION,SUNNY_DAY,,,,
Optional Move 16,RETURN,PROTECT,,,,
Optional Move 17,DOUBLE_TEAM,FRUSTRATION,,,,
Optional Move 18,SLUDGE_BOMB,IRON_TAIL,,,,
Optional Move 19,ROCK_TOMB,RETURN,,,,
Optional Move 20,FACADE,BRICK_BREAK,,,,
Optional Move 21,SECRET_POWER,DOUBLE_TEAM,,,,
Optional Move 22,REST,ROCK_TOMB,,,,
Optional Move 23,ATTRACT,AERIAL_ACE,,,,
Optional Move 24,THIEF,FACADE,,,,
Optional Move 25,ENDURE,SECRET_POWER,,,,
Optional Move 26,SHADOW_CLAW,REST,,,,
Optional Move 27,STONE_EDGE,ATTRACT,,,,
Optional Move 28,SWORDS_DANCE,THIEF,,,,
Optional Move 29,STEALTH_ROCK,FALSE_SWIPE,,,,
Optional Move 30,CAPTIVATE,FLING,,,,
Optional Move 31,SLEEP_TALK,ENDURE,,,,
Optional Move 32,NATURAL_GIFT,SHADOW_CLAW,,,,
Optional Move 33,SWAGGER,STONE_EDGE,,,,
Optional Move 34,SUBSTITUTE,STEALTH_ROCK,,,,
Optional Move 35,,CAPTIVATE,,,,
Optional Move 36,,X_SCISSOR,,,,
Optional Move 37,,SLEEP_TALK,,,,
Optional Move 38,,NATURAL_GIFT,,,,
Optional Move 39,,POISON_JAB,,,,
Optional Move 40,,SWAGGER,,,,
Optional Move 41,,SUBSTITUTE,,,,
