Area,Sub-Area,HGSS Path,Description
Moves,,/a/0/0/0,Move Scripts
Moves,,/a/0/0/1,Move Effect Sub-Scripts
Pokemon Data,,/a/0/0/2,
Pokemon Data,,/a/0/0/3,Growth Tables
Pokemon Data,Pokemon Graphics,/a/0/0/4,Pokemon Sprites
Pokemon Data,Pokemon Graphics,/a/0/0/5,Friendly Pokmemon Y-Axis Offset
Trainers,Trainer Graphics,/a/0/0/6,Trainer Back Graphics
Unsorted Files,,/a/0/0/7,Battle Backgrounds
Unsorted Files,,/a/0/0/8,Battle HUD Graphics
Unidentified Files,,/a/0/0/9,16 PLTT Files & 16 Unknown Files (384 Bytes)
Moves,,/a/0/1/0,Move Effects (Animations per move)
Moves,,/a/0/1/1,Move Data Table
Scripts,,/a/0/1/2,Scripts
Scripts,,/a/0/1/3,(?)
GUI Graphics,,/a/0/1/4,Touchscreen Menu Graphics
GUI Graphics,,/a/0/1/5,Bag Graphics
Unsorted Files,,/a/0/1/6,Lv./Trainer ID Graphics
Items,,/a/0/1/7,Item Data
Items,Item Graphics,/a/0/1/8,Item Icons
GUI Graphics,,/a/0/1/9,PC Box Graphics
Pokemon Data,Pokemon Graphics,/a/0/2/0,Pokemon Icons
GUI Graphics,,/a/0/2/1,Party Screen Graphics
Moves,Move Graphics,/a/0/2/2,Move Tiles
Moves,Move Graphics,/a/0/2/3,Move Palettes
Moves,Move Graphics,/a/0/2/4,Move Cells
Moves,Move Graphics,/a/0/2/5,Move Animations
Unsorted Files,,/a/0/2/6,Fashion Accessory Sprites
Scripts,,/a/0/2/7,Text Files
Underground,,/a/0/2/8,Underground Radar Graphics
Moves,Move Graphics,/a/0/2/9,Move Particle Data
Moves,,/a/0/3/0,Move Effect Scripts (Behaviours)
GUI Graphics,,/a/0/3/1,Character Naming Screen Graphics
Scripts,,/a/0/3/2,Events
Pokemon Data,,/a/0/3/3,
Pokemon Data,,/a/0/3/4,Evolution Data
Unidentified Files,,/a/0/3/5,12 NCER files
Pokegear,Pokegear Graphics,/a/0/3/6,Map Cities Graphics
Encounter Data,,/a/0/3/7,HG Field Encounters
GUI Graphics,,/a/0/3/8,Saving/Frame Graphics
GUI Graphics,,/a/0/3/9,Pokemon Summary Screen Graphics
Maps,Exteriors,/a/0/4/0,Exterior Models
Maps,Map Data,/a/0/4/1,Map Connections
Maps,Assignment Data,/a/0/4/2,Assigns area_build and mapt_tex_set to maps
Maps,Assignment Data,/a/0/4/3,Assigns textures to models
Maps,Map Data,/a/0/4/4,Map Textures
Unsorted Files,,/a/0/4/5,Dawn/Lucas Sprites
Sequences,,/a/0/4/6,Title Screen
Maps,Assignment Data,/a/0/4/7,(?)
Unsorted Files,,/a/0/4/8,Rock/Fire Graphics
