BankId,Area,SurfRate,Slot1Pct,Slot1Species,Slot1Min,Slot1Max,Slot2Pct,Slot2Species,Slot2Min,Slot2Max,Slot3Pct,Slot3Species,Slot3Min,Slot3Max,Slot4Pct,Slot4Species,Slot4Min,Slot4Max,Slot5Pct,Slot5Species,Slot5Min,Slot5Max,HeadersUsed
0,ROUTE 1,15,60,MAGIKARP,2,3,30,TENTACOOL,3,4,5,MANTYKE,2,4,4,MAGIKARP,3,5,1,MAGIKARP,3,6,10;22
1,ROUTE 2 AREA 1,15,60,BARBOACH,3,4,30,MAGIKARP,3,5,5,MAGIKARP,3,5,4,MAGIKARP,4,6,1,MAGIKARP,4,7,23;30
2,ROUTE 2 AREA 2,15,60,MAGIKARP,3,5,30,BARBOACH,4,6,5,MAGIKARP,4,6,4,MAGIKARP,5,7,1,MAGIKARP,5,8,31
3,ROUTE 3 AREA 1,15,60,SURSKIT,2,4,30,BARBOACH,3,5,5,HORSEA,5,5,4,MAGIKARP,4,6,1,MAGIKARP,4,7,39
4,ROUTE 3 AREA 2,15,60,FEEBAS,3,5,30,CARVANHA,4,6,5,FRILLISH,4,6,4,MAGIKARP,5,7,1,MAGIKARP,5,8,40
5,NAVEL Generic,15,60,CORSOLA,4,6,30,CARVANHA,5,7,5,FRILLISH,5,7,4,MAGIKARP,6,8,1,MAGIKARP,6,9,32
6,NAVEL West,15,60,FRILLISH,4,6,30,CARVANHA,5,7,5,MAGIKARP,5,7,4,MAGIKARP,6,8,1,MAGIKARP,6,9,33
7,NAVEL East,15,60,FRILLISH,4,6,30,MAGIKARP,5,7,5,CORSOLA,5,7,4,MAGIKARP,6,8,1,MAGIKARP,6,9,41
8,BLAZE FOREST,15,60,MAGIKARP,4,6,30,BARBOACH,5,7,5,BARBOACH,5,7,4,MAGIKARP,6,8,1,MAGIKARP,6,9,43
9,Cave Generic 1,15,60,JELLICENT,49,51,30,SHARPEDO,50,52,5,RELICANTH,50,52,4,BASCULEGION,51,53,1,BASCULEGION,51,54,35;36;38;44;45;341
10,LOB FOREST 1,15,60,MAGIKARP,5,7,30,BARBOACH,6,8,5,MAGIKARP,6,8,4,MAGIKARP,7,9,1,MAGIKARP,7,10,47;259;263;264;265
11,LOB FOREST 2,15,60,MAGIKARP,5,7,30,BARBOACH,6,8,5,MAGIKARP,6,8,4,MAGIKARP,7,9,1,MAGIKARP,7,10,48;490
12,LOB FOREST 3,15,60,MAGIKARP,5,7,30,BARBOACH,6,8,5,MAGIKARP,6,8,4,MAGIKARP,7,9,1,MAGIKARP,7,10,49;492
13,LOB FOREST 4,15,60,BARBOACH,5,7,30,MAGIKARP,6,8,5,BARBOACH,6,8,4,MAGIKARP,7,9,1,MAGIKARP,7,10,50;491
14,LOB FOREST 5,15,60,MAGIKARP,6,8,30,BARBOACH,7,9,5,MAGIKARP,7,9,4,MAGIKARP,8,10,1,MAGIKARP,8,11,51
15,LOB FOREST 6,15,60,BARBOACH,6,8,30,MAGIKARP,7,9,5,MAGIKARP,7,9,4,MAGIKARP,8,10,1,MAGIKARP,8,11,52
16,LOB FOREST 7,15,60,MAGIKARP,6,8,30,BARBOACH,7,9,5,BARBOACH,7,9,4,MAGIKARP,8,10,1,MAGIKARP,8,11,53
17,LOB FOREST 8,15,60,BARBOACH,6,8,30,MAGIKARP,7,9,5,MAGIKARP,7,9,4,MAGIKARP,8,10,1,MAGIKARP,8,11,54;55
18,ROUTE 4,15,60,BARBOACH,6,8,30,MAGIKARP,7,9,5,BARBOACH,7,9,4,MAGIKARP,8,10,1,MAGIKARP,8,11,56;81
19,ROUTE 5 AREA 1,15,60,MAGIKARP,6,8,30,MANTYKE,7,9,5,DUCKLETT,8,9,4,MAGIKARP,8,10,1,MAGIKARP,8,11,78;83
20,ROUTE 5 AREA 2,15,60,MAGIKARP,7,9,30,DUCKLETT,8,10,5,MANTYKE,8,10,4,MAGIKARP,9,11,1,MAGIKARP,9,12,103
21,ROUTE 5 AREA 3,15,60,MANTYKE,8,10,30,MAGIKARP,9,11,5,DUCKLETT,9,11,4,MAGIKARP,10,12,1,MAGIKARP,10,13,106
22,ROUTE 5 AREA 4,15,60,WINGULL,8,10,30,MANTYKE,9,11,5,MAGIKARP,9,11,4,MAGIKARP,10,12,1,MAGIKARP,10,13,107;119
23,ROUTE 6 AREA 1,15,60,WINGULL,7,9,30,TENTACOOL,8,10,5,MANTYKE,8,10,4,MAGIKARP,9,11,1,MAGIKARP,9,12,121
24,ROUTE 6 AREA 2,15,60,WINGULL,7,9,30,MANTYKE,8,10,5,TENTACOOL,8,10,4,MAGIKARP,9,11,1,MAGIKARP,9,12,122;487
25,ROUTE 6 AREA 3,15,60,WINGULL,8,10,30,TENTACOOL,9,11,5,MAREANIE,11,11,4,MAGIKARP,10,12,1,MAGIKARP,10,13,123
26,ROUTE 6 AREA 4,15,60,WINGULL,8,10,30,MAGIKARP,9,11,5,DUCKLETT,9,11,4,MAGIKARP,10,12,1,MAGIKARP,10,13,124
