Item_ID,Item_Name,Price,Sell_Price,HP_Restore,HP_Restore_Param,SLP_Heal,PSN_Heal,BRN_Heal,FRZ_Heal,PRZ_Heal,CFS_Heal,INF_Heal,Guard_Spec,Revive,Revive_All,Level_Up,Evolve,PP_Restore,PP_Restore_Param,PP_Restore_All,PP_Up,PP_Max,ATK_Stages,DEF_Stages,SpATK_Stages,SpDEF_Stages,Speed_Stages,Accuracy_Stages,CritRate_Stages,HP_EV_Up,HP_EV_Param,ATK_EV_Up,ATK_EV_Param,DEF_EV_Up,DEF_EV_Param,Speed_EV_Up,Speed_EV_Param,SpATK_EV_Up,SpATK_EV_Param,SpDEF_EV_Up,SpDEF_EV_Param,Friendship_Lo,Friendship_Med,Friendship_Hi,Shop_Locations,Given_At_Locations
17,ITEM_POTION,200,100,TRUE,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | SHED 05 HS23 (H#0284) [Cianwood Pharmacy] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 0 badges),MAUN 09 LAB01 (H#0019)
18,ITEM_ANTIDOTE,200,100,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 0 badges),
19,ITEM_BURN_HEAL,200,100,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 1 badge),
20,ITEM_ICE_HEAL,200,100,FALSE,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 1 badge),
21,ITEM_AWAKENING,200,100,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 1 badge),
22,ITEM_PARALYZE_HEAL,200,100,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 0 badges),
23,ITEM_FULL_RESTORE,3000,1500,TRUE,255,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Badge Mart (unlocks at 8 badges),
24,ITEM_MAX_POTION,2500,1250,TRUE,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 7 badges),
25,ITEM_HYPER_POTION,1500,750,TRUE,200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | SHED 05 HS23 (H#0284) [Cianwood Pharmacy] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 5 badges),
26,ITEM_SUPER_POTION,700,350,TRUE,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | SHED 05 HS23 (H#0284) [Cianwood Pharmacy] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 1 badge),
