Header_ID,Internal_Name,Script_File,Mart_Indices,Given_Item_IDs,CommonScript_Give_IDs
10,MAUNCESTON T,842,,,420 | 421 | 422 | 423 | 424 | 425 | 426 | 427
19,MAUN 09 LAB01,843,,,456 | 17 | 229 | 229
26,HAMP 03 PM01,851,0(regular) | 0(special),,
27,HAMP 04 HS05,929,,,471
28,HAMP 05 HS06,929,,,471
41,NAVEL EAST 01,108,,,240
59,LOBA 03 PM02,921,1(regular) | 9(special),,
60,LOBA 04 GYM01,886,,,354 | 425 | 402 | 768
62,A HQ1 F2,30,,,472 | 45
63,A HQ1 F3,31,,,338
64,A HQ1 F4,32,,,213
66,A HQ1 F6,34,,,483 | 483 | 483 | 482
70,D HQ1 F4,15,,,377
79,LOBA 05 HS09,228,,,468
82,LOBA 07 GV01,241,,,45
101,BOAT 06,161,,,233
110,MELT 03 PM03,858,1(regular) | 1(special),,
111,MELT 04 GYM02,877,,,335 | 420 | 680 | 387 | 665
112,MELT 05 GAME1,910,,,444 | 444
113,MELT 06 GAME2,806,,,444 | 444
115,MELT 08 BIKE,890,,,450
128,MELT 13 GH01,231,,,465 | 465 | 465
133,REGIELECT DEN,111,,,386 | 386
140,DANB 04 PM04,867,1(regular) | 2(special),,
141,DANB 05 GYM03,786,,,336 | 423 | 674 | 346 | 753
148,WELL CAVE F4,61,,,221
165,SYDT 02 PC05,233,,,445 | 494 | 494
167,SYDT 04 GYM04,760,,,330 | 422 | 676 | 382 | 752
169,DEPART 1 F2,900,3(special) | 4(special),,
170,DEPART 1 F3,901,5(special),,
171,DEPART 1 F4,902,6(special),,
172,DEPART 1 F5,903,7(special),,
173,DEPART 1 F6,904,,,392
180,A HQ1 F2,30,,,472 | 45
181,A HQ1 F3,31,,,338
182,A HQ1 F4,32,,,213
184,A HQ1 F6,34,,,483 | 483 | 483 | 482
186,D HQ1 F2,30,,,472 | 45
187,D HQ1 F3,31,,,338
188,D HQ1 F4,32,,,213
190,D HQ1 F6,34,,,483 | 483 | 483 | 482
197,ROTOM TOWER,837,,,252
232,SYD FOREST 01,92,,,420 | 420
233,SYD FOREST 02,92,,,420 | 420
234,SYD FOREST 03,92,,,420 | 420
235,SYD FOREST 04,92,,,420 | 420
236,SYD FOREST 05,92,,,420 | 420
237,SYD FOREST 06,92,,,420 | 420
238,SYD FOREST 07,92,,,420 | 420
239,SYD FOREST 08,92,,,420 | 420
241,SYDT 06 GV06,239,,,339
253,BAIR 03 PM05,912,1(regular) | 10(special),,
254,BAIR 04 GYM05,943,,,338 | 421 | 666 | 377 | 664
257,BAIR 07 HS21,918,,,446
263,-,216,,,92
282,SHED 03 PM06,942,1(regular) | 12(special),,
284,SHED 05 HS23,881,11(special),,464
297,DRAGON DEN 01,894,,,386 | 386
302,DALI 03 PM07,777,1(regular) | 14(special),,
303,DALI 04 GYM06,778,,,361 | 361 | 426 | 384 | 658
308,DALI 09 HS29,939,,,337
311,DALI 10 HS54,224,,,374 | 374
315,ULURU 2 A1,225,,,248 | 4 | 4
316,ULURU 2 A2,225,,,248 | 4 | 4
317,RT 13 AREA 1,227,,,468 | 468
318,RT 13 AREA 2,227,,,468 | 468
319,RT 13 AREA 3,227,,,468 | 468
320,RT 13 AREA 4,227,,,468 | 468
321,RT 13 AREA 5,227,,,468 | 468
322,RT 13 AREA 6,227,,,468 | 468
323,RT 13 AREA 7,227,,,468 | 468
324,ULURU 3 A1,230,,,371 | 371 | 371 | 371
325,ULURU 3 A2,230,,,371 | 371 | 371 | 371
330,UNDARA CAVE 1,741,,,412
338,SHALLOW C 1,237,,,271 | 271
339,SHALLOW C 2,237,,,271 | 271
340,SHALLOW C 3,237,,,271 | 271
341,SHALLOW C 4,237,,,271 | 271
346,ULURU 4 A1,243,,,425 | 238 | 470 | 155 | 151 | 470 | 155 | 151
347,ULURU 4 A2,243,,,425 | 238 | 470 | 155 | 151 | 470 | 155 | 151
348,SPEAR PLR 1,246,,,242
349,SPEAR PLR 2,246,,,242
350,ULURU 4 A3,243,,,425 | 238 | 470 | 155 | 151 | 470 | 155 | 151
356,RADE 01 GV09,172,,,44
359,RADE 04 PM08,828,1(regular) | 15(special),,
